contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
JNJ241108C00150000,2024-11-08 20:48:54+00:00,150.0,5.46,4.6,6.1,-1.6399999,-23.098589,22.0,22.0,0.7695335546875001,True,REGULAR,USD,2024-11-08
JNJ241108C00155000,2024-11-08 20:58:49+00:00,155.0,0.65,0.35,0.79,-1.27,-66.145836,295.0,165.0,0.161141201171875,True,REGULAR,USD,2024-11-08
JNJ241108C00157500,2024-11-08 20:38:57+00:00,157.5,0.01,0.0,0.03,-0.28,-96.55173,820.0,446.0,0.1562584375,False,REGULAR,USD,2024-11-08
JNJ241108C00160000,2024-11-08 20:35:46+00:00,160.0,0.01,0.0,0.01,-0.04,-80.00001,105.0,1608.0,0.2500075,False,REGULAR,USD,2024-11-08
JNJ241108C00162500,2024-11-08 20:48:02+00:00,162.5,0.01,0.0,0.01,0.0,0.0,38.0,933.0,0.35938140625,False,REGULAR,USD,2024-11-08
JNJ241108C00165000,2024-11-08 20:39:41+00:00,165.0,0.01,0.0,0.01,0.0,0.0,212.0,3492.0,0.4687553125,False,REGULAR,USD,2024-11-08
JNJ241108C00167500,2024-11-08 19:05:07+00:00,167.5,0.03,0.0,0.01,0.01,50.0,7.0,927.0,0.5312546875,False,REGULAR,USD,2024-11-08
JNJ241108C00170000,2024-11-07 14:37:23+00:00,170.0,0.02,0.0,0.01,0.0,0.0,1.0,2127.0,0.6250037500000001,False,REGULAR,USD,2024-11-08
JNJ241108C00172500,2024-11-04 17:33:18+00:00,172.5,0.02,0.0,0.25,0.0,0.0,65.0,1217.0,1.087895185546875,False,REGULAR,USD,2024-11-08
JNJ241108C00175000,2024-11-07 20:39:17+00:00,175.0,0.01,0.0,0.52,0.0,0.0,2.0,1029.0,1.3886749316406248,False,REGULAR,USD,2024-11-08
JNJ241108C00177500,2024-10-30 16:29:03+00:00,177.5,0.01,0.0,0.52,0.0,0.0,7.0,108.0,1.517580537109375,False,REGULAR,USD,2024-11-08
JNJ241108C00180000,2024-10-25 16:50:23+00:00,180.0,0.01,0.0,0.01,0.0,0.0,1.0,4.0,0.9687503125,False,REGULAR,USD,2024-11-08
JNJ241108C00182500,2024-10-21 19:14:00+00:00,182.5,0.02,0.0,0.52,0.0,0.0,3.0,6.0,1.763673056640625,False,REGULAR,USD,2024-11-08
JNJ241108C00235000,2024-11-01 15:44:17+00:00,235.0,0.04,0.0,1.02,0.0,0.0,1.0,1.0,4.232426584472656,False,REGULAR,USD,2024-11-08
JNJ241115C00110000,2024-09-25 16:13:38+00:00,110.0,52.08,50.6,53.15,0.0,0.0,1.0,1.0,2.8659696319580084,True,REGULAR,USD,2024-11-15
JNJ241115C00120000,2024-09-27 16:29:29+00:00,120.0,43.2,40.65,43.1,0.0,0.0,2.0,0.0,2.377445462646484,True,REGULAR,USD,2024-11-15
JNJ241115C00125000,2024-08-16 13:47:55+00:00,125.0,34.87,41.0,42.2,0.0,0.0,2.0,2.0,2.840090790405273,True,REGULAR,USD,2024-11-15
JNJ241115C00130000,2024-10-30 14:40:45+00:00,130.0,30.72,23.95,27.65,0.0,0.0,1.0,1.0,0.7382838671874999,True,REGULAR,USD,2024-11-15
JNJ241115C00135000,2024-11-06 14:33:00+00:00,135.0,25.0,19.45,21.0,0.0,0.0,1.0,7.0,0.6796907031250001,True,REGULAR,USD,2024-11-15
JNJ241115C00140000,2024-11-08 20:45:23+00:00,140.0,15.66,14.65,17.55,-5.3199997,-25.357485,10.0,10.0,0.567387138671875,True,REGULAR,USD,2024-11-15
JNJ241115C00145000,2024-11-07 17:35:18+00:00,145.0,12.69,9.75,11.1,0.0,0.0,1.0,23.0,0.4233456103515625,True,REGULAR,USD,2024-11-15
JNJ241115C00150000,2024-11-08 14:45:47+00:00,150.0,6.6,5.0,7.05,-2.52,-27.631578,3.0,80.0,0.4089414575195312,True,REGULAR,USD,2024-11-15
JNJ241115C00152500,2024-11-08 17:09:37+00:00,152.5,3.95,2.93,4.55,-2.05,-34.166668,14.0,21.0,0.3100654931640625,True,REGULAR,USD,2024-11-15
JNJ241115C00155000,2024-11-08 20:59:29+00:00,155.0,1.55,1.52,1.63,-1.24,-44.444447,898.0,265.0,0.1506432592773438,True,REGULAR,USD,2024-11-15
JNJ241115C00157500,2024-11-08 20:58:33+00:00,157.5,0.46,0.43,0.46,-0.7099999,-59.663864,1889.0,435.0,0.1313563427734375,False,REGULAR,USD,2024-11-15
JNJ241115C00160000,2024-11-08 20:59:33+00:00,160.0,0.11,0.07,0.11,-0.32,-74.4186,1438.0,6305.0,0.13575083007812502,False,REGULAR,USD,2024-11-15
JNJ241115C00162500,2024-11-08 20:30:55+00:00,162.5,0.05,0.03,0.06,-0.09,-59.999996,358.0,1774.0,0.16797707031250003,False,REGULAR,USD,2024-11-15
JNJ241115C00165000,2024-11-08 20:53:05+00:00,165.0,0.04,0.03,0.04,-0.030000001,-42.857143,79.0,7129.0,0.20117986328124998,False,REGULAR,USD,2024-11-15
JNJ241115C00167500,2024-11-08 20:26:33+00:00,167.5,0.04,0.01,0.04,0.01,33.333336,9.0,866.0,0.242195078125,False,REGULAR,USD,2024-11-15
JNJ241115C00170000,2024-11-08 20:33:28+00:00,170.0,0.02,0.02,0.03,-0.01,-33.333336,44.0,11988.0,0.27149166015625,False,REGULAR,USD,2024-11-15
JNJ241115C00172500,2024-11-07 20:26:28+00:00,172.5,0.01,0.0,0.06,0.0,0.0,1.0,110.0,0.34180345703125,False,REGULAR,USD,2024-11-15
JNJ241115C00175000,2024-11-08 17:09:46+00:00,175.0,0.01,0.0,0.07,0.0,0.0,28.0,4124.0,0.38867798828125,False,REGULAR,USD,2024-11-15
JNJ241115C00177500,2024-10-25 15:20:39+00:00,177.5,0.18,0.0,0.05,0.0,0.0,8.0,8.0,0.40820904296875,False,REGULAR,USD,2024-11-15
JNJ241115C00180000,2024-11-08 18:37:32+00:00,180.0,0.01,0.0,0.02,0.0,0.0,2.0,740.0,0.398443515625,False,REGULAR,USD,2024-11-15
JNJ241115C00182500,2024-10-21 13:52:48+00:00,182.5,0.03,0.0,0.37,0.0,0.0,,1.0,0.585941640625,False,REGULAR,USD,2024-11-15
JNJ241115C00185000,2024-11-07 14:46:46+00:00,185.0,0.01,0.0,0.01,0.0,0.0,4.0,4981.0,0.42969320312500003,False,REGULAR,USD,2024-11-15
JNJ241115C00190000,2024-10-28 16:04:48+00:00,190.0,0.01,0.0,0.21,0.0,0.0,11.0,29.0,0.6445348046875,False,REGULAR,USD,2024-11-15
JNJ241115C00230000,2024-09-30 17:21:14+00:00,230.0,0.03,0.0,0.37,0.0,0.0,,1.0,1.22266013671875,False,REGULAR,USD,2024-11-15
JNJ241122C00140000,2024-10-15 14:50:26+00:00,140.0,26.3,14.7,16.2,0.0,0.0,,1.0,0.4321345849609375,True,REGULAR,USD,2024-11-22
JNJ241122C00150000,2024-11-05 15:19:05+00:00,150.0,8.5,5.65,7.2,0.0,0.0,5.0,8.0,0.3129951513671875,True,REGULAR,USD,2024-11-22
JNJ241122C00155000,2024-11-08 19:19:10+00:00,155.0,2.3,2.05,2.35,-0.79999995,-25.80645,41.0,43.0,0.16773293212890628,True,REGULAR,USD,2024-11-22
JNJ241122C00160000,2024-11-08 20:39:39+00:00,160.0,0.34,0.21,0.44,-0.42999998,-55.1282,131.0,161.0,0.14966670654296876,False,REGULAR,USD,2024-11-22
JNJ241122C00165000,2024-11-08 20:57:37+00:00,165.0,0.07,0.04,0.07,-0.049999997,-41.666664,35.0,894.0,0.161141201171875,False,REGULAR,USD,2024-11-22
JNJ241122C00170000,2024-11-08 20:54:00+00:00,170.0,0.04,0.02,0.06,0.0,0.0,18.0,2983.0,0.21973436523437498,False,REGULAR,USD,2024-11-22
JNJ241122C00175000,2024-11-08 15:25:28+00:00,175.0,0.03,0.0,0.05,0.0,0.0,10.0,1144.0,0.270515107421875,False,REGULAR,USD,2024-11-22
JNJ241122C00180000,2024-10-21 16:30:13+00:00,180.0,0.02,0.0,0.05,-0.04,-66.66667,1.0,2.0,0.3242255078124999,False,REGULAR,USD,2024-11-22
JNJ241122C00185000,2024-11-05 15:52:59+00:00,185.0,0.02,0.0,0.42,0.0,0.0,1.0,1.0,0.534184345703125,False,REGULAR,USD,2024-11-22
