contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
JNJ241108P00115000,2024-10-04 16:32:05+00:00,115.0,0.12,0.0,0.38,0.0,0.0,2.0,2,2.92969017578125,False,REGULAR,USD,2024-11-08
JNJ241108P00135000,2024-11-06 16:10:04+00:00,135.0,0.01,0.0,0.03,0.0,0.0,103.0,322,1.0625046875000002,False,REGULAR,USD,2024-11-08
JNJ241108P00138000,2024-11-06 18:40:27+00:00,138.0,0.01,0.0,0.53,0.0,0.0,14.0,120,1.4375028125,False,REGULAR,USD,2024-11-08
JNJ241108P00140000,2024-11-07 17:03:58+00:00,140.0,0.01,0.0,0.07,0.0,0.0,9.0,38,0.914063359375,False,REGULAR,USD,2024-11-08
JNJ241108P00142000,2024-11-07 19:26:10+00:00,142.0,0.01,0.0,0.56,0.0,0.0,3.0,21,1.169926025390625,False,REGULAR,USD,2024-11-08
JNJ241108P00143000,2024-11-08 14:37:55+00:00,143.0,0.01,0.0,0.23,-0.07,-87.5,5.0,14,0.91211025390625,False,REGULAR,USD,2024-11-08
JNJ241108P00144000,2024-11-01 18:33:30+00:00,144.0,0.05,0.0,0.75,0.0,0.0,5.0,17,1.1064497802734377,False,REGULAR,USD,2024-11-08
JNJ241108P00145000,2024-11-05 17:28:44+00:00,145.0,0.06,0.0,0.75,0.0,0.0,4.0,43,1.0312548437500002,False,REGULAR,USD,2024-11-08
JNJ241108P00146000,2024-11-04 16:57:33+00:00,146.0,0.08,0.0,0.75,0.0,0.0,24.0,51,0.95507857421875,False,REGULAR,USD,2024-11-08
JNJ241108P00147000,2024-11-04 20:36:56+00:00,147.0,0.1,0.0,0.75,0.0,0.0,127.0,148,0.877930908203125,False,REGULAR,USD,2024-11-08
JNJ241108P00148000,2024-11-07 15:30:03+00:00,148.0,0.01,0.0,0.35,-0.1,-90.90909,4.0,120,0.6543003320312502,False,REGULAR,USD,2024-11-08
