contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
NVDA241108C00050000,2024-11-08 20:51:41+00:00,50.0,97.44,95.85,98.95,-0.87999725,-0.89503384,21.0,45.0,12.980470637207034,True,REGULAR,USD,2024-11-08
NVDA241108C00055000,2024-11-08 18:04:44+00:00,55.0,92.46,90.85,93.95,-0.59000397,-0.63407195,80.0,192.0,11.933596291503907,True,REGULAR,USD,2024-11-08
NVDA241108C00060000,2024-11-06 18:28:05+00:00,60.0,86.08,85.85,88.95,0.0,0.0,10.0,10.0,10.980471887207035,True,REGULAR,USD,2024-11-08
NVDA241108C00065000,2024-11-08 20:43:47+00:00,65.0,82.23,80.85,83.95,-1.1899948,-1.4265102,8.0,25.0,10.109378681640628,True,REGULAR,USD,2024-11-08
NVDA241108C00070000,2024-11-08 16:19:06+00:00,70.0,77.1,75.85,78.95,-1.3499985,-1.7208394,25.0,57.0,9.304691684570313,True,REGULAR,USD,2024-11-08
NVDA241108C00075000,2024-11-08 17:24:56+00:00,75.0,72.36,70.85,73.95,1.5599976,2.2033863,18.0,26.0,8.558598400878907,True,REGULAR,USD,2024-11-08
NVDA241108C00077000,2024-11-05 19:54:18+00:00,77.0,62.65,68.6,71.95,0.0,0.0,20.0,30.0,8.271489205322265,True,REGULAR,USD,2024-11-08
NVDA241108C00078000,2024-11-08 15:43:13+00:00,78.0,69.17,67.6,70.95,8.739998,14.463011,1.0,1.0,8.132817416992188,True,REGULAR,USD,2024-11-08
NVDA241108C00079000,2024-11-08 18:04:21+00:00,79.0,68.45,66.6,69.95,11.279999,19.730627,251.0,251.0,7.992187509765625,True,REGULAR,USD,2024-11-08
NVDA241108C00080000,2024-11-08 18:01:40+00:00,80.0,67.31,65.85,68.95,-1.1100006,-1.6223336,48.0,320.0,7.8554689306640615,True,REGULAR,USD,2024-11-08
NVDA241108C00081000,2024-11-05 14:57:47+00:00,81.0,57.77,64.6,67.95,0.0,0.0,41.0,2.0,7.722656596679688,True,REGULAR,USD,2024-11-08
NVDA241108C00082000,2024-11-05 20:31:53+00:00,82.0,57.66,63.6,66.95,0.0,0.0,20.0,23.0,7.58789114013672,True,REGULAR,USD,2024-11-08
NVDA241108C00083000,2024-11-07 15:41:48+00:00,83.0,65.05,62.6,65.95,0.0,0.0,1.0,100.0,7.457031928710938,True,REGULAR,USD,2024-11-08
NVDA241108C00085000,2024-11-08 18:03:26+00:00,85.0,62.55,61.5,63.3,-0.7900009,-1.2472385,194.0,204.0,6.22461159423828,True,REGULAR,USD,2024-11-08
