contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
NVDA241108P00050000,2024-11-06 19:15:05+00:00,50.0,0.01,0.0,0.01,0.0,0.0,1.0,16094.0,6.500001875000001,False,REGULAR,USD,2024-11-08
NVDA241108P00055000,2024-11-04 14:30:02+00:00,55.0,0.01,0.0,0.01,0.0,0.0,1.0,20864.0,5.87500265625,False,REGULAR,USD,2024-11-08
NVDA241108P00060000,2024-11-04 20:46:33+00:00,60.0,0.01,0.0,0.01,0.0,0.0,3.0,11987.0,5.375003281249999,False,REGULAR,USD,2024-11-08
NVDA241108P00065000,2024-11-04 14:30:09+00:00,65.0,0.01,0.0,0.01,0.0,0.0,2.0,4945.0,5.000003749999999,False,REGULAR,USD,2024-11-08
NVDA241108P00070000,2024-11-04 20:21:29+00:00,70.0,0.01,0.0,0.01,0.0,0.0,1124.0,15304.0,4.500004375,False,REGULAR,USD,2024-11-08
NVDA241108P00075000,2024-11-08 20:47:37+00:00,75.0,0.01,0.0,0.01,0.0,0.0,5.0,18630.0,4.12500484375,False,REGULAR,USD,2024-11-08
NVDA241108P00076000,2024-11-04 20:59:04+00:00,76.0,0.01,0.0,0.01,0.0,0.0,462.0,29833.0,4.000005,False,REGULAR,USD,2024-11-08
NVDA241108P00077000,2024-11-05 20:03:44+00:00,77.0,0.01,0.0,0.01,0.0,0.0,200.0,14165.0,3.93750015625,False,REGULAR,USD,2024-11-08
NVDA241108P00078000,2024-11-04 20:58:45+00:00,78.0,0.01,0.0,0.01,0.0,0.0,132.0,5109.0,3.8750003125,False,REGULAR,USD,2024-11-08
NVDA241108P00079000,2024-11-08 15:33:36+00:00,79.0,0.01,0.0,0.01,0.0,0.0,27.0,7280.0,3.750000625,False,REGULAR,USD,2024-11-08
NVDA241108P00080000,2024-11-05 20:39:40+00:00,80.0,0.01,0.0,0.01,0.0,0.0,10.0,25980.0,3.750000625,False,REGULAR,USD,2024-11-08
NVDA241108P00081000,2024-11-08 14:58:22+00:00,81.0,0.01,0.0,0.01,0.0,0.0,28.0,10274.0,3.6250009375000003,False,REGULAR,USD,2024-11-08
NVDA241108P00082000,2024-11-05 20:55:11+00:00,82.0,0.01,0.0,0.01,0.0,0.0,189.0,5552.0,3.6250009375000003,False,REGULAR,USD,2024-11-08
NVDA241108P00083000,2024-11-08 14:56:16+00:00,83.0,0.01,0.0,0.01,0.0,0.0,15.0,6179.0,3.50000125,False,REGULAR,USD,2024-11-08
NVDA241108P00084000,2024-11-07 19:43:17+00:00,84.0,0.01,0.0,0.01,0.0,0.0,13.0,8003.0,3.50000125,False,REGULAR,USD,2024-11-08
NVDA241108P00085000,2024-11-05 20:46:16+00:00,85.0,0.02,0.0,0.01,0.0,0.0,292.0,6839.0,3.3750015624999996,False,REGULAR,USD,2024-11-08
NVDA241108P00086000,2024-11-07 19:40:55+00:00,86.0,0.01,0.0,0.01,0.0,0.0,68.0,4730.0,3.3125017187499997,False,REGULAR,USD,2024-11-08
NVDA241108P00087000,2024-11-07 19:34:00+00:00,87.0,0.01,0.0,0.01,0.0,0.0,70.0,6652.0,3.2500018749999997,False,REGULAR,USD,2024-11-08
