contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
XOM241108C00070000,2024-11-08 14:54:52+00:00,70.0,49.72,50.0,52.05,-0.37999725,-0.75847757,3.0,5.0,6.925782592773437,1.0,REGULAR,USD,2024-11-08
XOM241108C00085000,2024-11-07 16:42:44+00:00,85.0,34.74,34.9,37.2,0.0,0.0,2.0,2.0,5.0195349755859375,1.0,REGULAR,USD,2024-11-08
XOM241108C00100000,2024-11-06 15:06:07+00:00,100.0,20.35,20.7,21.6,0.0,0.0,2.0,6.0,1.625001875,1.0,REGULAR,USD,2024-11-08
XOM241108C00103000,2024-11-04 17:00:32+00:00,103.0,15.21,17.7,18.6,0.0,0.0,1.0,2.0,1.40625296875,1.0,REGULAR,USD,2024-11-08
XOM241108C00105000,2024-11-04 16:06:01+00:00,105.0,13.25,15.65,16.3,0.0,0.0,4.0,10.0,1.6328143359374998,1.0,REGULAR,USD,2024-11-08
XOM241108C00106000,2024-11-08 20:02:47+00:00,106.0,15.1,14.7,15.35,0.9200001,6.488012,4.0,8.0,1.62109564453125,1.0,REGULAR,USD,2024-11-08
XOM241108C00107000,2024-11-04 15:01:12+00:00,107.0,11.0,13.65,14.35,0.0,0.0,2.0,5.0,1.5312523437499999,1.0,REGULAR,USD,2024-11-08
XOM241108C00108000,2024-11-08 15:48:47+00:00,108.0,11.9,12.7,13.65,-1.3000002,-9.848486,1.0,134.0,1.12109814453125,1.0,REGULAR,USD,2024-11-08
XOM241108C00109000,2024-11-01 16:55:36+00:00,109.0,7.55,11.65,12.3,0.0,0.0,1.0,4.0,1.2793004785156248,1.0,REGULAR,USD,2024-11-08
XOM241108C00110000,2024-11-08 20:24:41+00:00,110.0,11.14,10.9,11.6,0.03999996,0.36036,277.0,296.0,1.1171919140625,1.0,REGULAR,USD,2024-11-08
XOM241108C00111000,2024-11-08 20:31:34+00:00,111.0,10.05,9.65,10.5,0.5500002,5.789476,1.0,24.0,1.3144565527343748,1.0,REGULAR,USD,2024-11-08
XOM241108C00112000,2024-11-08 20:28:55+00:00,112.0,9.16,9.0,9.35,-0.28999996,-3.0687828,31.0,85.0,0.8125018749999999,1.0,REGULAR,USD,2024-11-08
XOM241108C00113000,2024-11-08 20:21:59+00:00,113.0,8.15,7.65,8.5,-0.11000061,-1.3317264,16.0,41.0,1.11328568359375,1.0,REGULAR,USD,2024-11-08
XOM241108C00114000,2024-11-08 18:15:24+00:00,114.0,6.78,6.95,7.65,-0.26999998,-3.8297868,25.0,34.0,0.8300798242187499,1.0,REGULAR,USD,2024-11-08
XOM241108C00115000,2024-11-08 17:56:39+00:00,115.0,5.75,5.95,6.55,-0.6199999,-9.733123,25.0,459.0,0.6835969140625001,1.0,REGULAR,USD,2024-11-08
XOM241108C00116000,2024-11-08 20:28:51+00:00,116.0,5.05,4.75,5.3,-0.5499997,-9.821424,37.0,565.0,0.6445348046875,1.0,REGULAR,USD,2024-11-08
XOM241108C00117000,2024-11-08 20:32:07+00:00,117.0,3.87,4.0,4.2,-0.32999992,-7.5342445,70.0,936.0,0.45117736328125,1.0,REGULAR,USD,2024-11-08
XOM241108C00118000,2024-11-08 20:49:10+00:00,118.0,2.75,2.94,3.2,-0.3499999,-11.29032,181.0,1782.0,0.3632876171875,1.0,REGULAR,USD,2024-11-08
XOM241108C00119000,2024-11-08 20:49:01+00:00,119.0,2.08,2.05,2.2,-0.24000001,-11.707317,386.0,3037.0,0.27246821289062495,1.0,REGULAR,USD,2024-11-08
XOM241108C00120000,2024-11-08 20:57:23+00:00,120.0,1.17,1.05,1.31,-0.2700001,-19.148941,1889.0,2813.0,0.23731231445312498,1.0,REGULAR,USD,2024-11-08
XOM241108C00121000,2024-11-08 20:59:20+00:00,121.0,0.17,0.03,0.2,-0.51,-76.11941,2794.0,1786.0,0.054696953125,1.0,REGULAR,USD,2024-11-08
XOM241108C00122000,2024-11-08 20:57:03+00:00,122.0,0.01,0.0,0.01,-0.34,-97.14286,1113.0,3357.0,0.08204042968750001,0.0,REGULAR,USD,2024-11-08
XOM241108C00123000,2024-11-08 20:56:30+00:00,123.0,0.01,0.0,0.01,-0.09,-90.0,328.0,2610.0,0.15235222656250003,0.0,REGULAR,USD,2024-11-08
