contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
XOM241108P00085000,2024-10-31 18:58:55+00:00,85.0,0.03,0.0,0.03,0.0,0.0,,2.0,2.5312536718749996,0.0,REGULAR,USD,2024-11-08
XOM241108P00090000,2024-10-31 19:26:40+00:00,90.0,0.02,0.0,0.07,0.0,0.0,,11.0,2.3593791015624994,0.0,REGULAR,USD,2024-11-08
XOM241108P00095000,2024-11-04 20:58:28+00:00,95.0,0.01,0.0,0.01,0.0,0.0,3.0,55.0,1.625001875,0.0,REGULAR,USD,2024-11-08
XOM241108P00100000,2024-11-07 14:35:02+00:00,100.0,0.01,0.0,0.01,0.0,0.0,10.0,343.0,1.3125034374999998,0.0,REGULAR,USD,2024-11-08
XOM241108P00101000,2024-11-07 18:51:01+00:00,101.0,0.02,0.0,0.01,0.0,0.0,5.0,101.0,1.2500037499999999,0.0,REGULAR,USD,2024-11-08
XOM241108P00102000,2024-11-04 17:40:07+00:00,102.0,0.02,0.0,0.01,0.0,0.0,2.0,24.0,1.1875040625,0.0,REGULAR,USD,2024-11-08
XOM241108P00103000,2024-11-05 17:59:39+00:00,103.0,0.01,0.0,0.01,0.0,0.0,102.0,163.0,1.125004375,0.0,REGULAR,USD,2024-11-08
XOM241108P00104000,2024-11-05 15:21:09+00:00,104.0,0.02,0.0,0.01,0.0,0.0,6.0,64.0,1.0625046875000002,0.0,REGULAR,USD,2024-11-08
XOM241108P00105000,2024-11-05 16:54:53+00:00,105.0,0.02,0.0,0.01,0.0,0.0,9.0,66.0,0.9687503125,0.0,REGULAR,USD,2024-11-08
XOM241108P00106000,2024-11-05 18:42:02+00:00,106.0,0.02,0.0,0.01,0.0,0.0,6.0,111.0,0.937500625,0.0,REGULAR,USD,2024-11-08
XOM241108P00107000,2024-11-07 16:12:21+00:00,107.0,0.01,0.0,0.01,0.0,0.0,45.0,392.0,0.87500125,0.0,REGULAR,USD,2024-11-08
XOM241108P00108000,2024-11-07 18:40:04+00:00,108.0,0.01,0.0,0.01,0.0,0.0,206.0,1036.0,0.8125018749999999,0.0,REGULAR,USD,2024-11-08
XOM241108P00109000,2024-11-08 17:05:15+00:00,109.0,0.01,0.0,0.01,0.0,0.0,3.0,201.0,0.7500025,0.0,REGULAR,USD,2024-11-08
XOM241108P00110000,2024-11-08 17:13:43+00:00,110.0,0.01,0.0,0.01,0.0,0.0,37.0,1525.0,0.6875031250000001,0.0,REGULAR,USD,2024-11-08
XOM241108P00111000,2024-11-08 15:16:15+00:00,111.0,0.01,0.0,0.01,-0.01,-50.0,5.0,189.0,0.6250037500000001,0.0,REGULAR,USD,2024-11-08
