contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DJX241108C00420000,2024-11-05 18:43:54+00:00,420.0,5.1,13.0,23.0,0.0,0.0,2.0,0,0.9877930908203125,True,REGULAR,USD
DJX241108C00425000,2024-11-06 18:41:14+00:00,425.0,12.55,8.0,18.0,0.4499998,3.7190065,1.0,87,0.8449722534179687,True,REGULAR,USD
DJX241108C00430000,2024-11-06 16:47:06+00:00,430.0,7.5,3.0,13.0,0.98,15.030675,2.0,2,0.6937286486816407,True,REGULAR,USD
DJX241108C00435000,2024-11-06 20:52:35+00:00,435.0,3.5,0.19,10.0,0.0,0.0,35.0,22,0.6838410522460938,True,REGULAR,USD
DJX241115C00280000,2024-10-14 14:39:22+00:00,280.0,150.65,150.0,166.0,0.0,0.0,1.0,0,1.4360379760742186,True,REGULAR,USD
DJX241115C00300000,2024-10-10 18:54:28+00:00,300.0,124.5,130.0,146.0,0.0,0.0,,3,1.2402381738281247,True,REGULAR,USD
DJX241115C00310000,2024-10-10 19:19:57+00:00,310.0,114.87,120.0,136.0,0.0,0.0,,2,1.1464886425781249,True,REGULAR,USD
DJX241115C00320000,2024-10-10 19:21:38+00:00,320.0,105.03,110.0,126.0,0.0,0.0,,3,1.0546922265625,True,REGULAR,USD
DJX241115C00325000,2024-10-10 19:03:53+00:00,325.0,100.04,105.0,121.0,0.0,0.0,,1,1.009770576171875,True,REGULAR,USD
DJX241115C00330000,2024-10-24 17:59:54+00:00,330.0,93.0,101.0,117.0,0.0,0.0,6.0,3,1.144047248535156,True,REGULAR,USD
DJX241115C00340000,2024-10-10 19:27:21+00:00,340.0,85.9,93.0,103.0,0.0,0.0,,2,0.8776867700195312,True,REGULAR,USD
DJX241115C00360000,2024-09-20 13:56:28+00:00,360.0,62.39,69.0,79.0,0.0,0.0,11.0,11,0.8502212243652343,True,REGULAR,USD
DJX241115C00375000,2024-11-07 20:10:52+00:00,375.0,63.15,58.0,68.0,4.84,8.300463,11.0,11,0.5822795678710937,True,REGULAR,USD
DJX241115C00385000,2024-10-17 17:08:49+00:00,385.0,49.37,48.0,58.0,0.0,0.0,1.0,1,0.8945323046874999,True,REGULAR,USD
DJX241115C00390000,2024-10-10 19:00:19+00:00,390.0,36.54,43.0,53.0,0.0,0.0,,1,0.8352067260742186,True,REGULAR,USD
DJX241115C00395000,2024-10-18 13:30:11+00:00,395.0,39.05,38.0,48.0,0.0,0.0,1.0,1,0.775514940185547,True,REGULAR,USD
DJX241115C00405000,2024-10-18 16:23:45+00:00,405.0,29.8,28.0,38.0,0.0,0.0,2.0,92,0.6547886083984377,True,REGULAR,USD
DJX241115C00410000,2024-11-07 20:10:52+00:00,410.0,28.15,23.0,33.0,11.039999,64.52366,11.0,20,0.5931437170410157,True,REGULAR,USD
DJX241115C00415000,2024-11-06 14:35:26+00:00,415.0,20.15,18.0,28.0,0.0,0.0,3.0,11,0.5302781347656251,True,REGULAR,USD
DJX241115C00420000,2024-11-06 16:42:42+00:00,420.0,17.0,13.0,23.0,0.0,0.0,1.0,774,0.4655815161132813,True,REGULAR,USD
DJX241115C00425000,2024-11-06 18:18:32+00:00,425.0,13.15,8.0,18.0,0.14999962,1.1538432,1.0,774,0.3983214465332031,True,REGULAR,USD
DJX241115C00430000,2024-11-07 16:32:55+00:00,430.0,8.65,4.0,14.0,0.5999994,7.4534087,1.0,488,0.365667964477539,True,REGULAR,USD
DJX241115C00435000,2024-11-07 20:59:51+00:00,435.0,4.7,4.3,10.0,-0.5500002,-10.476194,66.0,2454,0.3223944714355468,True,REGULAR,USD
DJX241115C00440000,2024-11-06 21:12:59+00:00,440.0,2.74,1.67,2.14,0.0,0.0,52.0,240,0.12085840087890626,False,REGULAR,USD
DJX241115C00445000,2024-11-07 20:38:22+00:00,445.0,0.61,0.36,0.76,-0.029999971,-4.6874957,1.0,69,0.11811184631347656,False,REGULAR,USD
DJX241115C00450000,2024-11-07 17:34:19+00:00,450.0,0.16,0.01,0.28,-0.15,-48.3871,12.0,122,0.12500875,False,REGULAR,USD
DJX241115C00475000,2024-10-18 14:27:16+00:00,475.0,0.1,0.0,4.8,0.0,0.0,2.0,86,0.6159706372070313,False,REGULAR,USD
DJX241220C00100000,2023-12-29 17:37:04+00:00,100.0,275.55,269.0,293.0,0.0,0.0,1.0,53,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00190000,2024-03-19 16:02:03+00:00,190.0,204.12,183.0,199.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00195000,2022-06-24 17:44:35+00:00,195.0,127.25,122.5,138.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00200000,2023-11-20 14:30:31+00:00,200.0,154.36,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00205000,2023-04-25 19:48:26+00:00,205.0,138.12,123.0,139.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00210000,2023-10-26 17:00:43+00:00,210.0,124.98,141.85,156.9,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00215000,2022-07-06 17:58:49+00:00,215.0,106.05,116.3,129.0,0.0,0.0,2.0,8,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00220000,2022-07-06 17:58:46+00:00,220.0,102.1,112.45,124.95,0.0,0.0,2.0,7,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00225000,2022-07-05 19:08:32+00:00,225.0,97.0,106.5,122.5,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00230000,2022-07-05 19:08:30+00:00,230.0,93.3,102.5,118.5,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00235000,2022-07-05 19:16:03+00:00,235.0,89.85,100.05,116.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00240000,2022-08-16 18:08:44+00:00,240.0,118.15,85.5,95.5,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00245000,2022-08-16 17:24:49+00:00,245.0,113.95,82.0,92.0,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00250000,2022-07-05 19:08:24+00:00,250.0,78.95,90.5,100.5,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00255000,2022-08-18 18:43:06+00:00,255.0,104.3,73.5,83.5,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00265000,2022-08-18 18:43:29+00:00,265.0,97.05,67.0,77.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00280000,2023-06-15 15:39:58+00:00,280.0,81.0,77.0,87.0,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00300000,2024-01-17 19:59:32+00:00,300.0,83.56,91.0,101.0,0.0,0.0,1.0,8,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00305000,2022-10-13 15:39:35+00:00,305.0,41.5,65.1,74.5,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00310000,2024-07-05 20:14:51+00:00,310.0,89.65,87.0,97.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00315000,2023-12-12 16:29:02+00:00,315.0,65.44,68.0,78.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00320000,2022-08-05 14:28:00+00:00,320.0,49.8,38.0,48.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00325000,2023-10-04 13:54:26+00:00,325.0,33.0,33.6,43.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00330000,2022-12-22 18:32:13+00:00,330.0,41.6,39.7,49.3,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00335000,2024-03-19 16:02:03+00:00,335.0,68.2,51.0,61.0,0.0,0.0,5.0,6,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00340000,2024-03-19 16:02:03+00:00,340.0,63.81,47.0,57.0,0.0,0.0,3.0,5,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00345000,2022-12-05 20:57:32+00:00,345.0,45.65,33.6,43.0,0.0,0.0,5.0,1,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00350000,2024-10-25 15:27:15+00:00,350.0,75.35,84.0,94.0,0.0,0.0,16.0,6,0.625125819091797,True,REGULAR,USD
DJX241220C00355000,2023-09-27 16:05:16+00:00,355.0,20.32,9.25,18.0,0.0,0.0,1.0,7,1.0000000000000003e-05,True,REGULAR,USD
DJX241220C00360000,2024-11-04 17:31:56+00:00,360.0,60.66,74.0,84.0,0.0,0.0,11.0,2501,0.5690350714111327,True,REGULAR,USD
DJX241220C00370000,2024-05-02 14:50:14+00:00,370.0,27.58,26.0,36.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
