contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
DJX241108P00405000,2024-11-01 16:43:04+00:00,405.0,0.73,0.0,0.24,0.0,0.0,3.0,3,0.507817421875,False,REGULAR,USD
DJX241108P00415000,2024-11-05 20:32:24+00:00,415.0,1.82,0.0,0.25,0.0,0.0,1.0,2,0.418951123046875,False,REGULAR,USD
DJX241108P00420000,2024-11-06 16:49:52+00:00,420.0,0.01,0.0,0.25,0.0,0.0,4.0,114,0.3403386279296875,False,REGULAR,USD
DJX241115P00250000,2024-09-20 14:20:01+00:00,250.0,0.07,0.0,4.8,0.0,0.0,50.0,250,2.1792037707519527,False,REGULAR,USD
DJX241115P00320000,2024-10-15 18:33:08+00:00,320.0,0.14,0.01,4.8,0.0,0.0,,9,1.343020863037109,False,REGULAR,USD
DJX241115P00325000,2024-10-16 14:35:07+00:00,325.0,0.15,0.0,4.8,0.0,0.0,3.0,7,1.2883336364746092,False,REGULAR,USD
DJX241115P00340000,2024-11-06 18:29:04+00:00,340.0,0.01,0.0,0.11,0.0,0.0,27.0,28,0.6171913281250001,False,REGULAR,USD
DJX241115P00345000,2024-10-16 14:35:07+00:00,345.0,0.28,0.0,4.8,0.0,0.0,4.0,6,1.0776413305664065,False,REGULAR,USD
DJX241115P00350000,2024-10-21 15:25:27+00:00,350.0,0.21,0.0,4.8,0.0,0.0,1.0,3,1.0261279162597656,False,REGULAR,USD
DJX241115P00355000,2024-09-18 14:40:11+00:00,355.0,0.9,0.0,4.8,0.0,0.0,,1,0.9749758361816407,False,REGULAR,USD
DJX241115P00360000,2024-10-23 18:08:28+00:00,360.0,4.11,0.0,4.8,0.0,0.0,,2,0.9240730249023439,False,REGULAR,USD
DJX241115P00365000,2024-10-15 18:09:08+00:00,365.0,0.52,0.0,4.8,0.0,0.0,4.0,5,0.8735364208984374,False,REGULAR,USD
DJX241115P00370000,2024-10-24 16:07:51+00:00,370.0,0.36,0.0,0.12,0.0,0.0,15.0,35,0.46973186523437505,False,REGULAR,USD
DJX241115P00375000,2024-10-25 15:57:38+00:00,375.0,0.37,0.0,0.12,0.0,0.0,40.0,50,0.436529072265625,False,REGULAR,USD
DJX241115P00380000,2024-11-01 13:39:50+00:00,380.0,0.44,0.0,0.13,0.0,0.0,1.0,50,0.40772076660156253,False,REGULAR,USD
DJX241115P00385000,2024-11-05 17:45:12+00:00,385.0,0.38,0.0,0.14,0.0,0.0,15.0,37,0.37842418457031246,False,REGULAR,USD
DJX241115P00390000,2024-11-04 21:00:02+00:00,390.0,0.72,0.0,4.8,0.0,0.0,1.0,78,0.6223182299804688,False,REGULAR,USD
DJX241115P00395000,2024-11-06 14:49:18+00:00,395.0,0.11,0.0,0.17,0.0,0.0,1341.0,1341,0.32129584960937496,False,REGULAR,USD
DJX241115P00400000,2024-11-05 20:34:21+00:00,400.0,0.87,0.0,0.19,0.0,0.0,2.0,201,0.2924875439453124,False,REGULAR,USD
DJX241115P00405000,2024-11-07 19:16:48+00:00,405.0,0.15,0.0,0.21,-1.93,-92.78847,6.0,130,0.2622144091796875,False,REGULAR,USD
DJX241115P00410000,2024-11-07 21:14:50+00:00,410.0,0.23,0.0,0.24,0.040000007,21.052635,11.0,51,0.23242955078125,False,REGULAR,USD
DJX241115P00415000,2024-11-06 15:22:10+00:00,415.0,0.38,0.05,0.27,0.0,0.0,1357.0,1379,0.20069158691406247,False,REGULAR,USD
DJX241115P00420000,2024-11-06 15:15:47+00:00,420.0,0.65,0.1,0.36,0.0,0.0,8.0,77,0.17383638671875,False,REGULAR,USD
DJX241115P00425000,2024-11-07 18:28:35+00:00,425.0,0.49,0.22,0.53,-0.3,-37.974686,3.0,40,0.14783567016601565,False,REGULAR,USD
DJX241115P00430000,2024-11-07 20:39:47+00:00,430.0,0.8,0.56,0.96,-0.59999996,-42.85714,4.0,202,0.12683978637695312,False,REGULAR,USD
DJX241115P00435000,2024-11-07 20:52:13+00:00,435.0,1.78,1.47,1.93,-0.9000001,-33.582092,83.0,19,0.10743080078125,False,REGULAR,USD
DJX241115P00440000,2024-11-07 16:47:18+00:00,440.0,4.05,0.14,4.2,-0.9499998,-18.999996,6.0,13,0.09559009887695313,True,REGULAR,USD
DJX241220P00100000,2024-10-07 18:21:42+00:00,100.0,0.04,0.0,0.08,0.0,0.0,,1,1.421877890625,False,REGULAR,USD
DJX241220P00140000,2022-06-14 19:48:15+00:00,140.0,5.0,0.0,9.6,0.0,0.0,3.0,1,2.1447800286865233,False,REGULAR,USD
DJX241220P00160000,2024-08-19 13:41:57+00:00,160.0,0.06,0.0,0.16,0.0,0.0,6.0,0,1.0468797656250002,False,REGULAR,USD
DJX241220P00170000,2024-08-19 13:41:35+00:00,170.0,0.07,0.0,0.17,0.0,0.0,4.0,3,0.992187578125,False,REGULAR,USD
DJX241220P00180000,2024-08-20 14:20:08+00:00,180.0,0.1,0.0,0.17,0.0,0.0,,50,0.9355475195312499,False,REGULAR,USD
DJX241220P00190000,2024-08-28 13:40:13+00:00,190.0,0.12,0.0,0.0,0.0,0.0,100.0,100,0.500005,False,REGULAR,USD
DJX241220P00200000,2022-08-12 19:45:21+00:00,200.0,6.35,2.0,11.2,0.0,0.0,1.0,7,1.6558855096435547,False,REGULAR,USD
DJX241220P00205000,2022-08-16 17:38:31+00:00,205.0,6.9,2.74,12.1,0.0,0.0,1.0,2,1.6611345068359378,False,REGULAR,USD
DJX241220P00210000,2022-08-16 17:24:50+00:00,210.0,7.45,3.75,12.95,0.0,0.0,1.0,1,1.6689469677734377,False,REGULAR,USD
DJX241220P00220000,2024-05-14 18:35:14+00:00,220.0,0.35,0.0,4.8,0.0,0.0,1.0,1,1.1779826257324215,False,REGULAR,USD
DJX241220P00225000,2024-08-01 13:33:39+00:00,225.0,0.21,0.0,4.8,0.0,0.0,,1,1.144291387939453,False,REGULAR,USD
