contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
NDXP241108C17000000,2024-11-08 14:41:35+00:00,17000.0,4116.0,4022.0,4222.0,564.0,15.878378,1.0,1.0,1.7336439099121095,1.0,REGULAR,USD,2024-11-08
NDXP241108C17300000,2024-11-04 16:43:42+00:00,17300.0,2709.29,3722.0,3921.5,0.0,0.0,1.0,0.0,1.5980855056762695,1.0,REGULAR,USD,2024-11-08
NDXP241108C17400000,2024-11-04 17:53:14+00:00,17400.0,2637.38,3622.0,3820.0,0.0,0.0,1.0,0.0,1.5233788479614256,1.0,REGULAR,USD,2024-11-08
NDXP241108C17500000,2024-11-04 17:53:14+00:00,17500.0,2537.82,3522.0,3720.0,0.0,0.0,2.0,1.0,1.4830958462524415,1.0,REGULAR,USD,2024-11-08
NDXP241108C17550000,2024-11-04 17:53:14+00:00,17550.0,2488.07,3472.0,3671.5,0.0,0.0,1.0,0.0,1.4954859210205076,1.0,REGULAR,USD,2024-11-08
NDXP241108C17700000,2024-11-07 14:50:02+00:00,17700.0,3252.29,3322.0,3520.0,0.0,0.0,1.0,3.0,1.4029570867919923,1.0,REGULAR,USD,2024-11-08
NDXP241108C18325000,2024-10-07 16:34:21+00:00,18325.0,1843.08,2469.7,2495.6,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C18350000,2024-10-07 16:34:21+00:00,18350.0,1820.72,2446.7,2472.5,0.0,0.0,,2.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C18375000,2024-10-07 16:34:21+00:00,18375.0,1798.49,2417.9,2443.9,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C18500000,2024-11-08 18:53:49+00:00,18500.0,2639.72,2522.0,2722.0,917.12,53.24045,1.0,1.0,1.1203046914672852,1.0,REGULAR,USD,2024-11-08
NDXP241108C18625000,2024-11-05 15:00:31+00:00,18625.0,1581.35,2398.0,2596.0,0.0,0.0,1.0,1.0,1.0702561135864261,1.0,REGULAR,USD,2024-11-08
NDXP241108C18650000,2024-11-05 15:00:31+00:00,18650.0,1556.55,2372.0,2572.0,0.0,0.0,1.0,1.0,1.0602463980102543,1.0,REGULAR,USD,2024-11-08
NDXP241108C18800000,2024-10-23 19:28:19+00:00,18800.0,1379.74,2222.0,2420.0,0.0,0.0,1.0,0.0,0.9697878997802734,1.0,REGULAR,USD,2024-11-08
NDXP241108C18900000,2024-09-13 15:31:47+00:00,18900.0,1142.4,1526.5,1566.6,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C18975000,2024-10-07 16:49:43+00:00,18975.0,1277.73,1822.3,1847.7,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C19000000,2024-10-07 16:49:43+00:00,19000.0,1257.41,1802.6,1828.4,0.0,0.0,2.0,3.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C19025000,2024-10-07 16:49:43+00:00,19025.0,1237.23,1773.2,1798.8,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C19075000,2024-11-08 20:40:49+00:00,19075.0,2039.64,1948.0,2148.0,1000.89,96.35523,3.0,3.0,0.9148568084716797,1.0,REGULAR,USD,2024-11-08
NDXP241108C19100000,2024-11-04 15:43:07+00:00,19100.0,1016.55,1922.0,2122.0,0.0,0.0,3.0,4.0,0.8806774627685545,1.0,REGULAR,USD,2024-11-08
NDXP241108C19125000,2024-10-07 17:02:23+00:00,19125.0,1167.35,1678.6,1703.9,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C19150000,2024-11-08 20:08:42+00:00,19150.0,1966.8,1872.0,2072.0,1038.06,111.7708,1.0,1.0,0.8607802008056642,1.0,REGULAR,USD,2024-11-08
NDXP241108C19200000,2024-11-06 15:05:53+00:00,19200.0,1377.63,1822.0,2020.0,0.0,0.0,1.0,1.0,0.8142718768310546,1.0,REGULAR,USD,2024-11-08
NDXP241108C19280000,2024-10-24 15:58:58+00:00,19280.0,1072.78,1742.0,1942.0,0.0,0.0,,1.0,0.8089923886108398,1.0,REGULAR,USD,2024-11-08
NDXP241108C19300000,2024-11-08 17:56:26+00:00,19300.0,1815.8,1722.0,1922.0,538.1001,42.114746,3.0,5.0,0.8010273803710937,1.0,REGULAR,USD,2024-11-08
NDXP241108C19340000,2024-11-06 15:15:09+00:00,19340.0,1298.39,1682.0,1882.0,0.0,0.0,2.0,2.0,0.7850973638916017,1.0,REGULAR,USD,2024-11-08
NDXP241108C19400000,2024-09-13 15:34:21+00:00,19400.0,802.35,1103.1,1140.3,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C19430000,2024-11-04 14:35:36+00:00,19430.0,654.65,1592.0,1792.0,0.0,0.0,1.0,1.0,0.7492090509033205,1.0,REGULAR,USD,2024-11-08
NDXP241108C19440000,2024-11-06 15:15:09+00:00,19440.0,1199.94,1582.0,1782.0,0.0,0.0,2.0,2.0,0.7452112881469727,1.0,REGULAR,USD,2024-11-08
NDXP241108C19450000,2024-11-08 17:56:26+00:00,19450.0,1665.77,1572.0,1772.0,953.99,134.02876,3.0,4.0,0.7412135253906249,1.0,REGULAR,USD,2024-11-08
NDXP241108C19470000,2024-11-06 15:18:11+00:00,19470.0,1197.49,1552.0,1752.0,0.0,0.0,2.0,2.0,0.7332485171508788,1.0,REGULAR,USD,2024-11-08
NDXP241108C19500000,2024-11-05 16:06:28+00:00,19500.0,716.45,1522.0,1722.0,0.0,0.0,1.0,3.0,0.7212857461547851,1.0,REGULAR,USD,2024-11-08
NDXP241108C19570000,2024-11-06 15:18:11+00:00,19570.0,1098.65,1452.0,1652.0,0.0,0.0,2.0,2.0,0.6933014068603516,1.0,REGULAR,USD,2024-11-08
NDXP241108C19600000,2024-11-07 17:09:53+00:00,19600.0,1457.16,1422.0,1622.0,0.0,0.0,1.0,2.0,0.6813386358642579,1.0,REGULAR,USD,2024-11-08
NDXP241108C19625000,2024-09-30 19:38:30+00:00,19625.0,810.87,842.6,914.1,0.0,0.0,3.0,3.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C19650000,2024-10-01 19:18:34+00:00,19650.0,720.16,577.5,584.6,0.0,0.0,,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
NDXP241108C19675000,2024-10-23 19:57:03+00:00,19675.0,681.7,1348.0,1546.0,0.0,0.0,1.0,1.0,0.6513096392822266,1.0,REGULAR,USD,2024-11-08
NDXP241108C19700000,2024-11-05 20:58:08+00:00,19700.0,603.94,1322.0,1522.0,0.0,0.0,1.0,3.0,0.6412999737548828,1.0,REGULAR,USD,2024-11-08
NDXP241108C19720000,2024-11-06 15:17:50+00:00,19720.0,949.51,1302.0,1502.0,0.0,0.0,1.0,1.0,0.6332739309692383,1.0,REGULAR,USD,2024-11-08
NDXP241108C19775000,2024-10-23 19:57:03+00:00,19775.0,611.35,1248.0,1446.0,0.0,0.0,1.0,1.0,0.6112099426269533,1.0,REGULAR,USD,2024-11-08
NDXP241108C19800000,2024-11-07 17:31:35+00:00,19800.0,1274.12,1222.0,1421.5,0.0,0.0,1.0,2.0,0.5963175134277343,1.0,REGULAR,USD,2024-11-08
NDXP241108C19820000,2024-11-06 15:17:50+00:00,19820.0,850.63,1202.0,1401.5,0.0,0.0,1.0,1.0,0.5883219879150392,1.0,REGULAR,USD,2024-11-08
NDXP241108C19825000,2024-11-06 20:59:38+00:00,19825.0,949.96,1198.0,1398.0,0.0,0.0,1.0,0.0,0.608799078063965,1.0,REGULAR,USD,2024-11-08
NDXP241108C19830000,2024-11-06 20:59:38+00:00,19830.0,944.97,1192.0,1391.5,0.0,0.0,1.0,0.0,0.5843547424316407,1.0,REGULAR,USD,2024-11-08
NDXP241108C19900000,2024-11-07 20:58:29+00:00,19900.0,1201.5,1122.0,1320.0,0.0,0.0,2.0,20.0,0.5415084912109377,1.0,REGULAR,USD,2024-11-08
NDXP241108C19920000,2024-11-06 14:46:10+00:00,19920.0,722.4,1102.0,1301.5,0.0,0.0,1.0,1.0,0.5482833258056643,1.0,REGULAR,USD,2024-11-08
NDXP241108C19950000,2024-11-08 18:42:44+00:00,19950.0,1195.88,1072.0,1271.5,445.97998,59.471928,2.0,13.0,0.536259520263672,1.0,REGULAR,USD,2024-11-08
NDXP241108C19960000,2024-10-31 18:59:01+00:00,19960.0,341.1,1062.0,1260.0,0.0,0.0,,3.0,0.5179186392211915,1.0,REGULAR,USD,2024-11-08
NDXP241108C19975000,2024-10-18 14:37:46+00:00,19975.0,651.71,1048.0,1248.0,0.0,0.0,1.0,1.0,0.5468795312500001,1.0,REGULAR,USD,2024-11-08
NDXP241108C19990000,2024-10-31 16:31:02+00:00,19990.0,339.5,1032.0,1232.0,0.0,0.0,,3.0,0.5245408874511719,1.0,REGULAR,USD,2024-11-08
NDXP241108C20000000,2024-11-08 20:08:29+00:00,20000.0,1119.08,1022.0,1222.0,-16.920044,-1.4894404,6.0,72.0,0.5204820901489257,1.0,REGULAR,USD,2024-11-08
NDXP241108C20010000,2024-10-31 14:01:43+00:00,20010.0,367.9,1012.0,1212.0,0.0,0.0,2.0,1.0,0.5164232928466796,1.0,REGULAR,USD,2024-11-08
NDXP241108C20020000,2024-11-04 17:31:02+00:00,20020.0,287.6,1002.0,1200.0,0.0,0.0,3.0,3.0,1.0623978765106203,1.0,REGULAR,USD,2024-11-08
NDXP241108C20040000,2024-11-04 19:59:01+00:00,20040.0,284.2,982.0,1180.0,0.0,0.0,9.0,10.0,1.049405082588196,1.0,REGULAR,USD,2024-11-08
NDXP241108C20050000,2024-11-01 18:44:58+00:00,20050.0,319.83,972.0,1172.0,0.0,0.0,164.0,42.0,0.5001881036376954,1.0,REGULAR,USD,2024-11-08
NDXP241108C20060000,2024-11-01 18:59:02+00:00,20060.0,314.2,962.0,1162.0,0.0,0.0,9.0,12.0,1.043644918518067,1.0,REGULAR,USD,2024-11-08
NDXP241108C20070000,2024-11-05 15:57:40+00:00,20070.0,307.55,1001.3,1095.8,0.0,0.0,1.0,2.0,0.8081684222412109,1.0,REGULAR,USD,2024-11-08
NDXP241108C20075000,2024-11-06 17:12:48+00:00,20075.0,632.25,996.3,1090.8,0.0,0.0,1.0,2.0,0.8053226865386962,1.0,REGULAR,USD,2024-11-08
NDXP241108C20080000,2024-11-06 14:46:10+00:00,20080.0,571.8,991.3,1085.8,0.0,0.0,1.0,4.0,0.8024693215179441,1.0,REGULAR,USD,2024-11-08
NDXP241108C20090000,2024-11-01 19:44:53+00:00,20090.0,299.4,981.3,1075.8,0.0,0.0,1.0,1.0,0.7967702207946776,1.0,REGULAR,USD,2024-11-08
NDXP241108C20100000,2024-11-08 17:59:10+00:00,20100.0,1010.63,971.4,1065.8,79.5,8.5380125,2.0,52.0,0.791063490753174,1.0,REGULAR,USD,2024-11-08
