contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
NDXP241108P16400000,2024-11-08 20:06:58+00:00,16400.0,0.05,0.0,0.05,-0.05,-50.0,1.0,155.0,1.2812535937499998,0.0,REGULAR,USD,2024-11-08
NDXP241108P16425000,2024-10-31 15:21:38+00:00,16425.0,6.0,0.0,0.1,0.0,0.0,,2.0,1.3320345898437496,0.0,REGULAR,USD,2024-11-08
NDXP241108P16450000,2024-10-14 17:20:46+00:00,16450.0,16.0,0.0,0.1,0.0,0.0,10.0,22.0,1.32422212890625,0.0,REGULAR,USD,2024-11-08
NDXP241108P16475000,2024-10-31 14:59:00+00:00,16475.0,5.6,0.0,20.0,0.0,0.0,6.0,10.0,2.147831778869629,0.0,REGULAR,USD,2024-11-08
NDXP241108P16525000,2024-10-25 17:18:28+00:00,16525.0,4.4,0.0,20.0,0.0,0.0,3.0,3.0,2.12473002998352,0.0,REGULAR,USD,2024-11-08
NDXP241108P16575000,2024-10-07 15:06:19+00:00,16575.0,37.8,0.0,0.4,0.0,0.0,,1.0,1.4160185449218752,0.0,REGULAR,USD,2024-11-08
NDXP241108P16700000,2024-11-07 21:12:51+00:00,16700.0,0.1,0.0,20.0,0.0,0.0,1.0,7.0,2.04428589515686,0.0,REGULAR,USD,2024-11-08
NDXP241108P16775000,2024-09-27 13:34:48+00:00,16775.0,37.3,6.0,7.1,0.0,0.0,2.0,2.0,1.8997197396850587,0.0,REGULAR,USD,2024-11-08
NDXP241108P16800000,2024-10-10 15:10:22+00:00,16800.0,29.0,0.0,20.0,0.0,0.0,,1.0,1.9985656809997556,0.0,REGULAR,USD,2024-11-08
NDXP241108P16900000,2024-11-04 17:11:59+00:00,16900.0,1.71,0.0,20.0,0.0,0.0,10.0,11.0,1.9530031646728516,0.0,REGULAR,USD,2024-11-08
NDXP241108P17000000,2024-10-29 19:02:38+00:00,17000.0,4.5,0.0,20.0,0.0,0.0,1.0,5.0,1.9076542703247075,0.0,REGULAR,USD,2024-11-08
NDXP241108P17075000,2024-11-05 19:34:51+00:00,17075.0,1.8,0.0,20.0,0.0,0.0,2.0,2.0,1.8737188931274416,0.0,REGULAR,USD,2024-11-08
NDXP241108P17100000,2024-11-05 19:44:18+00:00,17100.0,1.8,0.0,20.0,0.0,0.0,2.0,5.0,1.862457963104248,0.0,REGULAR,USD,2024-11-08
NDXP241108P17200000,2024-11-04 17:11:29+00:00,17200.0,1.95,0.0,0.05,0.0,0.0,20.0,22.0,1.0546922265625,0.0,REGULAR,USD,2024-11-08
NDXP241108P17250000,2024-10-30 19:21:15+00:00,17250.0,4.85,0.0,0.05,0.0,0.0,2.0,5.0,1.0390673046875003,0.0,REGULAR,USD,2024-11-08
NDXP241108P17275000,2024-10-10 13:58:42+00:00,17275.0,41.5,0.0,20.0,0.0,0.0,,1.0,1.7837535226440426,0.0,REGULAR,USD,2024-11-08
NDXP241108P17300000,2024-11-05 18:44:22+00:00,17300.0,2.1,0.0,20.0,0.0,0.0,11.0,15.0,1.7725231100463863,0.0,REGULAR,USD,2024-11-08
NDXP241108P17400000,2024-11-07 20:18:09+00:00,17400.0,0.1,0.0,20.0,0.0,0.0,7.0,52.0,1.7277845642089846,0.0,REGULAR,USD,2024-11-08
NDXP241108P17425000,2024-10-24 19:48:43+00:00,17425.0,11.0,0.0,20.0,0.0,0.0,,3.0,1.7166151864624024,0.0,REGULAR,USD,2024-11-08
NDXP241108P17450000,2024-09-17 18:20:00+00:00,17450.0,145.67,24.4,26.2,0.0,0.0,,1.0,1.9758607164001465,0.0,REGULAR,USD,2024-11-08
NDXP241108P17475000,2024-10-18 14:40:10+00:00,17475.0,20.45,0.0,20.0,0.0,0.0,1.0,1.0,1.6943374658203125,0.0,REGULAR,USD,2024-11-08
