contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
RUTW241108C01950000,2024-11-08 20:23:55+00:00,1950.0,446.48,440.0,460.0,-2.419983,-0.53909177,5.0,5.0,1.5859395703124997,1.0,REGULAR,USD,2024-11-08
RUTW241108C01965000,2024-11-07 20:43:27+00:00,1965.0,424.51,425.0,445.0,0.0,0.0,5.0,2.0,1.5332054589843749,1.0,REGULAR,USD,2024-11-08
RUTW241108C01990000,2024-11-08 20:24:15+00:00,1990.0,406.31,400.4,420.4,9.169983,2.309005,4.0,11.0,1.5869161279296873,1.0,REGULAR,USD,2024-11-08
RUTW241108C01995000,2024-10-14 19:36:03+00:00,1995.0,269.07,395.4,415.4,0.0,0.0,5.0,5.0,1.5683615332031249,1.0,REGULAR,USD,2024-11-08
RUTW241108C02000000,2024-11-01 19:45:35+00:00,2000.0,400.45,390.4,410.4,190.02002,90.30083,3.0,3.0,1.5498069384765623,1.0,REGULAR,USD,2024-11-08
RUTW241108C02010000,2024-11-08 20:23:55+00:00,2010.0,386.43,380.4,400.4,181.68999,88.741806,1.0,1.0,1.5122094702148439,1.0,REGULAR,USD,2024-11-08
RUTW241108C02025000,2024-10-29 20:07:19+00:00,2025.0,220.14,365.4,385.4,0.0,0.0,5.0,5.0,1.456545686035156,1.0,REGULAR,USD,2024-11-08
RUTW241108C02030000,2024-10-31 14:15:01+00:00,2030.0,193.68,360.4,380.4,0.0,0.0,1.0,6.0,1.4379910913085938,1.0,REGULAR,USD,2024-11-08
RUTW241108C02050000,2024-11-01 15:24:35+00:00,2050.0,176.37,340.4,360.4,0.0,0.0,1.0,1.0,1.3637727124023438,1.0,REGULAR,USD,2024-11-08
RUTW241108C02055000,2024-10-07 19:01:49+00:00,2055.0,159.97,339.0,342.5,0.0,0.0,,2.0,1.0000000000000003e-05,1.0,REGULAR,USD,2024-11-08
RUTW241108C02060000,2024-11-01 19:46:03+00:00,2060.0,336.28,330.4,350.4,182.2,118.25026,4.0,4.0,1.3271518017578123,1.0,REGULAR,USD,2024-11-08
RUTW241108C02065000,2024-11-04 17:36:04+00:00,2065.0,170.5,325.0,345.0,0.0,0.0,1.0,0.0,1.1884806201171876,1.0,REGULAR,USD,2024-11-08
RUTW241108C02070000,2024-11-01 19:45:35+00:00,2070.0,330.45,320.4,340.4,185.84001,128.51118,3.0,3.0,1.2900426123046875,1.0,REGULAR,USD,2024-11-08
RUTW241108C02100000,2024-11-04 19:28:17+00:00,2100.0,132.71,290.4,310.4,0.0,0.0,1.0,1.0,1.1801798803710937,1.0,REGULAR,USD,2024-11-08
RUTW241108C02105000,2024-10-25 15:25:07+00:00,2105.0,134.4,285.4,305.4,0.0,0.0,1.0,0.0,1.162113564453125,1.0,REGULAR,USD,2024-11-08
RUTW241108C02110000,2024-11-08 20:22:12+00:00,2110.0,286.95,280.4,300.4,176.41,159.58928,3.0,3.0,1.1435589697265625,1.0,REGULAR,USD,2024-11-08
RUTW241108C02130000,2024-10-25 15:20:51+00:00,2130.0,115.22,260.4,280.4,0.0,0.0,3.0,0.0,1.070805427246094,1.0,REGULAR,USD,2024-11-08
RUTW241108C02135000,2024-11-08 18:53:40+00:00,2135.0,261.82,255.4,275.4,158.64001,153.75076,1.0,7.0,1.0524949719238283,1.0,REGULAR,USD,2024-11-08
RUTW241108C02140000,2024-11-05 15:29:05+00:00,2140.0,103.71,250.4,270.4,0.0,0.0,1.0,5.0,1.0341845166015626,1.0,REGULAR,USD,2024-11-08
RUTW241108C02160000,2024-11-08 20:16:27+00:00,2160.0,238.32,230.0,250.0,141.94,147.27121,2.0,4.0,0.8676771044921875,1.0,REGULAR,USD,2024-11-08
RUTW241108C02165000,2024-10-30 13:49:19+00:00,2165.0,101.49,225.0,245.0,0.0,0.0,10.0,10.0,0.8510757080078125,1.0,REGULAR,USD,2024-11-08
RUTW241108C02170000,2024-10-17 19:38:43+00:00,2170.0,136.19,220.0,240.0,0.0,0.0,,2.0,0.8339860351562498,1.0,REGULAR,USD,2024-11-08
RUTW241108C02175000,2024-11-08 20:04:02+00:00,2175.0,225.95,215.0,235.0,140.79999,165.35522,2.0,13.0,0.8173846386718748,1.0,REGULAR,USD,2024-11-08
RUTW241108C02180000,2024-11-05 18:21:19+00:00,2180.0,81.5,210.0,230.0,0.0,0.0,2.0,1.0,0.8007832421875,1.0,REGULAR,USD,2024-11-08
RUTW241108C02185000,2024-11-06 16:50:39+00:00,2185.0,187.91,205.0,225.0,0.0,0.0,1.0,2.0,0.7836935693359376,1.0,REGULAR,USD,2024-11-08
RUTW241108C02190000,2024-11-08 15:48:40+00:00,2190.0,201.0,201.0,221.0,18.14,9.920157,1.0,3.0,0.936524072265625,1.0,REGULAR,USD,2024-11-08
RUTW241108C02195000,2024-11-06 16:50:00+00:00,2195.0,176.88,199.0,215.0,0.0,0.0,85.0,68.0,1.015629921875,1.0,REGULAR,USD,2024-11-08
RUTW241108C02200000,2024-11-08 16:42:38+00:00,2200.0,189.41,194.0,210.0,-7.149994,-3.637563,4.0,83.0,0.9946289599609376,1.0,REGULAR,USD,2024-11-08
RUTW241108C02205000,2024-11-06 17:07:40+00:00,2205.0,171.93,189.0,205.0,0.0,0.0,5.0,12.0,0.9735110070800781,1.0,REGULAR,USD,2024-11-08
RUTW241108C02210000,2024-11-08 20:22:12+00:00,2210.0,186.96,184.0,200.0,-8.659988,-4.4269443,1.0,73.0,0.9523930541992187,1.0,REGULAR,USD,2024-11-08
RUTW241108C02215000,2024-11-08 16:01:55+00:00,2215.0,179.56,179.0,195.0,-11.01001,-5.7774096,9.0,22.0,0.9312751013183593,1.0,REGULAR,USD,2024-11-08
RUTW241108C02220000,2024-11-08 15:48:40+00:00,2220.0,170.55,174.0,190.0,14.339996,9.179947,1.0,207.0,0.9101571484375,1.0,REGULAR,USD,2024-11-08
RUTW241108C02225000,2024-11-08 20:06:43+00:00,2225.0,178.84,169.0,185.0,20.569992,12.996773,4.0,51.0,0.8889171264648437,1.0,REGULAR,USD,2024-11-08
RUTW241108C02230000,2024-11-08 14:52:02+00:00,2230.0,161.85,164.0,180.0,32.53,25.154654,2.0,45.0,0.8676771044921875,1.0,REGULAR,USD,2024-11-08
RUTW241108C02235000,2024-11-08 15:34:06+00:00,2235.0,160.7,159.0,175.0,114.85,250.49074,1.0,20.0,0.8464370825195311,1.0,REGULAR,USD,2024-11-08
RUTW241108C02240000,2024-11-08 15:00:14+00:00,2240.0,152.65,154.0,170.0,-0.9500122,-0.6184975,5.0,33.0,0.8251970605468748,1.0,REGULAR,USD,2024-11-08
RUTW241108C02245000,2024-11-08 15:04:46+00:00,2245.0,140.55,149.0,165.0,-6.779999,-4.601913,5.0,15.0,0.8038349694824218,1.0,REGULAR,USD,2024-11-08
RUTW241108C02250000,2024-11-08 20:27:35+00:00,2250.0,147.13,144.0,160.0,7.720001,5.5376234,5.0,61.0,0.7824728784179689,1.0,REGULAR,USD,2024-11-08
RUTW241108C02255000,2024-11-08 19:13:47+00:00,2255.0,141.7,139.0,155.0,16.919998,13.559863,4.0,55.0,0.7609887182617189,1.0,REGULAR,USD,2024-11-08
RUTW241108C02260000,2024-11-08 15:34:06+00:00,2260.0,132.0,134.0,150.0,8.440002,6.830692,5.0,214.0,0.7395045581054687,1.0,REGULAR,USD,2024-11-08
RUTW241108C02265000,2024-11-05 20:19:04+00:00,2265.0,40.22,129.0,145.0,0.0,0.0,8.0,8.0,0.7178983288574219,1.0,REGULAR,USD,2024-11-08
RUTW241108C02270000,2024-11-06 15:42:23+00:00,2270.0,120.85,124.0,140.0,13.610001,12.69116,2.0,27.0,0.6962920996093751,1.0,REGULAR,USD,2024-11-08
RUTW241108C02275000,2024-11-06 20:57:16+00:00,2275.0,119.84,119.0,135.0,0.0,0.0,54.0,69.0,0.6746858703613283,1.0,REGULAR,USD,2024-11-08
RUTW241108C02280000,2024-11-07 19:46:33+00:00,2280.0,98.94,114.0,130.0,0.0,0.0,1.0,32.0,0.6528355029296876,1.0,REGULAR,USD,2024-11-08
RUTW241108C02285000,2024-11-07 15:46:54+00:00,2285.0,118.82,109.0,125.0,0.0,0.0,2.0,17.0,0.6309851354980469,1.0,REGULAR,USD,2024-11-08
RUTW241108C02290000,2024-11-06 17:53:47+00:00,2290.0,95.54,104.0,120.0,0.0,0.0,20.0,59.0,0.6091347680664063,1.0,REGULAR,USD,2024-11-08
RUTW241108C02295000,2024-11-06 20:16:32+00:00,2295.0,102.45,101.0,117.0,0.0,0.0,6.0,15.0,0.6870148486328126,1.0,REGULAR,USD,2024-11-08
RUTW241108C02300000,2024-11-08 19:47:40+00:00,2300.0,101.87,97.0,107.0,15.970001,18.591387,9.0,167.0,0.5649457568359376,1.0,REGULAR,USD,2024-11-08
RUTW241108C02305000,2024-11-07 19:05:26+00:00,2305.0,78.01,92.0,102.0,0.0,0.0,3.0,45.0,0.5426071130371095,1.0,REGULAR,USD,2024-11-08
RUTW241108C02310000,2024-11-08 16:39:45+00:00,2310.0,82.51,87.0,97.0,-0.5400009,-0.6502118,4.0,188.0,0.5202684692382812,1.0,REGULAR,USD,2024-11-08
RUTW241108C02315000,2024-11-08 14:36:49+00:00,2315.0,70.25,82.0,92.0,-0.8499985,-1.1954972,1.0,22.0,0.6963531341552736,1.0,REGULAR,USD,2024-11-08
