contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
RUTW241108P01850000,2024-11-07 14:44:49+00:00,1850.0,0.05,0.0,4.8,0.0,0.0,1.0,199.0,2.4978064898681644,False,REGULAR,USD,2024-11-08
RUTW241108P01860000,2024-11-04 16:01:46+00:00,1860.0,0.37,0.0,4.8,0.0,0.0,2.0,14.0,2.4531288671875,False,REGULAR,USD,2024-11-08
RUTW241108P01870000,2024-11-05 21:12:35+00:00,1870.0,0.32,0.0,4.8,0.0,0.0,10.0,63.0,2.4084512445068356,False,REGULAR,USD,2024-11-08
RUTW241108P01875000,2024-11-01 19:52:27+00:00,1875.0,0.6,0.0,4.8,0.0,0.0,1.0,12.0,2.3862345031738275,False,REGULAR,USD,2024-11-08
RUTW241108P01880000,2024-11-04 18:24:39+00:00,1880.0,0.45,0.0,4.8,0.0,0.0,1.0,20.0,2.3642619018554685,False,REGULAR,USD,2024-11-08
RUTW241108P01890000,2024-11-01 14:51:15+00:00,1890.0,0.75,0.0,4.8,0.0,0.0,5.0,105.0,2.3198284191894527,False,REGULAR,USD,2024-11-08
RUTW241108P01900000,2024-11-07 20:57:44+00:00,1900.0,0.05,0.0,4.8,0.0,0.0,1.0,507.0,2.275883216552734,False,REGULAR,USD,2024-11-08
RUTW241108P01905000,2024-10-29 19:58:29+00:00,1905.0,1.27,0.0,4.8,0.0,0.0,10.0,159.0,2.253910615234375,False,REGULAR,USD,2024-11-08
RUTW241108P01910000,2024-11-08 18:21:22+00:00,1910.0,0.05,0.0,4.8,-1.2,-96.00001,5.0,548.0,2.231938013916015,False,REGULAR,USD,2024-11-08
RUTW241108P01915000,2024-10-28 19:30:36+00:00,1915.0,1.25,0.0,4.8,0.0,0.0,6.0,148.0,2.209965412597656,False,REGULAR,USD,2024-11-08
RUTW241108P01920000,2024-11-08 18:43:56+00:00,1920.0,0.01,0.0,4.8,-1.55,-99.35898,127.0,775.0,2.1879928112792966,False,REGULAR,USD,2024-11-08
RUTW241108P01925000,2024-10-21 15:02:15+00:00,1925.0,2.25,0.0,4.8,0.0,0.0,6.0,72.0,2.1662643499755854,False,REGULAR,USD,2024-11-08
RUTW241108P01930000,2024-11-08 18:43:56+00:00,1930.0,0.05,0.0,4.8,-2.69,-98.17518,127.0,399.0,2.144535888671875,False,REGULAR,USD,2024-11-08
RUTW241108P01935000,2024-10-11 13:45:15+00:00,1935.0,6.17,0.0,4.8,0.0,0.0,,137.0,2.122563287353515,False,REGULAR,USD,2024-11-08
RUTW241108P01940000,2024-11-05 15:38:49+00:00,1940.0,0.34,0.0,4.8,0.0,0.0,1.0,221.0,2.1010789660644527,False,REGULAR,USD,2024-11-08
RUTW241108P01945000,2024-10-29 13:47:17+00:00,1945.0,1.8,0.0,4.8,0.0,0.0,1.0,137.0,2.0791063647460932,False,REGULAR,USD,2024-11-08
RUTW241108P01950000,2024-11-05 21:13:46+00:00,1950.0,0.43,0.0,4.8,0.0,0.0,2.0,180.0,2.057622043457031,False,REGULAR,USD,2024-11-08
RUTW241108P01955000,2024-11-04 16:40:09+00:00,1955.0,0.77,0.0,4.8,0.0,0.0,10.0,200.0,2.035893582153321,False,REGULAR,USD,2024-11-08
