contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
SPXW241108C01600000,2024-11-07 17:42:34+00:00,1600.0,4369.53,4395.5,4404.0,0.0,0.0,20.0,16.0,10.432132386169435,1.0,REGULAR,USD,2024-11-08
SPXW241108C02000000,2024-11-08 01:38:27+00:00,2000.0,3976.0,3995.5,4004.0,70.73999,1.8114028,3.0,14.0,8.73730922668457,1.0,REGULAR,USD,2024-11-08
SPXW241108C02200000,2024-10-28 19:32:40+00:00,2200.0,3637.03,3795.5,3804.0,0.0,0.0,,1.0,8.01758311401367,1.0,REGULAR,USD,2024-11-08
SPXW241108C03000000,2024-11-08 11:15:17+00:00,3000.0,2967.5,2995.5,3004.0,234.43994,8.577929,2.0,1.0,5.68115524230957,1.0,REGULAR,USD,2024-11-08
SPXW241108C03600000,2024-11-08 18:11:50+00:00,3600.0,2398.82,2395.5,2404.0,257.67017,12.034195,1.0,1.0,4.30103001434326,1.0,REGULAR,USD,2024-11-08
SPXW241108C03800000,2024-10-28 13:34:20+00:00,3800.0,2048.06,2195.5,2204.0,0.0,0.0,,1.0,3.8884280133056643,1.0,REGULAR,USD,2024-11-08
SPXW241108C04000000,2024-11-08 17:12:51+00:00,4000.0,1994.44,1995.5,2004.0,243.25,13.890554,8.0,366.0,3.4946301696777344,1.0,REGULAR,USD,2024-11-08
SPXW241108C04100000,2024-11-05 19:12:55+00:00,4100.0,1678.03,1895.5,1904.0,0.0,0.0,1.0,1.0,3.3042009582519527,1.0,REGULAR,USD,2024-11-08
SPXW241108C04200000,2024-11-01 14:20:41+00:00,4200.0,1780.91,1795.5,1804.0,212.89001,13.576996,2.0,2.0,3.1174338470458984,1.0,REGULAR,USD,2024-11-08
SPXW241108C04300000,2024-11-08 15:24:59+00:00,4300.0,1688.93,1695.5,1704.0,23.220093,1.3940058,4.0,5.0,2.934450906066895,1.0,REGULAR,USD,2024-11-08
SPXW241108C04500000,2024-11-08 15:28:22+00:00,4500.0,1490.86,1495.5,1504.0,222.54004,17.54605,2.0,9.0,2.578250624694824,1.0,REGULAR,USD,2024-11-08
SPXW241108C04600000,2024-11-08 17:52:43+00:00,4600.0,1399.36,1395.5,1404.0,31.359985,2.2923965,9.0,9.0,2.404667074279785,1.0,REGULAR,USD,2024-11-08
SPXW241108C04650000,2024-11-08 19:40:01+00:00,4650.0,1361.62,1345.5,1354.0,237.81995,21.162123,6.0,6.0,2.318851859130859,1.0,REGULAR,USD,2024-11-08
SPXW241108C04700000,2024-10-18 17:36:37+00:00,4700.0,1310.83,1295.5,1304.0,129.42993,10.95564,6.0,6.0,2.233646994018554,1.0,REGULAR,USD,2024-11-08
SPXW241108C04750000,2024-11-08 20:45:19+00:00,4750.0,1244.78,1245.5,1254.0,100.82007,8.8132515,3.0,3.0,2.149052478942871,1.0,REGULAR,USD,2024-11-08
SPXW241108C04800000,2024-11-08 18:20:41+00:00,4800.0,1198.02,1195.5,1204.0,33.31006,2.8599446,2.0,4.0,2.064946243896484,1.0,REGULAR,USD,2024-11-08
SPXW241108C04825000,2024-11-08 19:15:35+00:00,4825.0,1182.85,1170.4,1179.0,227.38,23.797712,3.0,3.0,2.019536201171875,1.0,REGULAR,USD,2024-11-08
