contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
SPXW241108P02000000,2024-10-15 15:01:36+00:00,2000.0,0.05,0.0,0.05,0.0,0.0,,10.0,5.6562529296875,0.0,REGULAR,USD,2024-11-08
SPXW241108P02200000,2024-10-18 14:30:22+00:00,2200.0,0.05,0.0,0.05,0.0,0.0,1.0,31.0,5.1718785351562495,0.0,REGULAR,USD,2024-11-08
SPXW241108P02400000,2024-10-18 14:14:38+00:00,2400.0,0.05,0.0,0.05,0.0,0.0,90.0,147.0,4.73437908203125,0.0,REGULAR,USD,2024-11-08
SPXW241108P02600000,2024-11-01 19:54:38+00:00,2600.0,0.05,0.0,0.05,0.0,0.0,10.0,38.0,4.343754570312499,0.0,REGULAR,USD,2024-11-08
SPXW241108P02800000,2024-11-05 03:40:01+00:00,2800.0,0.05,0.0,0.05,0.0,0.0,1.0,2036.0,3.968750078125,0.0,REGULAR,USD,2024-11-08
SPXW241108P03000000,2024-11-01 19:51:47+00:00,3000.0,0.05,0.0,0.05,0.0,0.0,1003.0,1066.0,3.6250009375000003,0.0,REGULAR,USD,2024-11-08
SPXW241108P03200000,2024-11-05 21:12:46+00:00,3200.0,0.05,0.0,0.05,0.0,0.0,564.0,775.0,3.2968767578125,0.0,REGULAR,USD,2024-11-08
SPXW241108P03400000,2024-11-05 20:27:10+00:00,3400.0,0.1,0.0,0.05,0.0,0.0,1800.0,2427.0,2.9843775390625,0.0,REGULAR,USD,2024-11-08
SPXW241108P03600000,2024-11-05 19:24:20+00:00,3600.0,0.1,0.0,0.05,0.0,0.0,147.0,858.0,2.7031282421875,0.0,REGULAR,USD,2024-11-08
SPXW241108P03800000,2024-11-06 07:48:21+00:00,3800.0,0.05,0.0,0.05,0.0,0.0,65.0,5025.0,2.42969142578125,0.0,REGULAR,USD,2024-11-08
SPXW241108P04000000,2024-11-06 19:00:45+00:00,4000.0,0.05,0.0,0.05,0.0,0.0,22.0,14489.0,2.1718795703125,0.0,REGULAR,USD,2024-11-08
SPXW241108P04100000,2024-11-05 19:54:33+00:00,4100.0,0.3,0.0,0.05,0.0,0.0,1.0,2322.0,2.0468798828125,0.0,REGULAR,USD,2024-11-08
SPXW241108P04200000,2024-11-06 19:29:06+00:00,4200.0,0.05,0.0,0.05,0.0,0.0,3197.0,7352.0,1.9218753906250001,0.0,REGULAR,USD,2024-11-08
SPXW241108P04300000,2024-11-06 21:14:35+00:00,4300.0,0.05,0.0,0.05,0.0,0.0,6953.0,11732.0,1.7968760156249999,0.0,REGULAR,USD,2024-11-08
SPXW241108P04400000,2024-11-06 21:14:57+00:00,4400.0,0.05,0.0,0.05,0.0,0.0,413.0,3883.0,1.6796891015625,0.0,REGULAR,USD,2024-11-08
SPXW241108P04500000,2024-11-07 17:08:45+00:00,4500.0,0.05,0.0,0.05,0.0,0.0,107.0,13836.0,1.5703146484375,0.0,REGULAR,USD,2024-11-08
SPXW241108P04600000,2024-11-07 13:06:20+00:00,4600.0,0.05,0.0,0.05,0.0,0.0,1.0,17308.0,1.453127734375,0.0,REGULAR,USD,2024-11-08
SPXW241108P04650000,2024-11-07 14:30:22+00:00,4650.0,0.05,0.0,0.05,0.0,0.0,207.0,55538.0,1.3984405078125,0.0,REGULAR,USD,2024-11-08
SPXW241108P04700000,2024-11-08 15:33:19+00:00,4700.0,0.05,0.0,0.05,-0.05,-50.0,15.0,46196.0,1.3437532812499997,0.0,REGULAR,USD,2024-11-08
SPXW241108P04750000,2024-11-07 08:03:48+00:00,4750.0,0.05,0.0,0.05,0.0,0.0,15.0,13505.0,1.2890660546875,0.0,REGULAR,USD,2024-11-08
SPXW241108P04775000,2024-11-07 14:30:04+00:00,4775.0,0.05,0.0,0.05,0.0,0.0,30.0,2848.0,1.2578162109375,0.0,REGULAR,USD,2024-11-08
SPXW241108P04800000,2024-11-08 16:21:39+00:00,4800.0,0.05,0.0,0.05,0.0,0.0,4.0,20957.0,1.2343788281249999,0.0,REGULAR,USD,2024-11-08
