Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,17 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
2020-12-31,0.08,0.08,0.08,0.08,0.09,0.09,NaN,NaN,0.09,0.09,0.1,0.1
2020-12-30,0.06,0.06,0.06,0.06,0.08,0.08,NaN,NaN,0.09,0.09,0.12,0.12
2020-12-29,0.08,0.08,0.09,0.09,0.1,0.1,NaN,NaN,0.12,0.12,0.11,0.11
2020-12-28,0.09,0.09,0.1,0.1,0.11,0.11,NaN,NaN,0.11,0.11,0.11,0.11
2020-12-24,0.09,0.09,0.09,0.09,0.09,0.09,NaN,NaN,0.09,0.09,0.1,0.1
2020-12-23,0.07,0.07,0.08,0.08,0.09,0.09,NaN,NaN,0.09,0.09,0.09,0.09
2020-12-22,0.06,0.06,0.09,0.09,0.09,0.09,NaN,NaN,0.09,0.09,0.09,0.09
2020-12-21,0.08,0.08,0.09,0.09,0.09,0.09,NaN,NaN,0.09,0.09,0.09,0.09
2020-12-18,0.08,0.08,0.08,0.08,0.08,0.08,NaN,NaN,0.09,0.09,0.09,0.09
2020-12-17,0.08,0.08,0.09,0.09,0.08,0.08,NaN,NaN,0.09,0.09,0.09,0.09
2020-12-16,0.08,0.08,0.08,0.08,0.09,0.09,NaN,NaN,0.09,0.09,0.09,0.09
2020-12-15,0.07,0.07,0.08,0.08,0.08,0.08,NaN,NaN,0.08,0.08,0.09,0.09
2020-12-14,0.07,0.07,0.08,0.08,0.09,0.09,NaN,NaN,0.08,0.08,0.1,0.1
2020-12-11,0.08,0.08,0.08,0.08,0.08,0.08,NaN,NaN,0.08,0.08,0.1,0.1
2020-12-10,0.07,0.07,0.08,0.08,0.08,0.08,NaN,NaN,0.09,0.09,0.1,0.1
2020-12-09,0.07,0.07,0.07,0.07,0.08,0.08,NaN,NaN,0.09,0.09,0.1,0.1
2020-12-08,0.08,0.08,0.08,0.08,0.09,0.09,NaN,NaN,0.09,0.09,0.1,0.1
2020-12-07,0.09,0.09,0.08,0.08,0.08,0.08,NaN,NaN,0.1,0.1,0.1,0.1
2020-12-04,0.07,0.07,0.07,0.07,0.09,0.09,NaN,NaN,0.1,0.1,0.11,0.11
2020-12-03,0.08,0.08,0.08,0.08,0.08,0.08,NaN,NaN,0.09,0.09,0.1,0.1
2020-12-02,0.07,0.07,0.08,0.08,0.09,0.09,NaN,NaN,0.1,0.1,0.11,0.11
2020-12-01,0.07,0.07,0.07,0.07,0.09,0.09,NaN,NaN,0.1,0.1,0.12,0.12
2020-11-30,0.08,0.08,0.08,0.08,0.08,0.08,NaN,NaN,0.09,0.09,0.11,0.11
