,0
4 WEEKS BANK DISCOUNT,1.4884416942652956
4 WEEKS COUPON EQUIVALENT,1.5140822729649643
8 WEEKS BANK DISCOUNT,2.3664713541666664
8 WEEKS COUPON EQUIVALENT,2.4176888020833336
13 WEEKS BANK DISCOUNT,1.5521157197629838
13 WEEKS COUPON EQUIVALENT,1.588590101080516
17 WEEKS BANK DISCOUNT,4.975955056179775
17 WEEKS COUPON EQUIVALENT,5.137116104868914
26 WEEKS BANK DISCOUNT,1.6437295224817012
26 WEEKS COUPON EQUIVALENT,1.6974207040780758
52 WEEKS BANK DISCOUNT,1.2577181532511483
52 WEEKS COUPON EQUIVALENT,1.305941503504955
