contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
JNJ241115P00110000,2024-11-12,110.0,0.01,0.0,0.01,0.0,0.0,1.0,19,1.4375028125,False,REGULAR,USD,2024-11-15
JNJ241115P00120000,2024-10-29,120.0,0.03,0.0,0.01,0.0,0.0,6.0,22,1.0625046875000002,False,REGULAR,USD,2024-11-15
JNJ241115P00125000,2024-11-08,125.0,0.01,0.0,0.03,0.0,0.0,1.0,1342,1.015629921875,False,REGULAR,USD,2024-11-15
JNJ241115P00130000,2024-11-06,130.0,0.02,0.0,0.03,0.0,0.0,16.0,282,0.8281267187499999,False,REGULAR,USD,2024-11-15
JNJ241115P00135000,2024-11-12,135.0,0.01,0.0,0.03,0.0,0.0,50.0,432,0.64062859375,False,REGULAR,USD,2024-11-15
JNJ241115P00140000,2024-11-14,140.0,0.01,0.0,0.02,0.0,0.0,8.0,765,0.4804739453125,False,REGULAR,USD,2024-11-15
JNJ241115P00145000,2024-11-14,145.0,0.02,0.01,0.04,-0.01,-33.333336,5.0,1221,0.3281317187499999,False,REGULAR,USD,2024-11-15
JNJ241115P00148000,2024-11-14,148.0,0.07,0.02,0.04,0.02,40.0,9.0,83,0.2031329687499999,False,REGULAR,USD,2024-11-15
JNJ241115P00149000,2024-11-14,149.0,0.16,0.03,0.11,0.11,220.00002,7.0,430,0.2021564160156249,False,REGULAR,USD,2024-11-15
JNJ241115P00150000,2024-11-14,150.0,0.1,0.09,0.1,0.009999998,11.111108,1669.0,2801,0.1445398046875,False,REGULAR,USD,2024-11-15
JNJ241115P00152500,2024-11-14,152.5,0.8,0.67,0.8,0.29000002,90.62501,415.0,2627,0.0893645751953125,True,REGULAR,USD,2024-11-15
JNJ241115P00155000,2024-11-14,155.0,2.38,2.8,3.05,0.48000014,25.263166,226.0,4618,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00157500,2024-11-14,157.5,5.09,5.3,5.75,0.69000006,15.68182,2033.0,555,0.3281317187499999,True,REGULAR,USD,2024-11-15
JNJ241115P00160000,2024-11-14,160.0,7.15,7.65,8.05,0.5,7.518797,5023.0,3490,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00162500,2024-11-13,162.5,9.95,9.95,10.55,0.0,0.0,1.0,12,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00165000,2024-11-14,165.0,12.15,12.7,13.0,0.40999985,3.4923327,3050.0,470,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00167500,2024-11-07,167.5,10.65,15.0,15.55,0.0,0.0,8.0,3,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00170000,2024-11-14,170.0,17.25,17.75,18.0,0.35000038,2.0710082,25.0,73,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00172500,2024-11-07,172.5,15.4,19.9,20.55,0.0,0.0,8.0,0,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00175000,2024-11-07,175.0,18.08,22.7,23.1,0.0,0.0,2.0,0,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00177500,2024-11-07,177.5,20.6,24.95,25.55,0.0,0.0,2.0,0,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00180000,2024-10-16,180.0,15.45,27.45,28.05,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00185000,2024-10-25,185.0,22.6,32.4,33.05,0.0,0.0,1.0,0,1.0000000000000004e-05,True,REGULAR,USD,2024-11-15
JNJ241122P00130000,2024-11-11,130.0,0.05,0.0,0.34,0.0,0.0,4.0,13,0.5478560839843751,False,REGULAR,USD,2024-11-22
JNJ241122P00135000,2024-11-08,135.0,0.07,0.0,0.38,0.0,0.0,8.0,20,0.516606396484375,False,REGULAR,USD,2024-11-22
JNJ241122P00140000,2024-11-14,140.0,0.09,0.0,0.15,0.020000003,28.571432,1.0,357,0.3144599804687499,False,REGULAR,USD,2024-11-22
JNJ241122P00145000,2024-11-14,145.0,0.1,0.08,0.13,-0.029999994,-23.076918,68.0,400,0.1948322705078125,False,REGULAR,USD,2024-11-22
JNJ241122P00148000,2024-11-14,148.0,0.23,0.26,0.31,-0.049999997,-17.857141,25.0,55,0.1618736157226562,False,REGULAR,USD,2024-11-22
JNJ241122P00149000,2024-11-14,149.0,0.38,0.39,0.45,-0.050000012,-11.627909,63.0,115,0.15430533203125,False,REGULAR,USD,2024-11-22
