contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NDXP241114C17400000,2024-11-14,17400.0,3663.0,3414.0,3560.1,2.040039,0.055724155,1.0,2,2.2951702777099605,True,REGULAR,USD,2024-11-14
NDXP241114C18500000,2024-11-11,18500.0,2561.53,2321.4,2469.3,0.0,0.0,2.0,3,1.724641269378662,True,REGULAR,USD,2024-11-14
NDXP241114C18925000,2024-11-08,18925.0,2198.32,1896.9,2054.0,0.0,0.0,5.0,5,0.8433853552246093,True,REGULAR,USD,2024-11-14
NDXP241114C18950000,2024-11-08,18950.0,2173.28,1872.0,2019.3,0.0,0.0,5.0,5,1.4619777877807616,True,REGULAR,USD,2024-11-14
NDXP241114C19075000,2024-11-08,19075.0,1882.45,1746.9,1904.0,-163.25,-7.9801536,3.0,3,0.7845480529785156,True,REGULAR,USD,2024-11-14
NDXP241114C19100000,2024-11-08,19100.0,1857.5,1722.0,1879.0,-163.59998,-8.094601,3.0,3,0.7761252856445313,True,REGULAR,USD,2024-11-14
NDXP241114C19500000,2024-11-12,19500.0,1586.38,1318.1,1479.1,0.0,0.0,1.0,1,0.5640302386474609,True,REGULAR,USD,2024-11-14
NDXP241114C19525000,2024-11-12,19525.0,1561.37,1291.4,1444.4,0.0,0.0,1.0,1,1.1218534508132936,True,REGULAR,USD,2024-11-14
NDXP241114C19550000,2024-11-08,19550.0,1569.01,1268.0,1429.1,0.0,0.0,1.0,0,0.5438278039550781,True,REGULAR,USD,2024-11-14
NDXP241114C19600000,2024-11-14,19600.0,1413.15,1221.0,1369.4,-49.0,-3.3512292,1.0,2,1.0766495142364505,True,REGULAR,USD,2024-11-14
NDXP241114C19625000,2024-10-31,19625.0,761.7,1197.3,1344.4,0.0,0.0,,1,1.0615281298828123,True,REGULAR,USD,2024-11-14
NDXP241114C19650000,2024-10-31,19650.0,741.22,1165.7,1319.4,0.0,0.0,,1,1.0463685987472535,True,REGULAR,USD,2024-11-14
NDXP241114C19900000,2024-10-31,19900.0,567.6,966.0,1037.4,0.0,0.0,,1,0.7489572834014894,True,REGULAR,USD,2024-11-14
NDXP241114C20050000,2024-11-13,20050.0,1014.05,816.9,885.6,0.0,0.0,2.0,3,0.6553379193115236,True,REGULAR,USD,2024-11-14
NDXP241114C20075000,2024-11-13,20075.0,988.83,800.1,860.6,0.0,0.0,2.0,3,0.6411168701171875,True,REGULAR,USD,2024-11-14
NDXP241114C20100000,2024-11-13,20100.0,902.8,773.5,829.5,-29.799988,-3.1953666,2.0,4,0.5970651866149903,True,REGULAR,USD,2024-11-14
NDXP241114C20125000,2024-11-12,20125.0,995.0,748.5,804.3,0.0,0.0,15.0,0,0.5821498694610595,True,REGULAR,USD,2024-11-14
NDXP241114C20150000,2024-11-13,20150.0,971.52,707.4,763.2,0.0,0.0,1.0,1,0.4769034243774414,True,REGULAR,USD,2024-11-14
NDXP241114C20175000,2024-11-05,20175.0,346.2,698.5,754.5,0.0,0.0,,1,0.5551420829010011,True,REGULAR,USD,2024-11-14
NDXP241114C20200000,2024-11-14,20200.0,802.3,673.5,729.5,249.5,45.133865,1.0,1,0.5410507321166994,True,REGULAR,USD,2024-11-14
NDXP241114C20210000,2024-11-05,20210.0,329.3,649.7,703.2,0.0,0.0,,1,0.4466913241577148,True,REGULAR,USD,2024-11-14
NDXP241114C20300000,2024-11-05,20300.0,625.0,561.6,623.0,365.7,141.03355,1.0,3,0.4536111157989502,True,REGULAR,USD,2024-11-14
NDXP241114C20325000,2024-10-21,20325.0,438.0,548.6,604.3,0.0,0.0,,2,0.4686179847717285,True,REGULAR,USD,2024-11-14
NDXP241114C20375000,2024-10-23,20375.0,397.32,498.6,554.3,0.0,0.0,,4,0.4394358425140381,True,REGULAR,USD,2024-11-14
NDXP241114C20400000,2024-11-07,20400.0,747.29,482.7,518.3,0.0,0.0,1.0,10,0.3752503881835937,True,REGULAR,USD,2024-11-14
NDXP241114C20425000,2024-10-31,20425.0,199.15,443.4,479.3,0.0,0.0,,4,0.2788463229370117,True,REGULAR,USD,2024-11-14
NDXP241114C20450000,2024-10-24,20450.0,313.95,431.9,464.0,0.0,0.0,,10,0.3263922341918945,True,REGULAR,USD,2024-11-14
NDXP241114C20475000,2024-10-29,20475.0,475.26,400.1,429.6,0.0,0.0,1.0,12,0.2573545334625244,True,REGULAR,USD,2024-11-14
NDXP241114C20500000,2024-11-13,20500.0,527.2,366.9,395.2,0.0,0.0,1.0,14,1.0000000000000004e-05,True,REGULAR,USD,2024-11-14
NDXP241114C20520000,2024-11-06,20520.0,283.83,369.8,396.5,0.0,0.0,,1,0.2998498360443115,True,REGULAR,USD,2024-11-14
NDXP241114C20570000,2024-11-05,20570.0,154.7,319.8,346.7,0.0,0.0,,1,0.2721477815246582,True,REGULAR,USD,2024-11-14
NDXP241114C20580000,2024-11-06,20580.0,242.27,287.4,314.9,0.0,0.0,,1,1.0000000000000004e-05,True,REGULAR,USD,2024-11-14
NDXP241114C20600000,2024-11-13,20600.0,428.95,275.7,303.5,0.0,0.0,1.0,8,0.1891102818298339,True,REGULAR,USD,2024-11-14
NDXP241114C20625000,2024-11-01,20625.0,129.39,247.0,263.6,0.0,0.0,16.0,16,1.0000000000000004e-05,True,REGULAR,USD,2024-11-14
NDXP241114C20630000,2024-11-06,20630.0,218.7,247.8,273.5,0.0,0.0,,1,0.174263628540039,True,REGULAR,USD,2024-11-14
NDXP241114C20675000,2024-10-31,20675.0,117.25,204.6,221.2,0.0,0.0,5.0,1,1.0000000000000004e-05,True,REGULAR,USD,2024-11-14
NDXP241114C20700000,2024-11-14,20700.0,206.5,200.1,213.6,-164.25,-44.30209,1.0,44,0.1826863958740234,True,REGULAR,USD,2024-11-14
