contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
JNJ241115C00125000,2024-11-12,125.0,29.84,27.1,30.6,0.0,0.0,2.0,2,3.494141889648437,True,REGULAR,USD,2024-11-15
JNJ241115C00130000,2024-11-15,130.0,24.15,22.15,25.55,-6.5699997,-21.386719,1.0,1,2.978518178710937,True,REGULAR,USD,2024-11-15
JNJ241115C00135000,2024-11-06,135.0,25.0,18.8,19.8,0.0,0.0,1.0,7,1.6015644921875,True,REGULAR,USD,2024-11-15
JNJ241115C00140000,2024-11-15,140.0,12.92,12.75,15.35,0.27000046,2.134391,1.0,53,0.8867198828124999,True,REGULAR,USD,2024-11-15
JNJ241115C00145000,2024-11-15,145.0,7.7,7.6,10.45,0.049999714,0.65359104,2.0,31,0.5390671093750001,True,REGULAR,USD,2024-11-15
JNJ241115C00148000,2024-11-14,148.0,4.79,4.8,7.1,1.49,45.151516,2.0,4,1.0332079589843752,True,REGULAR,USD,2024-11-15
JNJ241115C00149000,2024-11-15,149.0,5.3,4.45,5.8,2.8100002,112.85142,1.0,6,0.8095722167968749,True,REGULAR,USD,2024-11-15
JNJ241115C00150000,2024-11-15,150.0,4.2,3.75,4.7,1.4999998,55.555542,65.0,112,0.6709017285156251,True,REGULAR,USD,2024-11-15
JNJ241115C00152500,2024-11-15,152.5,1.6,1.22,1.74,1.13,240.42552,691.0,472,0.2402419726562499,True,REGULAR,USD,2024-11-15
JNJ241115C00155000,2024-11-15,155.0,0.03,0.0,0.01,-0.020000001,-40.000004,1131.0,1764,0.070321796875,False,REGULAR,USD,2024-11-15
JNJ241115C00157500,2024-11-15,157.5,0.01,0.0,0.01,-0.02,-66.66667,101.0,2241,0.2031329687499999,False,REGULAR,USD,2024-11-15
JNJ241115C00160000,2024-11-15,160.0,0.01,0.0,0.02,0.0,0.0,40.0,6337,0.3515689843749999,False,REGULAR,USD,2024-11-15
JNJ241115C00162500,2024-11-15,162.5,0.01,0.0,0.01,0.0,0.0,12.0,1908,0.429693203125,False,REGULAR,USD,2024-11-15
JNJ241115C00165000,2024-11-15,165.0,0.01,0.0,0.01,0.0,0.0,35.0,7126,0.500005,False,REGULAR,USD,2024-11-15
JNJ241115C00167500,2024-11-14,167.5,0.02,0.0,0.01,0.0,0.0,1.0,863,0.5937540625000001,False,REGULAR,USD,2024-11-15
JNJ241115C00170000,2024-11-15,170.0,0.01,0.0,0.01,0.0,0.0,81.0,11955,0.6875031250000001,False,REGULAR,USD,2024-11-15
JNJ241115C00172500,2024-11-11,172.5,0.02,0.0,0.06,0.0,0.0,2.0,112,0.945313046875,False,REGULAR,USD,2024-11-15
JNJ241115C00175000,2024-11-15,175.0,0.01,0.0,0.01,0.0,0.0,12.0,4080,0.87500125,False,REGULAR,USD,2024-11-15
JNJ241115C00177500,2024-10-25,177.5,0.18,0.0,0.25,0.0,0.0,8.0,8,1.40625296875,False,REGULAR,USD,2024-11-15
