contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NVDA241122P00050000,2024-11-18,50.0,0.01,0.0,0.01,-0.02,-66.66667,656.0,7524.0,2.750003125,False,REGULAR,USD,2024-11-22
NVDA241122P00055000,2024-11-18,55.0,0.01,0.0,0.01,-0.04,-80.00001,158.0,4124.0,2.50000375,False,REGULAR,USD,2024-11-22
NVDA241122P00060000,2024-11-18,60.0,0.01,0.0,0.01,-0.060000002,-85.71429,1559.0,3905.0,2.250004375,False,REGULAR,USD,2024-11-22
NVDA241122P00065000,2024-11-18,65.0,0.01,0.01,0.02,-0.09,-90.0,6912.0,12940.0,2.281254296875,False,REGULAR,USD,2024-11-22
NVDA241122P00066000,2024-11-18,66.0,0.01,0.01,0.02,-0.09,-90.0,538.0,5825.0,2.250004375,False,REGULAR,USD,2024-11-22
NVDA241122P00067000,2024-11-18,67.0,0.02,0.01,0.02,-0.09,-81.818184,150.0,862.0,2.18750453125,False,REGULAR,USD,2024-11-22
NVDA241122P00068000,2024-11-18,68.0,0.01,0.01,0.02,-0.1,-90.90909,2448.0,1338.0,2.156254609375,False,REGULAR,USD,2024-11-22
NVDA241122P00069000,2024-11-18,69.0,0.02,0.01,0.02,-0.11,-84.61539,4959.0,6255.0,2.1250046875,False,REGULAR,USD,2024-11-22
NVDA241122P00070000,2024-11-18,70.0,0.03,0.02,0.03,-0.099999994,-76.92307,2571.0,5633.0,2.18750453125,False,REGULAR,USD,2024-11-22
NVDA241122P00071000,2024-11-18,71.0,0.03,0.02,0.03,-0.11,-78.57143,298.0,3620.0,2.1406296484375,False,REGULAR,USD,2024-11-22
NVDA241122P00072000,2024-11-18,72.0,0.03,0.02,0.03,-0.120000005,-80.0,228.0,5680.0,2.0937547656249995,False,REGULAR,USD,2024-11-22
NVDA241122P00073000,2024-11-18,73.0,0.03,0.02,0.04,-0.120000005,-80.0,595.0,3173.0,2.0937547656249995,False,REGULAR,USD,2024-11-22
NVDA241122P00074000,2024-11-18,74.0,0.02,0.03,0.04,-0.17,-89.47369,1525.0,1004.0,2.0937547656249995,False,REGULAR,USD,2024-11-22
NVDA241122P00075000,2024-11-18,75.0,0.03,0.03,0.04,-0.16,-84.210526,1832.0,31667.0,2.0468798828125,False,REGULAR,USD,2024-11-22
NVDA241122P00076000,2024-11-18,76.0,0.04,0.03,0.04,-0.14000002,-77.77779,22687.0,1059.0,2.00781748046875,False,REGULAR,USD,2024-11-22
NVDA241122P00077000,2024-11-18,77.0,0.04,0.03,0.04,-0.16,-80.00001,247.0,5623.0,1.96875015625,False,REGULAR,USD,2024-11-22
NVDA241122P00078000,2024-11-18,78.0,0.04,0.03,0.04,-0.16,-80.00001,6071.0,13165.0,1.9296878515625,False,REGULAR,USD,2024-11-22
NVDA241122P00079000,2024-11-18,79.0,0.04,0.04,0.05,-0.16999999,-80.95238,3134.0,20936.0,1.9453127734375,False,REGULAR,USD,2024-11-22
