contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
SPXW241122C01400000,2024-11-19 11:11:33+00:00,1400.0,4474.75,4514.1,4519.3,0.0,0.0,,,5.310061956176757,True,REGULAR,USD,2024-11-22
SPXW241122C01600000,2024-11-19 11:11:33+00:00,1600.0,4274.95,4314.3,4319.4,-12.009766,-0.28014645,1.0,2.0,4.853519558105467,True,REGULAR,USD,2024-11-22
SPXW241122C03200000,2024-11-15 17:17:04+00:00,3200.0,2670.35,2715.4,2720.5,0.0,0.0,,1.0,2.15771944946289,True,REGULAR,USD,2024-11-22
SPXW241122C03600000,2024-11-19 15:03:52+00:00,3600.0,2264.73,2315.6,2320.8,-8.030029,-0.3533162,2.0,2.0,1.814698192138672,True,REGULAR,USD,2024-11-22
SPXW241122C04000000,2024-11-07 14:59:05+00:00,4000.0,1963.53,1915.9,1921.1,0.0,0.0,1.0,306.0,1.4951197119140622,True,REGULAR,USD,2024-11-22
SPXW241122C04300000,2024-11-15 15:07:19+00:00,4300.0,1598.97,1616.2,1621.3,0.0,0.0,5.0,7.0,1.2656286718749998,True,REGULAR,USD,2024-11-22
SPXW241122C04400000,2024-11-11 18:57:11+00:00,4400.0,1603.8,1516.2,1521.4,0.0,0.0,,1.0,1.1876261322021484,True,REGULAR,USD,2024-11-22
SPXW241122C04500000,2024-11-15 15:08:25+00:00,4500.0,1396.58,1416.3,1421.4,0.0,0.0,,2.0,1.110478080444336,True,REGULAR,USD,2024-11-22
SPXW241122C04600000,2024-11-15 18:43:26+00:00,4600.0,1265.72,1316.4,1321.5,0.0,0.0,,5.0,1.0374803985595704,True,REGULAR,USD,2024-11-22
SPXW241122C04650000,2024-11-15 15:11:43+00:00,4650.0,1244.87,1266.4,1271.6,0.0,0.0,,104.0,1.001103627319336,True,REGULAR,USD,2024-11-22
SPXW241122C04750000,2024-11-18 19:22:22+00:00,4750.0,1140.7,1166.5,1171.7,0.0,0.0,7.0,0.0,0.9283454431152344,True,REGULAR,USD,2024-11-22
SPXW241122C04800000,2024-11-18 19:22:22+00:00,4800.0,1090.72,1116.6,1121.7,0.0,0.0,7.0,1.0,0.8920298883056641,True,REGULAR,USD,2024-11-22
SPXW241122C04850000,2024-11-19 15:21:36+00:00,4850.0,1020.55,1066.6,1071.7,-116.52997,-10.248178,1.0,276.0,0.8530288134765626,True,REGULAR,USD,2024-11-22
SPXW241122C04875000,2024-11-15 17:36:59+00:00,4875.0,995.07,1041.6,1046.8,0.0,0.0,,1.0,0.8363053479003906,True,REGULAR,USD,2024-11-22
SPXW241122C04900000,2024-10-31 16:06:52+00:00,4900.0,848.92,1016.6,1021.8,0.0,0.0,1.0,0.0,0.8168963623046874,True,REGULAR,USD,2024-11-22
SPXW241122C04925000,2024-11-08 14:38:53+00:00,4925.0,1062.07,991.7,996.8,0.0,0.0,2.0,2.0,0.8000508276367188,True,REGULAR,USD,2024-11-22
