contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
XOM241122C00075000,2024-11-13,75.0,46.6,45.4,48.25,0.0,0.0,3.0,0,4.814457106933593,True,REGULAR,USD,2024-11-22
XOM241122C00100000,2024-11-21,100.0,21.13,21.5,22.75,-0.0700016,-0.33019623,3.0,3,1.5468772656249998,True,REGULAR,USD,2024-11-22
XOM241122C00105000,2024-11-19,105.0,13.95,16.75,17.85,0.0,0.0,1.0,2,1.3984405078125,True,REGULAR,USD,2024-11-22
XOM241122C00107000,2024-11-13,107.0,15.1,15.15,15.95,0.0,0.0,5.0,0,1.43359658203125,True,REGULAR,USD,2024-11-22
XOM241122C00108000,2024-11-13,108.0,13.75,14.15,14.7,0.0,0.0,5.0,0,1.2783239208984374,True,REGULAR,USD,2024-11-22
XOM241122C00110000,2024-11-18,110.0,9.8,12.25,12.65,0.0,0.0,1.0,232,1.1474652001953125,True,REGULAR,USD,2024-11-22
XOM241122C00111000,2024-11-18,111.0,8.8,11.15,11.75,0.0,0.0,1.0,1,1.073246821289063,True,REGULAR,USD,2024-11-22
XOM241122C00112000,2024-11-13,112.0,9.75,10.4,10.65,0.0,0.0,10.0,0,1.040043862304688,True,REGULAR,USD,2024-11-22
XOM241122C00113000,2024-11-21,113.0,9.1,9.2,9.7,0.5,5.8139534,1.0,8,0.92382888671875,True,REGULAR,USD,2024-11-22
XOM241122C00114000,2024-11-20,114.0,6.1,8.2,8.75,0.0,0.0,5.0,3,0.860352958984375,True,REGULAR,USD,2024-11-22
XOM241122C00115000,2024-11-20,115.0,4.45,7.25,7.6,0.0,0.0,23.0,26,0.7587914746093751,True,REGULAR,USD,2024-11-22
XOM241122C00116000,2024-11-21,116.0,5.8,6.15,6.75,1.9000001,48.717953,233.0,42,0.69336244140625,True,REGULAR,USD,2024-11-22
XOM241122C00117000,2024-11-20,117.0,5.22,5.35,5.85,1.7199998,49.142853,3.0,40,0.6757844921875001,True,REGULAR,USD,2024-11-22
XOM241122C00118000,2024-11-21,118.0,4.6,4.45,4.6,2.06,81.10236,249.0,431,0.5610395458984375,True,REGULAR,USD,2024-11-22
XOM241122C00119000,2024-11-21,119.0,3.5,3.45,3.65,1.8,105.88235,925.0,595,0.51758294921875,True,REGULAR,USD,2024-11-22
