contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
XOM241122P00085000,2024-11-08,85.0,0.02,0.0,0.25,0.0,0.0,17.0,19.0,3.3281266796874998,False,REGULAR,USD,2024-11-22
XOM241122P00090000,2024-11-11,90.0,0.02,0.0,0.25,0.0,0.0,4.0,29.0,2.8593778515625,False,REGULAR,USD,2024-11-22
XOM241122P00095000,2024-11-14,95.0,0.02,0.0,0.23,0.0,0.0,5.0,79.0,2.3789103027343748,False,REGULAR,USD,2024-11-22
XOM241122P00100000,2024-11-18,100.0,0.01,0.0,0.01,0.0,0.0,5.0,48.0,1.3125034374999998,False,REGULAR,USD,2024-11-22
XOM241122P00105000,2024-11-18,105.0,0.01,0.0,0.23,0.0,0.0,9.0,147.0,1.53515857421875,False,REGULAR,USD,2024-11-22
XOM241122P00106000,2024-11-14,106.0,0.04,0.0,0.24,0.0,0.0,1.0,2.0,1.4609401953125,False,REGULAR,USD,2024-11-22
XOM241122P00107000,2024-11-18,107.0,0.01,0.0,0.21,0.0,0.0,4.0,34.0,1.3476595117187498,False,REGULAR,USD,2024-11-22
XOM241122P00108000,2024-11-20,108.0,0.01,0.0,0.01,0.0,0.0,53.0,136.0,0.8437515624999999,False,REGULAR,USD,2024-11-22
XOM241122P00109000,2024-11-19,109.0,0.01,0.0,0.01,0.0,0.0,4.0,107.0,0.7812521875,False,REGULAR,USD,2024-11-22
XOM241122P00110000,2024-11-22,110.0,0.01,0.0,0.01,0.0,0.0,21.0,431.0,0.7187528125,False,REGULAR,USD,2024-11-22
XOM241122P00111000,2024-11-21,111.0,0.01,0.0,0.01,0.0,0.0,31.0,122.0,0.6562534375000001,False,REGULAR,USD,2024-11-22
XOM241122P00112000,2024-11-21,112.0,0.01,0.0,0.01,0.0,0.0,25.0,314.0,0.6093789062500001,False,REGULAR,USD,2024-11-22
XOM241122P00113000,2024-11-22,113.0,0.01,0.0,0.01,0.0,0.0,1.0,679.0,0.5468795312500001,False,REGULAR,USD,2024-11-22
XOM241122P00114000,2024-11-22,114.0,0.01,0.0,0.01,-0.01,-50.0,1.0,338.0,0.500005,False,REGULAR,USD,2024-11-22
XOM241122P00115000,2024-11-22,115.0,0.01,0.0,0.01,0.0,0.0,25.0,1166.0,0.4687553125,False,REGULAR,USD,2024-11-22
XOM241122P00116000,2024-11-22,116.0,0.01,0.0,0.01,0.0,0.0,15.0,5241.0,0.4062559375,False,REGULAR,USD,2024-11-22
XOM241122P00117000,2024-11-22,117.0,0.01,0.0,0.01,0.0,0.0,18.0,1604.0,0.3437565625,False,REGULAR,USD,2024-11-22
XOM241122P00118000,2024-11-22,118.0,0.01,0.0,0.01,-0.01,-50.0,144.0,2972.0,0.2812571874999999,False,REGULAR,USD,2024-11-22
XOM241122P00119000,2024-11-22,119.0,0.01,0.0,0.01,0.0,0.0,50.0,2066.0,0.2187578124999999,False,REGULAR,USD,2024-11-22
XOM241122P00120000,2024-11-22,120.0,0.01,0.0,0.01,-0.080000006,-88.88889,230.0,805.0,0.148446015625,False,REGULAR,USD,2024-11-22
