contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NDXP241112P17400000,2024-11-12 16:53:19+00:00,17400.0,0.1,0.0,0.05,0.0,0.0,144.0,61.0,0.9882813671875,False,REGULAR,USD,2024-11-12
NDXP241112P17425000,2024-11-12 16:53:17+00:00,17425.0,0.1,0.0,0.05,-7.3,-98.64865,62.0,10.0,0.9804689453125001,False,REGULAR,USD,2024-11-12
NDXP241112P17475000,2024-11-12 16:53:11+00:00,17475.0,0.1,0.0,0.05,-2.99,-96.763756,31.0,3.0,0.9648441015625,False,REGULAR,USD,2024-11-12
NDXP241112P17500000,2024-11-04 16:08:34+00:00,17500.0,6.75,0.0,0.1,0.0,0.0,,6.0,1.001958115234375,False,REGULAR,USD,2024-11-12
NDXP241112P17525000,2024-11-05 15:20:38+00:00,17525.0,3.21,0.0,0.1,0.0,0.0,2.0,0.0,0.9941406835937501,False,REGULAR,USD,2024-11-12
NDXP241112P17575000,2024-11-05 16:54:49+00:00,17575.0,4.2,0.0,0.25,0.0,0.0,,3.0,1.0449266503906252,False,REGULAR,USD,2024-11-12
NDXP241112P17650000,2024-10-25 16:23:20+00:00,17650.0,12.44,0.0,0.2,0.0,0.0,1.0,1.0,1.0058643457031249,False,REGULAR,USD,2024-11-12
NDXP241112P17700000,2024-11-06 16:23:59+00:00,17700.0,1.15,0.0,0.25,0.0,0.0,1.0,1.0,1.0068409033203123,False,REGULAR,USD,2024-11-12
NDXP241112P17725000,2024-11-05 20:44:40+00:00,17725.0,5.8,0.0,0.25,0.0,0.0,,26.0,0.999023447265625,False,REGULAR,USD,2024-11-12
NDXP241112P17775000,2024-11-04 15:32:24+00:00,17775.0,9.2,0.0,0.2,0.0,0.0,,23.0,0.9677737597656251,False,REGULAR,USD,2024-11-12
NDXP241112P17800000,2024-11-06 15:07:53+00:00,17800.0,1.6,0.0,0.25,0.0,0.0,45.0,19.0,0.9765627343750001,False,REGULAR,USD,2024-11-12
NDXP241112P17875000,2024-11-05 19:37:36+00:00,17875.0,6.8,0.0,0.25,0.0,0.0,,1.0,0.9531254687499999,False,REGULAR,USD,2024-11-12
NDXP241112P17900000,2024-11-06 15:04:39+00:00,17900.0,1.1,0.0,0.25,0.0,0.0,4.0,7.0,0.946289599609375,False,REGULAR,USD,2024-11-12
NDXP241112P17925000,2024-11-12 19:41:36+00:00,17925.0,0.05,0.0,0.25,-0.7,-93.333336,2.0,2.0,0.938477177734375,False,REGULAR,USD,2024-11-12
NDXP241112P17950000,2024-11-06 15:58:02+00:00,17950.0,0.94,0.0,0.25,0.0,0.0,14.0,14.0,0.930664755859375,False,REGULAR,USD,2024-11-12
NDXP241112P17975000,2024-11-05 16:54:49+00:00,17975.0,5.6,0.0,0.25,0.0,0.0,,4.0,0.922852333984375,False,REGULAR,USD,2024-11-12
NDXP241112P18000000,2024-11-08 16:57:09+00:00,18000.0,0.7,0.0,0.25,0.0,0.0,63.0,128.0,0.9160164648437501,False,REGULAR,USD,2024-11-12
NDXP241112P18050000,2024-11-06 15:58:02+00:00,18050.0,1.11,0.0,0.25,0.0,0.0,14.0,25.0,0.9003916210937499,False,REGULAR,USD,2024-11-12
NDXP241112P18100000,2024-11-05 16:54:49+00:00,18100.0,6.2,0.0,0.25,0.0,0.0,6.0,15.0,0.885743330078125,False,REGULAR,USD,2024-11-12
NDXP241112P18125000,2024-11-04 14:31:11+00:00,18125.0,16.68,0.0,0.25,0.0,0.0,,4.0,0.877930908203125,False,REGULAR,USD,2024-11-12
