contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NVDA241115C00000500,2024-11-13 14:30:01+00:00,0.5,148.64,144.8,148.5,1.1100006,0.7523898,1.0,11935.0,0.0,True,REGULAR,USD,2024-11-15
NVDA241115C00001000,2024-11-12 20:59:09+00:00,1.0,147.2,144.3,147.5,0.0,0.0,2.0,711.0,42.062503427734384,True,REGULAR,USD,2024-11-15
NVDA241115C00001500,2024-09-16 14:43:51+00:00,1.5,115.4,131.35,131.65,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
NVDA241115C00002000,2024-07-05 15:02:45+00:00,2.0,124.36,104.35,106.4,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
NVDA241115C00003000,2024-08-08 13:32:39+00:00,3.0,98.4,95.5,102.25,0.0,0.0,1.0,3.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
NVDA241115C00003500,2024-06-06 13:55:05+00:00,3.5,116.6,122.2,123.0,0.0,0.0,,10.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
NVDA241115C00004000,2024-09-16 14:43:21+00:00,4.0,113.0,128.9,129.35,0.0,0.0,1.0,115.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
NVDA241115C00004500,2024-09-16 14:43:27+00:00,4.5,112.45,128.4,128.85,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
NVDA241115C00005000,2024-10-10 18:02:50+00:00,5.0,129.63,141.75,143.45,0.0,0.0,3.0,20.0,25.953126889648438,True,REGULAR,USD,2024-11-15
NVDA241115C00006000,2024-09-18 18:35:54+00:00,6.0,111.2,131.7,132.3,0.0,0.0,,3.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
NVDA241115C00007000,2024-09-18 18:35:54+00:00,7.0,110.21,130.7,131.35,0.0,0.0,,4.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
NVDA241115C00007500,2024-10-28 17:02:43+00:00,7.5,133.19,137.8,141.5,0.0,0.0,10.0,10.0,19.695316345214845,True,REGULAR,USD,2024-11-15
NVDA241115C00008500,2024-10-15 15:35:46+00:00,8.5,123.77,136.8,140.5,0.0,0.0,2.0,42.0,18.68750416015625,True,REGULAR,USD,2024-11-15
NVDA241115C00009000,2024-10-15 15:35:46+00:00,9.0,123.24,136.3,140.0,0.0,0.0,2.0,43.0,18.242191799316412,True,REGULAR,USD,2024-11-15
NVDA241115C00009500,2024-11-13 14:46:27+00:00,9.5,138.98,135.8,139.5,0.009994507,0.0071918448,1.0,4.0,17.820316931152345,True,REGULAR,USD,2024-11-15
NVDA241115C00010000,2024-11-13 14:46:27+00:00,10.0,138.5,135.3,139.0,0.05000305,0.036116324,1.0,16.0,17.429692053222663,True,REGULAR,USD,2024-11-15
