contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
JNJ241115P00110000,2024-11-12 15:00:53+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1.0,19,1.4375028125,False,REGULAR,USD,2024-11-15
JNJ241115P00115000,2024-10-03 17:59:25+00:00,115.0,0.05,0.0,1.27,0.0,0.0,10.0,36,2.43750390625,False,REGULAR,USD,2024-11-15
JNJ241115P00120000,2024-10-29 16:39:29+00:00,120.0,0.03,0.0,0.01,0.0,0.0,6.0,22,1.0625046875000002,False,REGULAR,USD,2024-11-15
JNJ241115P00125000,2024-11-08 20:22:45+00:00,125.0,0.01,0.0,0.03,0.0,0.0,1.0,1342,1.015629921875,False,REGULAR,USD,2024-11-15
JNJ241115P00130000,2024-11-06 18:41:17+00:00,130.0,0.02,0.0,0.03,0.0,0.0,16.0,282,0.8281267187499999,False,REGULAR,USD,2024-11-15
JNJ241115P00134000,2024-11-12 18:52:44+00:00,134.0,0.01,0.0,0.25,0.0,0.0,10.0,10,0.9179695703125,False,REGULAR,USD,2024-11-15
JNJ241115P00135000,2024-11-12 20:37:49+00:00,135.0,0.01,0.0,0.03,0.0,0.0,50.0,432,0.64062859375,False,REGULAR,USD,2024-11-15
JNJ241115P00136000,2024-11-08 16:34:44+00:00,136.0,0.01,0.0,0.25,0.0,0.0,6.0,10,0.8281267187499999,False,REGULAR,USD,2024-11-15
JNJ241115P00137000,2024-11-06 18:27:29+00:00,137.0,0.26,0.0,0.25,0.0,0.0,,2,0.7812521875,False,REGULAR,USD,2024-11-15
JNJ241115P00138000,2024-11-06 18:27:37+00:00,138.0,0.02,0.0,0.26,0.0,0.0,,4,0.7402369726562499,False,REGULAR,USD,2024-11-15
JNJ241115P00139000,2024-11-06 18:27:12+00:00,139.0,0.26,0.0,0.26,0.0,0.0,,2,0.6953155468750001,False,REGULAR,USD,2024-11-15
JNJ241115P00140000,2024-11-14 15:47:38+00:00,140.0,0.01,0.0,0.02,0.0,0.0,8.0,765,0.4804739453125,False,REGULAR,USD,2024-11-15
JNJ241115P00141000,2024-11-06 18:28:03+00:00,141.0,0.27,0.0,0.3,0.0,0.0,,2,0.6191444335937502,False,REGULAR,USD,2024-11-15
JNJ241115P00142000,2024-11-06 18:28:13+00:00,142.0,0.08,0.0,0.34,0.0,0.0,,2,0.58789474609375,False,REGULAR,USD,2024-11-15
JNJ241115P00143000,2024-11-06 18:29:10+00:00,143.0,0.27,0.0,0.37,0.0,0.0,,8,0.5498091894531252,False,REGULAR,USD,2024-11-15
JNJ241115P00144000,2024-11-11 16:21:49+00:00,144.0,0.01,0.0,0.52,0.0,0.0,1.0,13,0.543949873046875,False,REGULAR,USD,2024-11-15
JNJ241115P00145000,2024-11-14 17:02:54+00:00,145.0,0.02,0.01,0.04,-0.01,-33.333336,5.0,1221,0.32813171874999997,False,REGULAR,USD,2024-11-15
JNJ241115P00146000,2024-11-11 19:08:00+00:00,146.0,0.04,0.0,0.25,0.0,0.0,2.0,9,0.43164630859375,False,REGULAR,USD,2024-11-15
JNJ241115P00147000,2024-11-12 20:47:22+00:00,147.0,0.06,0.0,0.48,0.0,0.0,2.0,4,0.46680220703125,False,REGULAR,USD,2024-11-15
JNJ241115P00148000,2024-11-14 16:54:22+00:00,148.0,0.07,0.02,0.04,0.02,40.0,9.0,83,0.20313296874999998,False,REGULAR,USD,2024-11-15
JNJ241115P00149000,2024-11-14 15:57:16+00:00,149.0,0.16,0.03,0.11,0.11,220.00002,7.0,430,0.20215641601562498,False,REGULAR,USD,2024-11-15
JNJ241115P00150000,2024-11-14 20:31:41+00:00,150.0,0.1,0.09,0.1,0.009999998,11.111108,1669.0,2801,0.1445398046875,False,REGULAR,USD,2024-11-15
JNJ241115P00152500,2024-11-14 20:36:04+00:00,152.5,0.8,0.67,0.8,0.29000002,90.62501,415.0,2627,0.0893645751953125,True,REGULAR,USD,2024-11-15
JNJ241115P00155000,2024-11-14 19:50:00+00:00,155.0,2.38,2.8,3.05,0.48000014,25.263166,226.0,4618,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00157500,2024-11-14 20:24:55+00:00,157.5,5.09,5.3,5.75,0.69000006,15.68182,2033.0,555,0.32813171874999997,True,REGULAR,USD,2024-11-15
JNJ241115P00160000,2024-11-14 19:09:23+00:00,160.0,7.15,7.65,8.05,0.5,7.518797,5023.0,3490,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00162500,2024-11-13 14:30:01+00:00,162.5,9.95,9.95,10.55,0.0,0.0,1.0,12,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00165000,2024-11-14 19:09:23+00:00,165.0,12.15,12.7,13.0,0.40999985,3.4923327,3050.0,470,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00167500,2024-11-07 20:06:40+00:00,167.5,10.65,15.0,15.55,0.0,0.0,8.0,3,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00170000,2024-11-14 19:09:23+00:00,170.0,17.25,17.75,18.0,0.35000038,2.0710082,25.0,73,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00172500,2024-11-07 20:06:40+00:00,172.5,15.4,19.9,20.55,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00175000,2024-11-07 20:40:08+00:00,175.0,18.08,22.7,23.1,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00177500,2024-11-07 20:40:08+00:00,177.5,20.6,24.95,25.55,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00180000,2024-10-16 16:42:10+00:00,180.0,15.45,27.45,28.05,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241115P00185000,2024-10-25 14:22:19+00:00,185.0,22.6,32.4,33.05,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
JNJ241122P00130000,2024-11-11 17:49:36+00:00,130.0,0.05,0.0,0.34,0.0,0.0,4.0,13,0.5478560839843751,False,REGULAR,USD,2024-11-22
JNJ241122P00135000,2024-11-08 20:47:59+00:00,135.0,0.07,0.0,0.38,0.0,0.0,8.0,20,0.516606396484375,False,REGULAR,USD,2024-11-22
JNJ241122P00140000,2024-11-14 16:01:26+00:00,140.0,0.09,0.0,0.15,0.020000003,28.571432,1.0,357,0.31445998046874996,False,REGULAR,USD,2024-11-22
JNJ241122P00143000,2024-11-14 19:38:09+00:00,143.0,0.29,0.01,0.16,0.19,190.00002,11.0,23,0.25098405273437496,False,REGULAR,USD,2024-11-22
JNJ241122P00144000,2024-11-14 19:26:41+00:00,144.0,0.08,0.04,0.12,-0.030000001,-27.272728,1.0,22,0.213875048828125,False,REGULAR,USD,2024-11-22
JNJ241122P00145000,2024-11-14 18:20:21+00:00,145.0,0.1,0.08,0.13,-0.029999994,-23.076918,68.0,400,0.1948322705078125,False,REGULAR,USD,2024-11-22
JNJ241122P00147000,2024-11-14 16:51:55+00:00,147.0,0.2,0.17,0.21,-0.030000001,-13.043478,13.0,12,0.16895362304687503,False,REGULAR,USD,2024-11-22
JNJ241122P00148000,2024-11-14 19:43:06+00:00,148.0,0.23,0.26,0.31,-0.049999997,-17.857141,25.0,55,0.16187361572265624,False,REGULAR,USD,2024-11-22
JNJ241122P00149000,2024-11-14 17:23:19+00:00,149.0,0.38,0.39,0.45,-0.050000012,-11.627909,63.0,115,0.15430533203125002,False,REGULAR,USD,2024-11-22
JNJ241122P00150000,2024-11-14 19:31:40+00:00,150.0,0.46,0.56,0.62,0.060000002,15.0,361.0,239,0.14283083740234376,False,REGULAR,USD,2024-11-22
JNJ241122P00152500,2024-11-14 20:31:32+00:00,152.5,1.38,1.49,1.59,0.32000005,30.188684,360.0,310,0.13050185913085935,True,REGULAR,USD,2024-11-22
JNJ241122P00155000,2024-11-14 20:30:52+00:00,155.0,2.86,3.15,3.3,0.53999996,23.275862,160.0,1328,0.11133701171874999,True,REGULAR,USD,2024-11-22
JNJ241122P00157500,2024-11-14 19:40:28+00:00,157.5,4.84,5.35,5.8,0.26000023,5.676861,55.0,176,0.1694418994140625,True,REGULAR,USD,2024-11-22
JNJ241122P00160000,2024-11-14 19:51:30+00:00,160.0,7.34,7.75,8.15,-0.13999987,-1.871656,5.0,213,0.14063359375,True,REGULAR,USD,2024-11-22
JNJ241122P00162500,2024-11-13 15:07:42+00:00,162.5,10.55,10.35,10.7,0.35000038,3.4313765,1.0,2,0.22657023437499998,True,REGULAR,USD,2024-11-22
