contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
SPXW241118P02400000,2024-11-18 20:29:08+00:00,2400.0,0.05,0.0,0.05,0.0,0.0,5.0,114.0,4.6562541796875,False,REGULAR,USD,2024-11-18
SPXW241118P02600000,2024-11-04 20:35:43+00:00,2600.0,0.1,0.0,0.05,0.0,0.0,,2.0,4.2500046875,False,REGULAR,USD,2024-11-18
SPXW241118P02800000,2024-11-01 19:32:51+00:00,2800.0,0.1,0.0,0.05,0.0,0.0,200.0,774.0,3.8750003125,False,REGULAR,USD,2024-11-18
SPXW241118P03000000,2024-11-06 01:23:33+00:00,3000.0,0.05,0.0,0.05,0.0,0.0,1.0,18.0,3.5312511718749997,False,REGULAR,USD,2024-11-18
SPXW241118P03200000,2024-11-04 14:38:04+00:00,3200.0,0.2,0.0,0.05,0.0,0.0,5.0,20.0,3.2031269921874994,False,REGULAR,USD,2024-11-18
SPXW241118P03400000,2024-11-06 19:01:54+00:00,3400.0,0.07,0.0,0.05,0.0,0.0,3.0,28.0,2.906252734375,False,REGULAR,USD,2024-11-18
SPXW241118P03600000,2024-11-15 20:54:19+00:00,3600.0,0.05,0.0,0.05,0.0,0.0,9.0,177.0,2.6093784765625,False,REGULAR,USD,2024-11-18
SPXW241118P03800000,2024-11-11 16:41:53+00:00,3800.0,0.05,0.0,0.05,0.0,0.0,1.0,1167.0,2.3437541406249993,False,REGULAR,USD,2024-11-18
SPXW241118P04000000,2024-11-11 18:11:30+00:00,4000.0,0.05,0.0,0.05,0.0,0.0,21.0,1481.0,2.0781298046874994,False,REGULAR,USD,2024-11-18
SPXW241118P04200000,2024-11-15 16:40:02+00:00,4200.0,0.05,0.0,0.05,0.0,0.0,5.0,2034.0,1.8281258593749998,False,REGULAR,USD,2024-11-18
SPXW241118P04300000,2024-11-14 20:56:11+00:00,4300.0,0.05,0.0,0.05,0.0,0.0,48.0,4301.0,1.7109389453125,False,REGULAR,USD,2024-11-18
SPXW241118P04400000,2024-11-15 16:40:28+00:00,4400.0,0.05,0.0,0.05,0.0,0.0,5.0,1417.0,1.5937520312499998,False,REGULAR,USD,2024-11-18
SPXW241118P04500000,2024-11-14 21:07:40+00:00,4500.0,0.05,0.0,0.05,0.0,0.0,253.0,11375.0,1.4765651171875,False,REGULAR,USD,2024-11-18
SPXW241118P04600000,2024-11-15 21:01:11+00:00,4600.0,0.05,0.0,0.05,0.0,0.0,535.0,3136.0,1.359378203125,False,REGULAR,USD,2024-11-18
SPXW241118P04700000,2024-11-15 21:14:55+00:00,4700.0,0.05,0.0,0.05,0.0,0.0,6020.0,9604.0,1.2500037499999999,False,REGULAR,USD,2024-11-18
SPXW241118P04800000,2024-11-15 21:12:20+00:00,4800.0,0.05,0.0,0.05,0.0,0.0,780.0,5283.0,1.140629296875,False,REGULAR,USD,2024-11-18
SPXW241118P04850000,2024-11-15 21:02:32+00:00,4850.0,0.05,0.0,0.05,0.0,0.0,157.0,5958.0,1.0859420703125,False,REGULAR,USD,2024-11-18
SPXW241118P04900000,2024-11-15 20:40:54+00:00,4900.0,0.07,0.0,0.05,0.0,0.0,136.0,2134.0,1.0312548437500002,False,REGULAR,USD,2024-11-18
SPXW241118P04950000,2024-11-15 21:10:54+00:00,4950.0,0.07,0.0,0.05,0.0,0.0,828.0,1722.0,0.9765627343750001,False,REGULAR,USD,2024-11-18
SPXW241118P05000000,2024-11-15 21:12:36+00:00,5000.0,0.05,0.0,0.05,-0.05,-50.0,11.0,8100.0,0.9257819921875,False,REGULAR,USD,2024-11-18
SPXW241118P05050000,2024-11-18 14:30:09+00:00,5050.0,0.05,0.0,0.05,-0.05,-50.0,6.0,4669.0,0.87500125,False,REGULAR,USD,2024-11-18
SPXW241118P05075000,2024-11-18 14:30:04+00:00,5075.0,0.05,0.0,0.05,-0.029999997,-37.499996,1.0,2202.0,0.8476577734374999,False,REGULAR,USD,2024-11-18
SPXW241118P05100000,2024-11-18 14:30:03+00:00,5100.0,0.05,0.0,0.05,-0.029999997,-37.499996,2.0,3571.0,0.8203142968749999,False,REGULAR,USD,2024-11-18
SPXW241118P05125000,2024-11-18 01:15:00+00:00,5125.0,0.05,0.0,0.05,-0.05,-50.0,1.0,446.0,0.79687703125,False,REGULAR,USD,2024-11-18
SPXW241118P05150000,2024-11-15 21:12:28+00:00,5150.0,0.1,0.0,0.05,0.0,0.0,806.0,1858.0,0.7695335546875001,False,REGULAR,USD,2024-11-18
SPXW241118P05175000,2024-11-15 20:32:56+00:00,5175.0,0.1,0.0,0.05,0.0,0.0,8.0,170.0,0.7421900781249999,False,REGULAR,USD,2024-11-18
SPXW241118P05200000,2024-11-18 01:15:00+00:00,5200.0,0.05,0.0,0.05,-0.05,-50.0,1.0,4023.0,0.7187528125,False,REGULAR,USD,2024-11-18
SPXW241118P05225000,2024-11-18 01:15:00+00:00,5225.0,0.05,0.0,0.05,-0.05,-50.0,1.0,407.0,0.6914093359375001,False,REGULAR,USD,2024-11-18
SPXW241118P05250000,2024-11-15 21:12:10+00:00,5250.0,0.1,0.0,0.05,0.0,0.0,793.0,1231.0,0.6640658593750002,False,REGULAR,USD,2024-11-18
SPXW241118P05275000,2024-11-15 20:45:15+00:00,5275.0,0.12,0.0,0.05,0.0,0.0,120.0,430.0,0.64062859375,False,REGULAR,USD,2024-11-18
SPXW241118P05300000,2024-11-15 21:14:27+00:00,5300.0,0.15,0.0,0.05,0.0,0.0,1259.0,1880.0,0.6132851171875001,False,REGULAR,USD,2024-11-18
SPXW241118P05325000,2024-11-15 21:14:04+00:00,5325.0,0.15,0.0,0.05,0.0,0.0,52.0,1047.0,0.5898478515625001,False,REGULAR,USD,2024-11-18
SPXW241118P05350000,2024-11-18 18:03:50+00:00,5350.0,0.05,0.0,0.05,-0.10000001,-66.66667,12.0,244.0,0.5625043750000001,False,REGULAR,USD,2024-11-18
SPXW241118P05370000,2024-11-15 21:05:39+00:00,5370.0,0.15,0.0,0.05,0.0,0.0,286.0,406.0,0.5429733203125001,False,REGULAR,USD,2024-11-18
SPXW241118P05375000,2024-11-18 14:30:03+00:00,5375.0,0.05,0.0,0.05,-0.10000001,-66.66667,2.0,648.0,0.5390671093750001,False,REGULAR,USD,2024-11-18
SPXW241118P05380000,2024-11-18 14:30:04+00:00,5380.0,0.05,0.0,0.05,-0.10000001,-66.66667,4.0,440.0,0.5312546875,False,REGULAR,USD,2024-11-18
SPXW241118P05390000,2024-11-15 21:14:17+00:00,5390.0,0.2,0.0,0.05,0.0,0.0,262.0,380.0,0.523442265625,False,REGULAR,USD,2024-11-18
SPXW241118P05400000,2024-11-18 14:30:03+00:00,5400.0,0.05,0.0,0.05,-0.15,-75.0,8.0,2691.0,0.5117236328125,False,REGULAR,USD,2024-11-18
SPXW241118P05410000,2024-11-15 21:14:28+00:00,5410.0,0.2,0.0,0.05,0.0,0.0,502.0,465.0,0.5019581054687501,False,REGULAR,USD,2024-11-18
SPXW241118P05420000,2024-11-15 21:14:55+00:00,5420.0,0.2,0.0,0.05,0.0,0.0,112.0,106.0,0.5205126074218749,False,REGULAR,USD,2024-11-18
SPXW241118P05425000,2024-11-15 21:13:10+00:00,5425.0,0.2,0.0,0.05,0.0,0.0,337.0,305.0,0.51562984375,False,REGULAR,USD,2024-11-18
SPXW241118P05430000,2024-11-15 20:48:47+00:00,5430.0,0.17,0.0,0.05,0.0,0.0,21.0,63.0,0.5097705273437501,False,REGULAR,USD,2024-11-18
SPXW241118P05440000,2024-11-15 20:37:57+00:00,5440.0,0.2,0.0,0.05,0.0,0.0,140.0,199.0,0.499028447265625,False,REGULAR,USD,2024-11-18
SPXW241118P05450000,2024-11-15 21:13:04+00:00,5450.0,0.2,0.0,0.05,0.0,0.0,12.0,1283.0,0.48828636718750007,False,REGULAR,USD,2024-11-18
SPXW241118P05460000,2024-11-15 21:13:10+00:00,5460.0,0.25,0.0,0.05,0.0,0.0,187.0,294.0,0.47852083984375,False,REGULAR,USD,2024-11-18
SPXW241118P05470000,2024-11-18 09:36:11+00:00,5470.0,0.05,0.0,0.05,-0.2,-80.0,5.0,561.0,0.46680220703125,False,REGULAR,USD,2024-11-18
SPXW241118P05475000,2024-11-15 21:13:04+00:00,5475.0,0.05,0.0,0.05,-0.15,-75.0,15.0,1017.0,0.46191944335937507,False,REGULAR,USD,2024-11-18
SPXW241118P05480000,2024-11-15 21:05:53+00:00,5480.0,0.2,0.0,0.05,0.0,0.0,10.0,49.0,0.45703667968750006,False,REGULAR,USD,2024-11-18
SPXW241118P05485000,2024-11-15 21:10:07+00:00,5485.0,0.2,0.0,0.05,0.0,0.0,200.0,332.0,0.45117736328125,False,REGULAR,USD,2024-11-18
SPXW241118P05490000,2024-11-15 21:14:33+00:00,5490.0,0.25,0.0,0.05,0.0,0.0,159.0,188.0,0.445318046875,False,REGULAR,USD,2024-11-18
SPXW241118P05495000,2024-11-15 21:10:58+00:00,5495.0,0.2,0.0,0.05,0.0,0.0,240.0,299.0,0.4414118359375,False,REGULAR,USD,2024-11-18
SPXW241118P05500000,2024-11-18 14:32:48+00:00,5500.0,0.04,0.0,0.05,-0.26000002,-86.66667,459.0,2490.0,0.43555251953125,False,REGULAR,USD,2024-11-18
SPXW241118P05505000,2024-11-15 21:13:12+00:00,5505.0,0.25,0.0,0.05,0.0,0.0,,311.0,0.42969320312500003,False,REGULAR,USD,2024-11-18
SPXW241118P05510000,2024-11-15 20:45:13+00:00,5510.0,0.22,0.0,0.05,0.0,0.0,28.0,122.0,0.424810439453125,False,REGULAR,USD,2024-11-18
SPXW241118P05515000,2024-11-15 20:45:51+00:00,5515.0,0.25,0.0,0.05,0.0,0.0,61.0,166.0,0.41992767578125,False,REGULAR,USD,2024-11-18
SPXW241118P05520000,2024-11-15 21:13:04+00:00,5520.0,0.25,0.0,0.05,0.0,0.0,566.0,415.0,0.414068359375,False,REGULAR,USD,2024-11-18
SPXW241118P05525000,2024-11-18 09:25:26+00:00,5525.0,0.05,0.0,0.05,-0.15,-75.0,6.0,137.0,0.40820904296875,False,REGULAR,USD,2024-11-18
