contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
JNJ241129C00110000,2024-11-21 20:04:26+00:00,110.0,46.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00138000,2024-11-22 15:03:50+00:00,138.0,18.8,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00141000,2024-11-18 14:39:05+00:00,141.0,13.3,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00143000,2024-11-18 15:05:57+00:00,143.0,12.25,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00144000,2024-11-21 16:56:43+00:00,144.0,10.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00145000,2024-11-22 20:58:26+00:00,145.0,10.24,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00147000,2024-11-22 14:50:47+00:00,147.0,10.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00148000,2024-11-22 15:40:05+00:00,148.0,8.01,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00149000,2024-11-21 14:30:25+00:00,149.0,4.42,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00150000,2024-11-22 20:52:27+00:00,150.0,5.3,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00152500,2024-11-22 19:08:41+00:00,152.5,2.36,0.0,0.0,0.0,0.0,26.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00155000,2024-11-22 20:59:46+00:00,155.0,0.81,0.0,0.0,0.0,0.0,969.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
JNJ241129C00157500,2024-11-22 20:57:45+00:00,157.5,0.14,0.0,0.0,0.0,0.0,831.0,0,0.0312596875,False,REGULAR,USD,2024-11-29
JNJ241129C00160000,2024-11-22 20:58:13+00:00,160.0,0.04,0.0,0.0,0.0,0.0,558.0,0,0.062509375,False,REGULAR,USD,2024-11-29
JNJ241129C00162500,2024-11-22 19:32:54+00:00,162.5,0.02,0.0,0.0,0.0,0.0,11.0,0,0.12500875,False,REGULAR,USD,2024-11-29
JNJ241129C00165000,2024-11-22 20:29:14+00:00,165.0,0.02,0.0,0.0,0.0,0.0,14.0,0,0.12500875,False,REGULAR,USD,2024-11-29
JNJ241129C00167500,2024-11-18 19:49:32+00:00,167.5,0.01,0.0,0.0,0.0,0.0,5.0,0,0.12500875,False,REGULAR,USD,2024-11-29
