contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
XOM241129P00095000,2024-11-26 14:59:32+00:00,95.0,0.04,0.0,0.01,-0.60999995,-93.84615,1.0,16,0.7187528125,False,REGULAR,USD,2024-11-29
XOM241129P00100000,2024-11-25 20:01:29+00:00,100.0,0.01,0.0,0.02,0.0,0.0,1.0,43,0.6093789062500001,False,REGULAR,USD,2024-11-29
XOM241129P00104000,2024-11-18 15:43:46+00:00,104.0,0.02,0.0,0.02,0.0,0.0,,3,0.51562984375,False,REGULAR,USD,2024-11-29
XOM241129P00105000,2024-11-20 20:06:57+00:00,105.0,0.01,0.0,0.02,0.0,0.0,14.0,222,0.48438015625,False,REGULAR,USD,2024-11-29
XOM241129P00106000,2024-11-19 14:32:51+00:00,106.0,0.02,0.0,0.02,0.0,0.0,1.0,10,0.445318046875,False,REGULAR,USD,2024-11-29
XOM241129P00107000,2024-11-20 18:45:49+00:00,107.0,0.02,0.0,0.02,0.0,0.0,3.0,44,0.414068359375,False,REGULAR,USD,2024-11-29
XOM241129P00108000,2024-11-22 15:12:24+00:00,108.0,0.01,0.0,0.02,0.0,0.0,1.0,120,0.3789124609375,False,REGULAR,USD,2024-11-29
XOM241129P00109000,2024-11-22 17:37:20+00:00,109.0,0.01,0.0,0.02,0.0,0.0,4.0,56,0.3437565625,False,REGULAR,USD,2024-11-29
XOM241129P00110000,2024-11-25 19:58:39+00:00,110.0,0.02,0.0,0.02,0.0,0.0,39.0,266,0.3086006640625,False,REGULAR,USD,2024-11-29
XOM241129P00111000,2024-11-26 20:25:52+00:00,111.0,0.01,0.01,0.02,-0.02,-66.66667,12.0,796,0.273444765625,False,REGULAR,USD,2024-11-29
XOM241129P00112000,2024-11-26 20:19:53+00:00,112.0,0.02,0.01,0.03,0.0,0.0,27.0,187,0.25391371093750004,False,REGULAR,USD,2024-11-29
XOM241129P00113000,2024-11-26 19:40:00+00:00,113.0,0.02,0.01,0.03,-0.02,-50.0,8.0,311,0.21875781249999998,False,REGULAR,USD,2024-11-29
XOM241129P00114000,2024-11-26 19:54:27+00:00,114.0,0.03,0.02,0.04,0.01,50.0,12.0,253,0.18946123046875002,False,REGULAR,USD,2024-11-29
