contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
SPXW241126C04000000,2024-11-07 15:48:43+00:00,4000.0,1971.61,2015.9,2016.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C04300000,2024-11-25 21:00:55+00:00,4300.0,1684.66,1715.2,1716.2,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C04900000,2024-11-26 12:05:23+00:00,4900.0,1099.7,1115.9,1116.5,262.30994,31.324703,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05000000,2024-11-25 20:37:21+00:00,5000.0,1015.27,1015.7,1016.3,30.5,3.0971699,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05150000,2024-11-26 19:52:28+00:00,5150.0,862.8,865.9,866.5,26.859985,3.2131474,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05200000,2024-11-26 20:10:51+00:00,5200.0,815.54,815.7,816.5,28.159973,3.5764146,1.0,40,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05250000,2024-10-30 17:22:50+00:00,5250.0,616.61,766.0,766.6,0.0,0.0,1.0,39,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05300000,2024-11-25 18:52:20+00:00,5300.0,701.49,715.9,716.5,15.909973,2.320659,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05325000,2024-11-26 19:18:35+00:00,5325.0,681.93,691.3,691.8,21.25,3.2163832,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05400000,2024-11-25 19:23:21+00:00,5400.0,580.57,615.8,616.3,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05450000,2024-11-25 14:40:15+00:00,5450.0,568.87,565.8,566.3,0.0,0.0,10.0,10,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05480000,2024-11-26 15:22:24+00:00,5480.0,519.02,536.5,537.1,1.2700195,0.2452959,2.0,11,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05500000,2024-11-26 17:24:58+00:00,5500.0,504.5,515.8,516.8,17.5,3.593429,3.0,45,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05525000,2024-11-22 08:15:18+00:00,5525.0,426.4,490.7,491.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05530000,2024-11-18 15:39:11+00:00,5530.0,369.09,485.9,486.5,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05550000,2024-11-26 15:25:32+00:00,5550.0,445.29,465.9,466.5,13.790009,3.1958306,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05575000,2024-11-25 14:56:49+00:00,5575.0,430.29,441.1,441.7,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05580000,2024-11-18 16:42:57+00:00,5580.0,334.52,436.5,437.1,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05600000,2024-11-25 20:31:31+00:00,5600.0,384.18,415.7,416.5,0.0,0.0,9.0,16,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05610000,2024-11-12 18:41:22+00:00,5610.0,382.3,405.8,406.3,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05620000,2024-11-25 14:51:45+00:00,5620.0,388.61,395.7,396.3,0.0,0.0,4.0,6,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05625000,2024-11-22 20:40:53+00:00,5625.0,337.17,391.1,391.7,0.0,0.0,1.0,41,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05630000,2024-11-25 20:46:46+00:00,5630.0,353.64,385.9,386.5,0.0,0.0,8.0,6,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05640000,2024-11-26 14:32:54+00:00,5640.0,365.37,376.0,376.7,39.160004,12.004539,5.0,5,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05650000,2024-11-26 20:19:42+00:00,5650.0,365.5,365.9,366.5,26.380005,7.778959,3.0,6,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05655000,2024-11-25 15:17:59+00:00,5655.0,342.84,361.0,361.6,0.0,0.0,4.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05660000,2024-10-31 17:57:16+00:00,5660.0,161.76,355.7,356.3,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05675000,2024-11-26 15:38:53+00:00,5675.0,323.47,340.7,341.5,35.890015,12.480011,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05680000,2024-11-26 19:00:31+00:00,5680.0,332.93,335.9,336.5,27.839996,9.1251745,2.0,56,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05685000,2024-11-06 18:06:58+00:00,5685.0,257.43,331.0,331.7,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05690000,2024-11-26 18:59:25+00:00,5690.0,322.83,325.8,326.5,11.009979,3.5308764,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05700000,2024-11-26 20:03:16+00:00,5700.0,313.91,316.5,317.0,29.190002,10.252178,4.0,49,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05705000,2024-11-26 18:58:56+00:00,5705.0,307.64,310.8,311.3,28.910004,10.3720455,3.0,4,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05710000,2024-10-29 15:14:54+00:00,5710.0,196.93,305.9,306.5,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05715000,2024-11-21 19:57:16+00:00,5715.0,292.13,300.9,301.5,45.92,18.650745,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05720000,2024-11-25 19:22:43+00:00,5720.0,263.87,295.9,296.5,0.0,0.0,3.0,99,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05725000,2024-11-26 09:25:57+00:00,5725.0,262.15,290.9,291.5,1.7299805,0.66430396,5.0,7,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05730000,2024-11-25 19:16:49+00:00,5730.0,256.58,286.5,287.0,0.0,0.0,5.0,14,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05740000,2024-11-26 14:39:23+00:00,5740.0,259.97,276.0,276.7,-15.5,-5.626747,1.0,52,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05745000,2024-11-25 14:42:03+00:00,5745.0,273.89,271.0,271.7,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05750000,2024-11-05 15:02:14+00:00,5750.0,111.8,266.1,266.7,0.0,0.0,2.0,40,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05755000,2024-11-19 16:21:42+00:00,5755.0,240.35,261.1,261.7,85.95001,55.667107,9.0,12,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05760000,2024-11-25 20:12:34+00:00,5760.0,222.74,256.0,256.7,0.0,0.0,1.0,8,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05765000,2024-11-26 17:27:47+00:00,5765.0,239.56,250.9,251.5,17.39,7.8273396,7.0,9,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05770000,2024-11-26 15:39:42+00:00,5770.0,228.94,245.8,246.3,15.650009,7.337433,1.0,46,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05775000,2024-11-26 19:07:18+00:00,5775.0,237.14,241.5,242.1,30.699997,14.871148,2.0,55,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05780000,2024-11-22 16:47:42+00:00,5780.0,177.85,235.8,236.3,0.0,0.0,11.0,30,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05785000,2024-11-26 17:27:20+00:00,5785.0,219.56,231.2,231.7,17.39,8.601672,10.0,14,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05790000,2024-11-26 18:21:20+00:00,5790.0,219.86,226.0,226.7,26.440002,13.669736,1.0,41,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05795000,2024-11-26 15:51:21+00:00,5795.0,206.17,221.2,221.8,-14.910004,-6.7441664,8.0,11,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05800000,2024-11-26 20:31:34+00:00,5800.0,215.71,216.5,217.1,29.51001,15.848556,55.0,61,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05805000,2024-11-26 18:51:01+00:00,5805.0,207.43,211.3,212.2,35.90999,20.936327,9.0,9,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05810000,2024-11-26 14:33:46+00:00,5810.0,194.13,206.3,206.8,22.460007,13.083245,1.0,51,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05815000,2024-11-26 19:32:02+00:00,5815.0,193.29,201.3,201.8,30.009995,18.379469,8.0,8,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05820000,2024-11-26 20:04:15+00:00,5820.0,194.02,195.9,196.5,22.630005,13.203807,10.0,68,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05825000,2024-11-26 19:51:14+00:00,5825.0,187.62,191.0,191.7,27.970001,17.519575,7.0,123,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05830000,2024-11-25 15:04:02+00:00,5830.0,170.35,186.5,187.0,0.0,0.0,4.0,34,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05835000,2024-11-26 19:37:31+00:00,5835.0,175.44,181.5,182.0,26.350006,17.673891,3.0,40,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05840000,2024-11-26 19:44:44+00:00,5840.0,172.08,175.7,176.3,26.800003,18.447138,2.0,19,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05845000,2024-11-26 19:47:19+00:00,5845.0,167.06,170.8,171.8,22.910004,15.893171,22.0,30,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05850000,2024-11-26 19:52:33+00:00,5850.0,162.62,166.2,166.8,23.419998,16.82471,568.0,678,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05855000,2024-11-26 20:15:51+00:00,5855.0,160.5,160.8,161.8,31.759995,24.669872,18.0,42,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05860000,2024-11-25 20:53:39+00:00,5860.0,141.37,155.8,156.3,14.449997,11.385122,1.0,136,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05865000,2024-11-26 16:00:38+00:00,5865.0,138.97,151.1,151.7,12.529999,9.909838,16.0,226,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05870000,2024-11-26 20:17:49+00:00,5870.0,145.69,146.5,147.0,29.690002,25.59483,9.0,162,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
SPXW241126C05875000,2024-11-26 20:29:00+00:00,5875.0,140.51,140.8,141.8,31.979996,29.466503,16.0,218,1.0000000000000003e-05,True,REGULAR,USD,2024-11-26
