contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NDXP241127C19000000,2024-11-12 20:43:12+00:00,19000.0,2131.57,1650.0,1850.0,0.0,0.0,,1,0.8020954849243164,True,REGULAR,USD,2024-11-27
NDXP241127C19025000,2024-11-12 20:43:12+00:00,19025.0,2106.93,1626.0,1826.0,0.0,0.0,,1,0.8119525640869141,True,REGULAR,USD,2024-11-27
NDXP241127C19750000,2024-11-15 20:46:36+00:00,19750.0,727.47,900.0,1100.0,0.0,0.0,,1,1.023434753456116,True,REGULAR,USD,2024-11-27
NDXP241127C19800000,2024-11-27 18:05:36+00:00,19800.0,885.0,850.0,1050.0,-334.09998,-27.40546,6.0,2,0.9896927910614014,True,REGULAR,USD,2024-11-27
NDXP241127C19850000,2024-11-25 14:51:10+00:00,19850.0,1095.1,800.0,1000.0,0.0,0.0,1.0,0,0.9557118076324462,True,REGULAR,USD,2024-11-27
NDXP241127C20050000,2024-11-20 20:53:31+00:00,20050.0,679.6,660.0,740.0,0.0,0.0,,1,0.6007425180053713,True,REGULAR,USD,2024-11-27
NDXP241127C20075000,2024-11-05 16:17:20+00:00,20075.0,539.35,636.0,716.0,0.0,0.0,,1,0.5897639290618897,True,REGULAR,USD,2024-11-27
NDXP241127C20200000,2024-11-21 20:32:24+00:00,20200.0,636.3,510.0,590.0,0.0,0.0,1.0,1,0.508717681427002,True,REGULAR,USD,2024-11-27
NDXP241127C20250000,2024-11-15 20:46:36+00:00,20250.0,357.1,460.0,540.0,0.0,0.0,,1,0.4772543730163575,True,REGULAR,USD,2024-11-27
NDXP241127C20300000,2024-11-21 15:24:28+00:00,20300.0,358.94,410.0,490.0,0.0,0.0,3.0,1,0.44528752960205076,True,REGULAR,USD,2024-11-27
NDXP241127C20325000,2024-11-21 20:32:24+00:00,20325.0,524.05,400.0,480.0,0.0,0.0,,0,0.4797262721252441,True,REGULAR,USD,2024-11-27
NDXP241127C20330000,2024-11-21 20:54:01+00:00,20330.0,489.9,400.0,480.0,0.0,0.0,,1,0.49229938858032235,True,REGULAR,USD,2024-11-27
NDXP241127C20390000,2024-11-18 15:08:04+00:00,20390.0,324.2,340.0,380.0,0.0,0.0,1.0,2,0.3134452811431885,True,REGULAR,USD,2024-11-27
NDXP241127C20400000,2024-11-15 20:26:10+00:00,20400.0,280.35,330.0,370.0,0.0,0.0,3.0,16,0.30741811973571764,True,REGULAR,USD,2024-11-27
NDXP241127C20410000,2024-11-15 20:44:30+00:00,20410.0,262.1,320.0,360.0,0.0,0.0,,1,0.3013680703735352,True,REGULAR,USD,2024-11-27
NDXP241127C20425000,2024-11-15 19:50:49+00:00,20425.0,268.5,306.0,346.0,0.0,0.0,,2,0.29610384078979496,True,REGULAR,USD,2024-11-27
NDXP241127C20460000,2024-11-18 19:09:31+00:00,20460.0,300.1,270.0,310.0,0.0,0.0,,1,0.27065243515014653,True,REGULAR,USD,2024-11-27
NDXP241127C20480000,2024-11-18 19:09:31+00:00,20480.0,288.0,250.0,290.0,0.0,0.0,1.0,1,0.2581174652862549,True,REGULAR,USD,2024-11-27
NDXP241127C20490000,2024-11-15 16:36:18+00:00,20490.0,262.5,240.0,280.0,0.0,0.0,,1,0.25179276046752924,True,REGULAR,USD,2024-11-27
NDXP241127C20500000,2024-11-27 18:11:00+00:00,20500.0,197.35,230.0,270.0,-30.149994,-13.252745,148.0,7,0.2454299090576172,True,REGULAR,USD,2024-11-27
NDXP241127C20510000,2024-11-27 20:04:32+00:00,20510.0,253.09,220.0,260.0,12.889999,5.3663616,80.0,1,0.23901365242004394,True,REGULAR,USD,2024-11-27
NDXP241127C20525000,2024-11-27 19:13:43+00:00,20525.0,223.0,206.0,246.0,-106.5,-32.3217,8.0,3,0.2327270941925049,True,REGULAR,USD,2024-11-27
NDXP241127C20530000,2024-11-21 15:12:35+00:00,20530.0,220.0,200.0,240.0,0.0,0.0,2.0,3,0.22604381141662597,True,REGULAR,USD,2024-11-27
NDXP241127C20550000,2024-11-27 18:09:24+00:00,20550.0,139.21,190.0,210.0,-207.58,-59.857548,21.0,5,0.1772772092437744,True,REGULAR,USD,2024-11-27
NDXP241127C20570000,2024-11-27 16:53:00+00:00,20570.0,90.9,170.0,190.0,-143.6,-61.23668,2.0,4,0.1650397827911377,True,REGULAR,USD,2024-11-27
NDXP241127C20575000,2024-11-27 17:23:25+00:00,20575.0,86.9,166.0,186.0,-237.80002,-73.23684,11.0,6,0.1656119816589356,True,REGULAR,USD,2024-11-27
NDXP241127C20580000,2024-11-27 18:30:55+00:00,20580.0,135.0,160.0,180.0,-200.93,-59.813057,14.0,6,0.15883714706420898,True,REGULAR,USD,2024-11-27
NDXP241127C20590000,2024-11-27 16:42:29+00:00,20590.0,102.4,150.0,170.0,-105.99999,-50.86372,4.0,4,0.15256584747314456,True,REGULAR,USD,2024-11-27
NDXP241127C20600000,2024-11-27 20:47:41+00:00,20600.0,131.0,140.0,160.0,-87.0,-39.908257,145.0,62,0.146218254699707,True,REGULAR,USD,2024-11-27
NDXP241127C20610000,2024-11-27 20:15:37+00:00,20610.0,141.38,130.0,150.0,-133.5,-48.566647,19.0,4,0.1397943687438965,True,REGULAR,USD,2024-11-27
NDXP241127C20620000,2024-11-27 18:41:01+00:00,20620.0,115.26,120.0,140.0,-116.74,-50.318966,15.0,3,0.13328656028747557,True,REGULAR,USD,2024-11-27
NDXP241127C20625000,2024-11-27 20:41:32+00:00,20625.0,95.0,116.0,136.0,-131.05,-58.413193,38.0,5,0.13328656028747557,True,REGULAR,USD,2024-11-27
NDXP241127C20640000,2024-11-27 20:53:32+00:00,20640.0,99.66,100.0,120.0,-98.149994,-49.618317,256.0,4,0.11997339996337889,True,REGULAR,USD,2024-11-27
NDXP241127C20650000,2024-11-27 20:02:13+00:00,20650.0,99.95,90.0,110.0,-46.65001,-31.821287,261.0,3,0.11314897480010987,True,REGULAR,USD,2024-11-27
NDXP241127C20660000,2024-11-27 20:53:32+00:00,20660.0,80.0,80.0,100.0,-185.0,-69.81132,223.0,5,0.10618722190856933,True,REGULAR,USD,2024-11-27
NDXP241127C20670000,2024-11-27 19:34:18+00:00,20670.0,70.9,70.0,90.0,-104.6,-59.60114,115.0,5,0.09907288265228271,True,REGULAR,USD,2024-11-27
NDXP241127C20675000,2024-11-27 20:48:02+00:00,20675.0,60.0,66.0,86.0,-93.0,-60.784313,119.0,1,0.09832902412414551,True,REGULAR,USD,2024-11-27
NDXP241127C20680000,2024-11-27 20:59:35+00:00,20680.0,58.0,60.0,80.0,-111.45,-65.771614,112.0,2,0.09177543975830077,True,REGULAR,USD,2024-11-27
NDXP241127C20700000,2024-11-27 20:53:56+00:00,20700.0,41.17,40.0,60.0,-199.43001,-81.43989,900.0,8,0.07650535930633547,True,REGULAR,USD,2024-11-27
NDXP241127C20710000,2024-11-27 20:58:27+00:00,20710.0,33.51,30.0,47.9,-181.79001,-84.43567,187.0,4,0.06295950477600099,True,REGULAR,USD,2024-11-27
NDXP241127C20720000,2024-11-27 20:55:48+00:00,20720.0,24.74,20.0,31.3,-93.36,-79.34727,306.0,1,0.03739747402191161,True,REGULAR,USD,2024-11-27
NDXP241127C20725000,2024-11-27 20:45:32+00:00,20725.0,25.0,16.0,26.3,-176.35,-91.1605,306.0,5,0.033533224334716796,True,REGULAR,USD,2024-11-27
NDXP241127C20730000,2024-11-27 20:59:22+00:00,20730.0,20.0,10.5,21.3,-162.9,-91.13286,338.0,2,0.02947824169158935,True,REGULAR,USD,2024-11-27
NDXP241127C20750000,2024-11-27 20:59:59+00:00,20750.0,0.78,0.3,2.2,-180.52,-99.56977,1383.0,4,0.010195139846801758,False,REGULAR,USD,2024-11-27
NDXP241127C20760000,2024-11-27 20:59:59+00:00,20760.0,0.13,0.0,0.25,-139.31,-99.90677,664.0,4,0.009119405975341794,False,REGULAR,USD,2024-11-27
NDXP241127C20770000,2024-11-27 20:59:08+00:00,20770.0,0.05,0.0,0.1,-175.48,-99.97151,544.0,12,0.011606563720703126,False,REGULAR,USD,2024-11-27
NDXP241127C20800000,2024-11-27 20:59:05+00:00,20800.0,0.05,0.0,0.05,-151.5,-99.967,2593.0,11,0.020700711059570318,False,REGULAR,USD,2024-11-27
NDXP241127C20810000,2024-11-27 20:51:13+00:00,20810.0,0.05,0.0,0.1,-143.75,-99.951324,610.0,29,0.026071751098632807,False,REGULAR,USD,2024-11-27
NDXP241127C20820000,2024-11-27 20:55:22+00:00,20820.0,0.05,0.0,0.05,-110.649994,-99.95483,962.0,4,0.027231407470703125,False,REGULAR,USD,2024-11-27
NDXP241127C20825000,2024-11-27 20:55:39+00:00,20825.0,0.05,0.0,0.05,-108.93,-99.95412,1013.0,2,0.028818305664062502,False,REGULAR,USD,2024-11-27
NDXP241127C20830000,2024-11-27 20:50:24+00:00,20830.0,0.17,0.0,0.05,-79.73,-99.78724,444.0,1,0.030405203857421875,False,REGULAR,USD,2024-11-27
NDXP241127C20840000,2024-11-27 20:53:49+00:00,20840.0,0.05,0.0,0.15,-95.049995,-99.947426,288.0,16,0.038095556640625,False,REGULAR,USD,2024-11-27
NDXP241127C20850000,2024-11-27 20:53:11+00:00,20850.0,0.09,0.0,0.05,-115.71001,-99.92229,1230.0,29,0.03663072753906249,False,REGULAR,USD,2024-11-27
NDXP241127C20860000,2024-11-27 20:49:19+00:00,20860.0,0.05,0.0,15.0,-104.149994,-99.95201,382.0,14,0.12498586204528808,False,REGULAR,USD,2024-11-27
NDXP241127C20875000,2024-11-27 20:28:22+00:00,20875.0,0.07,0.0,10.0,-73.78,-99.90521,358.0,11,0.11645628425598145,False,REGULAR,USD,2024-11-27
NDXP241127C20880000,2024-11-27 20:49:33+00:00,20880.0,0.1,0.0,0.2,-89.64,-99.88857,245.0,27,0.05353729675292969,False,REGULAR,USD,2024-11-27
NDXP241127C20900000,2024-11-27 20:35:54+00:00,20900.0,0.05,0.0,6.0,-81.049995,-99.93835,1399.0,64,0.1126568837738037,False,REGULAR,USD,2024-11-27
NDXP241127C20910000,2024-11-27 20:00:02+00:00,20910.0,0.23,0.0,1.5,-75.95,-99.698074,416.0,9,0.08643491699218751,False,REGULAR,USD,2024-11-27
NDXP241127C20920000,2024-11-27 20:24:23+00:00,20920.0,0.1,0.0,0.25,-69.840004,-99.857025,155.0,12,0.06897903686523438,False,REGULAR,USD,2024-11-27
NDXP241127C20925000,2024-11-27 20:44:21+00:00,20925.0,0.12,0.0,20.0,-64.6,-99.81458,303.0,33,0.18341881042480468,False,REGULAR,USD,2024-11-27
NDXP241127C20930000,2024-11-27 20:16:38+00:00,20930.0,0.1,0.0,0.35,-64.37,-99.844894,207.0,30,0.07563180236816408,False,REGULAR,USD,2024-11-27
NDXP241127C20940000,2024-11-27 20:48:01+00:00,20940.0,0.16,0.0,0.15,-57.44,-99.72222,115.0,11,0.071298349609375,False,REGULAR,USD,2024-11-27
NDXP241127C20950000,2024-11-27 20:48:01+00:00,20950.0,0.05,0.0,0.35,-51.45,-99.902916,360.0,40,0.08258974060058595,False,REGULAR,USD,2024-11-27
NDXP241127C20960000,2024-11-27 20:23:09+00:00,20960.0,0.24,0.0,6.0,-48.78,-99.51041,199.0,13,0.1431817860412598,False,REGULAR,USD,2024-11-27
NDXP241127C20975000,2024-11-27 20:58:50+00:00,20975.0,0.08,0.0,0.2,-37.92,-99.78947,129.0,19,0.08521422607421877,False,REGULAR,USD,2024-11-27
NDXP241127C20990000,2024-11-27 20:28:25+00:00,20990.0,0.15,0.0,0.05,-35.85,-99.58333,323.0,20,0.07813421875000001,False,REGULAR,USD,2024-11-27
NDXP241127C21000000,2024-11-27 19:09:07+00:00,21000.0,0.17,0.0,0.05,-31.33,-99.46032,629.0,73,0.081063876953125,False,REGULAR,USD,2024-11-27
NDXP241127C21010000,2024-11-27 20:32:58+00:00,21010.0,0.05,0.0,0.2,-27.560001,-99.81892,125.0,49,0.09650561706542969,False,REGULAR,USD,2024-11-27
NDXP241127C21020000,2024-11-27 19:35:45+00:00,21020.0,0.05,0.0,0.5,-24.800001,-99.79879,136.0,15,0.11145908081054687,False,REGULAR,USD,2024-11-27
NDXP241127C21025000,2024-11-27 20:24:01+00:00,21025.0,0.11,0.0,20.0,-24.449999,-99.55212,145.0,23,0.24352257949829104,False,REGULAR,USD,2024-11-27
NDXP241127C21030000,2024-11-27 19:47:19+00:00,21030.0,0.17,0.0,20.0,-21.88,-99.22903,43.0,26,0.2463988324737549,False,REGULAR,USD,2024-11-27
NDXP241127C21040000,2024-11-27 19:47:19+00:00,21040.0,0.18,0.0,6.0,-19.07,-99.06493,49.0,32,0.18174036041259767,False,REGULAR,USD,2024-11-27
NDXP241127C21050000,2024-11-27 18:52:46+00:00,21050.0,0.1,0.0,20.0,-16.6,-99.40119,118.0,43,0.25783518051147464,False,REGULAR,USD,2024-11-27
NDXP241127C21070000,2024-11-27 16:19:30+00:00,21070.0,0.23,0.0,0.7,-14.17,-98.40278,17.0,16,0.13459117370605472,False,REGULAR,USD,2024-11-27
NDXP241127C21075000,2024-11-27 18:40:59+00:00,21075.0,0.15,0.0,20.0,-11.410001,-98.70243,37.0,29,0.2719341606140136,False,REGULAR,USD,2024-11-27
NDXP241127C21090000,2024-11-27 19:28:31+00:00,21090.0,0.07,0.0,20.0,-9.54,-99.2716,17.0,16,0.2802882640838622,False,REGULAR,USD,2024-11-27
NDXP241127C21100000,2024-11-27 20:04:41+00:00,21100.0,0.15,0.0,0.05,-8.21,-98.20574,71.0,108,0.10913976806640624,False,REGULAR,USD,2024-11-27
NDXP241127C21110000,2024-11-27 20:03:17+00:00,21110.0,0.11,0.0,20.0,-7.39,-98.53333,40.0,31,0.29132025825500485,False,REGULAR,USD,2024-11-27
NDXP241127C21120000,2024-11-27 15:11:39+00:00,21120.0,0.18,0.0,20.0,-6.3300004,-97.23503,11.0,24,0.2967981087493896,False,REGULAR,USD,2024-11-27
NDXP241127C21125000,2024-11-27 20:15:53+00:00,21125.0,0.15,0.0,20.0,-4.68,-96.8944,21.0,26,0.29952177536010743,False,REGULAR,USD,2024-11-27
NDXP241127C21130000,2024-11-27 17:29:27+00:00,21130.0,0.16,0.0,20.0,-5.8900003,-97.35538,33.0,29,0.30224544197082526,False,REGULAR,USD,2024-11-27
NDXP241127C21140000,2024-11-26 20:58:10+00:00,21140.0,0.3,0.0,20.0,-5.2,-94.545456,5.0,34,0.30766225791931145,False,REGULAR,USD,2024-11-27
NDXP241127C21150000,2024-11-27 16:20:50+00:00,21150.0,0.3,0.0,0.2,-4.5,-93.75,8.0,17,0.14026738647460937,False,REGULAR,USD,2024-11-27
NDXP241127C21160000,2024-11-27 15:34:22+00:00,21160.0,0.28,0.0,20.0,-3.7700002,-93.086426,20.0,27,0.31841959663391106,False,REGULAR,USD,2024-11-27
NDXP241127C21175000,2024-11-27 20:52:13+00:00,21175.0,0.15,0.0,0.05,-3.07,-95.34161,16.0,19,0.129891513671875,False,REGULAR,USD,2024-11-27
NDXP241127C21180000,2024-11-27 14:36:40+00:00,21180.0,0.38,0.0,20.0,-1.55,-80.31088,10.0,9,0.329085383529663,False,REGULAR,USD,2024-11-27
NDXP241127C21190000,2024-11-27 19:25:55+00:00,21190.0,0.1,0.0,20.0,-1.62,-94.18604,12.0,34,0.3343801303863525,False,REGULAR,USD,2024-11-27
NDXP241127C21200000,2024-11-27 20:00:24+00:00,21200.0,0.1,0.0,0.05,-2.0500002,-95.34884,79.0,135,0.13672738281250002,False,REGULAR,USD,2024-11-27
NDXP241127C21210000,2024-11-27 15:21:41+00:00,21210.0,0.1,0.0,20.0,-1.85,-94.871796,4.0,10,0.34490096023559574,False,REGULAR,USD,2024-11-27
NDXP241127C21220000,2024-11-27 15:44:44+00:00,21220.0,0.1,0.0,20.0,-1.55,-93.93939,5.0,42,0.35013467254638664,False,REGULAR,USD,2024-11-27
NDXP241127C21225000,2024-11-27 19:42:52+00:00,21225.0,0.16,0.0,20.0,-1.3100001,-89.11565,15.0,33,0.3527362700653076,False,REGULAR,USD,2024-11-27
NDXP241127C21230000,2024-11-26 15:28:49+00:00,21230.0,2.48,0.0,20.0,0.0,0.0,1.0,5,0.3553378675842284,False,REGULAR,USD,2024-11-27
NDXP241127C21240000,2024-11-27 18:08:02+00:00,21240.0,0.18,0.0,20.0,-1.1700001,-86.666664,11.0,34,0.3605258039855957,False,REGULAR,USD,2024-11-27
NDXP241127C21250000,2024-11-27 20:10:10+00:00,21250.0,0.1,0.0,20.0,-0.9499999,-90.47619,18.0,71,0.36569085243225097,False,REGULAR,USD,2024-11-27
NDXP241127C21260000,2024-11-27 17:31:05+00:00,21260.0,0.05,0.0,20.0,-0.84999996,-94.44445,2.0,6,0.37084064224243163,False,REGULAR,USD,2024-11-27
