contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
RUTW241129P01050000,2024-10-10 19:49:36+00:00,1050.0,0.5,0.0,0.15,0.0,0.0,5.0,6,3.5312511718749997,False,REGULAR,USD,2024-11-29
RUTW241129P01100000,2024-11-25 19:20:58+00:00,1100.0,0.05,0.0,0.1,0.0,0.0,2.0,3,3.2421893945312497,False,REGULAR,USD,2024-11-29
RUTW241129P01150000,2024-11-26 15:41:58+00:00,1150.0,0.03,0.0,0.1,0.0,0.0,1.0,4,3.06250234375,False,REGULAR,USD,2024-11-29
RUTW241129P01200000,2024-10-31 18:24:05+00:00,1200.0,0.3,0.0,0.1,0.0,0.0,3.0,8,2.89844025390625,False,REGULAR,USD,2024-11-29
RUTW241129P01250000,2024-11-07 17:43:12+00:00,1250.0,0.08,0.0,0.1,0.0,0.0,30.0,50,2.74219064453125,False,REGULAR,USD,2024-11-29
RUTW241129P01300000,2024-11-06 14:41:13+00:00,1300.0,0.15,0.0,0.1,0.0,0.0,2.0,132,2.58594103515625,False,REGULAR,USD,2024-11-29
RUTW241129P01350000,2024-11-25 15:02:07+00:00,1350.0,0.04,0.0,0.1,0.0,0.0,1.0,22,2.43750390625,False,REGULAR,USD,2024-11-29
RUTW241129P01400000,2024-11-06 14:30:56+00:00,1400.0,0.35,0.0,0.1,0.0,0.0,1.0,11,2.2968792578125,False,REGULAR,USD,2024-11-29
RUTW241129P01450000,2024-11-06 15:41:14+00:00,1450.0,0.25,0.0,0.1,0.0,0.0,1.0,89,2.156254609375,False,REGULAR,USD,2024-11-29
RUTW241129P01500000,2024-11-08 15:00:29+00:00,1500.0,0.2,0.0,0.1,0.0,0.0,3.0,31,2.02344244140625,False,REGULAR,USD,2024-11-29
RUTW241129P01550000,2024-11-13 20:37:17+00:00,1550.0,0.05,0.0,0.1,0.0,0.0,1.0,45,1.890625546875,False,REGULAR,USD,2024-11-29
RUTW241129P01600000,2024-11-15 20:16:16+00:00,1600.0,0.15,0.0,0.1,0.0,0.0,2.0,108,1.765626171875,False,REGULAR,USD,2024-11-29
RUTW241129P01650000,2024-11-27 17:56:19+00:00,1650.0,0.05,0.0,0.1,-0.25,-83.33333,5.0,72,1.640626796875,False,REGULAR,USD,2024-11-29
RUTW241129P01660000,2024-10-07 15:26:52+00:00,1660.0,3.52,0.35,0.6,0.0,0.0,2.0,2,1.994140654296875,False,REGULAR,USD,2024-11-29
RUTW241129P01670000,2024-10-09 14:51:02+00:00,1670.0,3.84,0.0,0.0,0.0,0.0,1.0,11,0.500005,False,REGULAR,USD,2024-11-29
RUTW241129P01680000,2024-10-29 19:53:07+00:00,1680.0,1.6,0.0,0.1,0.0,0.0,4.0,7,1.5703146484375,False,REGULAR,USD,2024-11-29
RUTW241129P01690000,2024-10-25 13:50:17+00:00,1690.0,1.86,0.0,0.1,0.0,0.0,1.0,1,1.5468772656249998,False,REGULAR,USD,2024-11-29
RUTW241129P01700000,2024-11-04 15:43:43+00:00,1700.0,1.58,0.0,0.1,0.0,0.0,2.0,80,1.5234398828124998,False,REGULAR,USD,2024-11-29
RUTW241129P01710000,2024-11-04 17:41:00+00:00,1710.0,1.7,0.0,0.1,0.0,0.0,1.0,6,1.5000025,False,REGULAR,USD,2024-11-29
RUTW241129P01720000,2024-11-11 14:36:54+00:00,1720.0,0.3,0.0,0.1,0.0,0.0,3.0,6,1.4765651171875,False,REGULAR,USD,2024-11-29
RUTW241129P01730000,2024-11-06 14:35:12+00:00,1730.0,0.86,0.0,0.1,0.0,0.0,1.0,11,1.453127734375,False,REGULAR,USD,2024-11-29
RUTW241129P01740000,2024-11-08 16:07:40+00:00,1740.0,0.37,0.0,0.1,0.0,0.0,1.0,9,1.4296903515625,False,REGULAR,USD,2024-11-29
RUTW241129P01750000,2024-11-15 20:17:08+00:00,1750.0,0.25,0.0,0.1,0.0,0.0,6.0,61,1.40625296875,False,REGULAR,USD,2024-11-29
RUTW241129P01760000,2024-11-13 18:55:19+00:00,1760.0,0.23,0.0,0.1,0.0,0.0,1.0,3,1.3828155859374998,False,REGULAR,USD,2024-11-29
RUTW241129P01770000,2024-11-04 20:07:35+00:00,1770.0,2.11,0.0,0.1,0.0,0.0,2.0,8,1.359378203125,False,REGULAR,USD,2024-11-29
RUTW241129P01780000,2024-11-14 16:44:52+00:00,1780.0,0.28,0.0,0.1,0.0,0.0,3.0,2,1.3398470507812497,False,REGULAR,USD,2024-11-29
RUTW241129P01790000,2024-11-06 19:42:50+00:00,1790.0,0.65,0.0,0.1,0.0,0.0,2.0,4,1.3164096679687498,False,REGULAR,USD,2024-11-29
RUTW241129P01800000,2024-11-20 19:38:09+00:00,1800.0,0.23,0.0,0.1,0.0,0.0,1.0,57,1.29297228515625,False,REGULAR,USD,2024-11-29
RUTW241129P01810000,2024-11-18 20:13:40+00:00,1810.0,0.21,0.0,0.1,0.0,0.0,1.0,67,1.2695349023437497,False,REGULAR,USD,2024-11-29
RUTW241129P01820000,2024-11-07 14:40:17+00:00,1820.0,0.69,0.0,0.1,0.0,0.0,3.0,60,1.2500037499999999,False,REGULAR,USD,2024-11-29
RUTW241129P01830000,2024-11-12 14:40:00+00:00,1830.0,0.3,0.0,0.1,0.0,0.0,1.0,59,1.2265663671875,False,REGULAR,USD,2024-11-29
RUTW241129P01840000,2024-11-13 19:59:02+00:00,1840.0,0.32,0.0,0.1,0.0,0.0,7.0,120,1.203128984375,False,REGULAR,USD,2024-11-29
RUTW241129P01850000,2024-11-20 14:36:33+00:00,1850.0,0.23,0.0,0.1,0.0,0.0,10.0,99,1.18359783203125,False,REGULAR,USD,2024-11-29
RUTW241129P01860000,2024-11-13 20:54:33+00:00,1860.0,0.45,0.0,0.1,0.0,0.0,3.0,26,1.16016044921875,False,REGULAR,USD,2024-11-29
RUTW241129P01870000,2024-11-21 17:53:56+00:00,1870.0,0.2,0.0,0.1,0.0,0.0,3.0,342,1.140629296875,False,REGULAR,USD,2024-11-29
RUTW241129P01880000,2024-11-13 20:54:33+00:00,1880.0,0.52,0.0,0.1,0.0,0.0,2.0,8,1.1171919140625,False,REGULAR,USD,2024-11-29
RUTW241129P01890000,2024-11-21 20:42:06+00:00,1890.0,0.16,0.0,0.1,0.0,0.0,5.0,31,1.0957076464843751,False,REGULAR,USD,2024-11-29
RUTW241129P01895000,2024-11-04 14:48:03+00:00,1895.0,4.6,0.0,0.1,0.0,0.0,,10,1.0859420703125,False,REGULAR,USD,2024-11-29
