contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
RUTW241129C01200000,2024-10-29 19:01:05+00:00,1200.0,1039.1,1232.2,1248.7,0.0,0.0,,0,6.8906263867187505,True,REGULAR,USD,2024-11-29
RUTW241129C01250000,2024-10-29 14:42:10+00:00,1250.0,987.5,1178.9,1198.9,0.0,0.0,1.0,26,6.215334262084961,True,REGULAR,USD,2024-11-29
RUTW241129C01300000,2024-10-29 19:51:25+00:00,1300.0,937.8,1128.9,1148.9,0.0,0.0,1.0,25,5.885256549682618,True,REGULAR,USD,2024-11-29
RUTW241129C01350000,2024-10-29 19:01:05+00:00,1350.0,890.2,1078.9,1098.9,0.0,0.0,,1,5.5673858532714835,True,REGULAR,USD,2024-11-29
RUTW241129C01720000,2024-08-26 14:08:11+00:00,1720.0,542.7,498.2,500.9,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C01850000,2024-07-08 17:08:57+00:00,1850.0,246.44,256.5,262.7,0.0,0.0,,63,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C01900000,2024-07-08 19:24:55+00:00,1900.0,206.16,219.4,225.3,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C01910000,2024-07-08 19:23:54+00:00,1910.0,198.67,212.2,218.1,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C01930000,2024-11-22 14:49:57+00:00,1930.0,459.84,504.0,524.0,0.0,0.0,5.0,0,2.9212673452758793,True,REGULAR,USD,2024-11-29
RUTW241129C01940000,2024-11-22 14:49:57+00:00,1940.0,449.77,488.9,508.9,0.0,0.0,5.0,2,2.4399453063964844,True,REGULAR,USD,2024-11-29
RUTW241129C01950000,2024-11-22 20:38:11+00:00,1950.0,454.59,478.9,498.9,0.0,0.0,1.0,71,2.393558703613281,True,REGULAR,USD,2024-11-29
RUTW241129C01960000,2024-09-11 15:27:16+00:00,1960.0,175.93,291.8,295.2,0.0,0.0,4.0,34,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C01965000,2024-11-04 16:01:30+00:00,1965.0,277.5,463.9,483.9,0.0,0.0,,1,2.3242229394531244,True,REGULAR,USD,2024-11-29
RUTW241129C01970000,2024-08-21 17:59:37+00:00,1970.0,247.37,288.7,293.1,0.0,0.0,90.0,49,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C01980000,2024-08-21 17:49:30+00:00,1980.0,239.34,279.8,284.2,0.0,0.0,20.0,410,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C01990000,2024-11-26 19:52:21+00:00,1990.0,445.38,438.9,458.9,11.290009,2.600845,4.0,101,2.209477132568359,True,REGULAR,USD,2024-11-29
RUTW241129C02000000,2024-11-29 17:18:21+00:00,2000.0,435.61,434.0,454.0,31.309998,7.744249,3.0,0,2.5579870034790035,True,REGULAR,USD,2024-11-29
RUTW241129C02010000,2024-11-22 20:38:11+00:00,2010.0,394.71,418.9,438.9,0.0,0.0,1.0,0,2.118290837097167,True,REGULAR,USD,2024-11-29
RUTW241129C02020000,2024-09-30 20:09:12+00:00,2020.0,241.6,227.5,230.8,0.0,0.0,4.0,130,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C02030000,2024-11-21 20:01:26+00:00,2030.0,342.59,398.9,422.6,0.0,0.0,50.0,88,2.183110010986328,True,REGULAR,USD,2024-11-29
RUTW241129C02040000,2024-10-09 17:30:11+00:00,2040.0,200.78,366.9,370.7,0.0,0.0,1.0,73,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C02045000,2024-11-07 16:14:43+00:00,2045.0,352.0,383.9,403.9,0.0,0.0,1.0,0,1.9594728588867185,True,REGULAR,USD,2024-11-29
RUTW241129C02050000,2024-10-16 19:03:58+00:00,2050.0,259.08,257.8,263.1,0.0,0.0,51.0,226,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C02060000,2024-11-29 17:19:10+00:00,2060.0,374.98,368.9,388.9,31.110016,9.047029,4.0,0,1.8918462438964845,True,REGULAR,USD,2024-11-29
RUTW241129C02065000,2024-11-19 15:52:11+00:00,2065.0,243.02,363.9,383.9,0.0,0.0,1.0,1,1.8692633489990236,True,REGULAR,USD,2024-11-29
RUTW241129C02070000,2024-11-29 17:18:21+00:00,2070.0,365.55,358.9,378.9,27.049988,7.9911337,3.0,0,1.8466804541015622,True,REGULAR,USD,2024-11-29
RUTW241129C02075000,2024-11-22 17:54:37+00:00,2075.0,330.12,353.9,373.9,0.0,0.0,1.0,2,1.82421962890625,True,REGULAR,USD,2024-11-29
RUTW241129C02080000,2024-11-22 17:54:37+00:00,2080.0,325.16,348.9,368.9,0.0,0.0,1.0,0,1.8017588037109373,True,REGULAR,USD,2024-11-29
RUTW241129C02090000,2024-09-26 18:53:25+00:00,2090.0,174.85,148.3,151.2,0.0,0.0,12.0,99,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
RUTW241129C02095000,2024-10-29 14:43:34+00:00,2095.0,165.1,333.9,353.9,0.0,0.0,12.0,0,1.734376328125,True,REGULAR,USD,2024-11-29
RUTW241129C02100000,2024-11-22 14:42:09+00:00,2100.0,286.14,328.9,348.9,0.0,0.0,12.0,166,1.7119155029296875,True,REGULAR,USD,2024-11-29
RUTW241129C02110000,2024-11-29 17:18:48+00:00,2110.0,332.74,318.9,338.9,37.539978,12.716794,7.0,58,1.6672379919433595,True,REGULAR,USD,2024-11-29
RUTW241129C02120000,2024-11-22 14:37:10+00:00,2120.0,257.9,308.9,328.9,0.0,0.0,1.0,0,1.6223163415527342,True,REGULAR,USD,2024-11-29
RUTW241129C02125000,2024-11-19 15:44:51+00:00,2125.0,184.88,303.9,323.9,0.0,0.0,2.0,12,1.59997758605957,True,REGULAR,USD,2024-11-29
RUTW241129C02130000,2024-11-22 14:45:40+00:00,2130.0,256.95,298.9,318.9,0.0,0.0,1.0,45,1.5776388305664062,True,REGULAR,USD,2024-11-29
RUTW241129C02135000,2024-11-19 15:44:51+00:00,2135.0,174.98,293.9,313.9,0.0,0.0,2.0,0,1.555300075073242,True,REGULAR,USD,2024-11-29
RUTW241129C02140000,2024-11-22 14:37:10+00:00,2140.0,237.85,288.9,308.9,0.0,0.0,1.0,0,1.5329613195800782,True,REGULAR,USD,2024-11-29
RUTW241129C02145000,2024-11-19 16:06:18+00:00,2145.0,164.62,283.9,303.9,0.0,0.0,1.0,6,1.5105004943847655,True,REGULAR,USD,2024-11-29
RUTW241129C02150000,2024-11-27 16:20:03+00:00,2150.0,283.49,278.9,298.9,0.0,0.0,1.0,69,1.4882838085937498,True,REGULAR,USD,2024-11-29
RUTW241129C02155000,2024-11-06 15:53:15+00:00,2155.0,215.6,273.9,293.9,0.0,0.0,,0,1.4658229833984375,True,REGULAR,USD,2024-11-29
RUTW241129C02160000,2024-11-29 17:17:40+00:00,2160.0,269.75,274.0,294.0,25.550003,10.462737,2.0,35,1.743043276977539,True,REGULAR,USD,2024-11-29
RUTW241129C02170000,2024-11-25 15:25:19+00:00,2170.0,288.27,258.9,278.9,0.0,0.0,26.0,0,1.3988067169189453,True,REGULAR,USD,2024-11-29
