contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NDXP241114P17400000,2024-11-13 21:14:11+00:00,17400.0,0.05,0.0,0.05,-0.10000001,-66.66667,96.0,104.0,0.945313046875,False,REGULAR,USD,2024-11-14
NDXP241114P17425000,2024-11-14 20:02:09+00:00,17425.0,0.05,0.0,0.05,-26.050001,-99.808426,22.0,2.0,0.9414068359375,False,REGULAR,USD,2024-11-14
NDXP241114P17450000,2024-11-14 20:02:08+00:00,17450.0,0.05,0.0,0.05,-24.730001,-99.79823,20.0,2.0,0.9335944140625,False,REGULAR,USD,2024-11-14
NDXP241114P17500000,2024-11-08 14:43:54+00:00,17500.0,0.05,0.0,0.05,-0.95,-95.0,20.0,4.0,0.9179695703125,False,REGULAR,USD,2024-11-14
NDXP241114P17550000,2024-11-08 14:44:28+00:00,17550.0,1.05,0.0,0.1,0.0,0.0,3.0,9.0,0.945313046875,False,REGULAR,USD,2024-11-14
NDXP241114P17600000,2024-10-31 19:59:48+00:00,17600.0,29.9,0.0,0.15,0.0,0.0,,6.0,0.9570316796875,False,REGULAR,USD,2024-11-14
NDXP241114P17700000,2024-11-08 16:02:02+00:00,17700.0,1.2,0.0,0.3,0.0,0.0,47.0,21.0,0.975586181640625,False,REGULAR,USD,2024-11-14
NDXP241114P17750000,2024-11-01 19:50:32+00:00,17750.0,20.85,0.0,0.15,0.0,0.0,2.0,8.0,0.91211025390625,False,REGULAR,USD,2024-11-14
NDXP241114P17775000,2024-11-05 19:35:35+00:00,17775.0,12.3,0.0,0.05,0.0,0.0,,0.0,0.8437515624999999,False,REGULAR,USD,2024-11-14
NDXP241114P17800000,2024-11-08 17:09:12+00:00,17800.0,0.85,0.0,0.3,0.0,0.0,1.0,3.0,0.9443364941406248,False,REGULAR,USD,2024-11-14
NDXP241114P17825000,2024-11-05 19:36:44+00:00,17825.0,13.0,0.0,0.3,0.0,0.0,,50.0,0.937500625,False,REGULAR,USD,2024-11-14
NDXP241114P17850000,2024-11-04 14:48:13+00:00,17850.0,20.43,0.0,0.3,0.0,0.0,1.0,3.0,0.929688203125,False,REGULAR,USD,2024-11-14
NDXP241114P17900000,2024-11-06 16:30:55+00:00,17900.0,2.75,0.0,0.15,0.0,0.0,2.0,52.0,0.86914193359375,False,REGULAR,USD,2024-11-14
NDXP241114P17950000,2024-10-29 13:31:52+00:00,17950.0,24.5,0.0,0.3,0.0,0.0,,1.0,0.8984385156249999,False,REGULAR,USD,2024-11-14
NDXP241114P18000000,2024-11-14 19:41:26+00:00,18000.0,0.05,0.0,0.05,-14.75,-99.66216,2.0,2.0,0.7812521875,False,REGULAR,USD,2024-11-14
NDXP241114P18100000,2024-11-13 21:05:51+00:00,18100.0,0.25,0.0,0.15,0.0,0.0,2.0,136.0,0.8105487695312499,False,REGULAR,USD,2024-11-14
NDXP241114P18150000,2024-11-04 20:40:47+00:00,18150.0,25.3,0.0,0.15,0.0,0.0,2.0,12.0,0.795900478515625,False,REGULAR,USD,2024-11-14
