contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
JNJ241115C00110000,2024-09-25 16:13:38+00:00,110.0,52.08,50.6,53.15,0.0,0.0,1.0,1,8.733402979125977,True,REGULAR,USD,2024-11-15
JNJ241115C00120000,2024-09-27 16:29:29+00:00,120.0,43.2,40.65,43.1,0.0,0.0,2.0,0,7.26562591796875,True,REGULAR,USD,2024-11-15
JNJ241115C00125000,2024-11-12 14:43:00+00:00,125.0,29.84,27.1,30.6,0.0,0.0,2.0,2,3.494141889648437,True,REGULAR,USD,2024-11-15
JNJ241115C00130000,2024-11-15 18:57:09+00:00,130.0,24.15,22.15,25.55,-6.5699997,-21.386719,1.0,1,2.978518178710937,True,REGULAR,USD,2024-11-15
JNJ241115C00135000,2024-11-06 14:33:00+00:00,135.0,25.0,18.8,19.8,0.0,0.0,1.0,7,1.6015644921875,True,REGULAR,USD,2024-11-15
JNJ241115C00140000,2024-11-15 16:21:32+00:00,140.0,12.92,12.75,15.35,0.27000046,2.134391,1.0,53,0.8867198828124999,True,REGULAR,USD,2024-11-15
JNJ241115C00145000,2024-11-15 14:50:30+00:00,145.0,7.7,7.6,10.45,0.049999714,0.65359104,2.0,31,0.5390671093750001,True,REGULAR,USD,2024-11-15
JNJ241115C00148000,2024-11-14 15:45:49+00:00,148.0,4.79,4.8,7.1,1.49,45.151516,2.0,4,1.0332079589843752,True,REGULAR,USD,2024-11-15
JNJ241115C00149000,2024-11-15 18:17:27+00:00,149.0,5.3,4.45,5.8,2.8100002,112.85142,1.0,6,0.8095722167968749,True,REGULAR,USD,2024-11-15
JNJ241115C00150000,2024-11-15 20:17:49+00:00,150.0,4.2,3.75,4.7,1.4999998,55.555542,65.0,112,0.6709017285156251,True,REGULAR,USD,2024-11-15
JNJ241115C00152500,2024-11-15 20:52:44+00:00,152.5,1.6,1.22,1.74,1.13,240.42552,691.0,472,0.2402419726562499,True,REGULAR,USD,2024-11-15
JNJ241115C00155000,2024-11-15 20:49:59+00:00,155.0,0.03,0.0,0.01,-0.020000001,-40.000004,1131.0,1764,0.070321796875,False,REGULAR,USD,2024-11-15
JNJ241115C00157500,2024-11-15 20:49:59+00:00,157.5,0.01,0.0,0.01,-0.02,-66.66667,101.0,2241,0.2031329687499999,False,REGULAR,USD,2024-11-15
JNJ241115C00160000,2024-11-15 20:55:29+00:00,160.0,0.01,0.0,0.02,0.0,0.0,40.0,6337,0.3515689843749999,False,REGULAR,USD,2024-11-15
JNJ241115C00162500,2024-11-15 18:55:08+00:00,162.5,0.01,0.0,0.01,0.0,0.0,12.0,1908,0.429693203125,False,REGULAR,USD,2024-11-15
JNJ241115C00165000,2024-11-15 19:46:58+00:00,165.0,0.01,0.0,0.01,0.0,0.0,35.0,7126,0.500005,False,REGULAR,USD,2024-11-15
JNJ241115C00167500,2024-11-14 16:33:09+00:00,167.5,0.02,0.0,0.01,0.0,0.0,1.0,863,0.5937540625000001,False,REGULAR,USD,2024-11-15
JNJ241115C00170000,2024-11-15 19:13:23+00:00,170.0,0.01,0.0,0.01,0.0,0.0,81.0,11955,0.6875031250000001,False,REGULAR,USD,2024-11-15
JNJ241115C00172500,2024-11-11 15:03:33+00:00,172.5,0.02,0.0,0.06,0.0,0.0,2.0,112,0.945313046875,False,REGULAR,USD,2024-11-15
JNJ241115C00175000,2024-11-15 19:03:48+00:00,175.0,0.01,0.0,0.01,0.0,0.0,12.0,4080,0.87500125,False,REGULAR,USD,2024-11-15
JNJ241115C00177500,2024-10-25 15:20:39+00:00,177.5,0.18,0.0,0.25,0.0,0.0,8.0,8,1.40625296875,False,REGULAR,USD,2024-11-15
JNJ241115C00180000,2024-11-13 16:24:42+00:00,180.0,0.01,0.0,0.11,0.0,0.0,1.0,729,1.3437532812499997,False,REGULAR,USD,2024-11-15
JNJ241115C00182500,2024-10-21 13:52:48+00:00,182.5,0.03,0.0,0.52,0.0,0.0,,1,1.8496101269531249,False,REGULAR,USD,2024-11-15
JNJ241115C00185000,2024-11-07 14:46:46+00:00,185.0,0.01,0.0,0.01,0.0,0.0,4.0,4981,1.1875040625,False,REGULAR,USD,2024-11-15
JNJ241115C00190000,2024-10-28 16:04:48+00:00,190.0,0.01,0.0,0.53,0.0,0.0,11.0,29,2.201176372070312,False,REGULAR,USD,2024-11-15
JNJ241115C00230000,2024-09-30 17:21:14+00:00,230.0,0.03,0.0,0.37,0.0,0.0,,1,3.531251171875,False,REGULAR,USD,2024-11-15
JNJ241115C00240000,2024-11-07 20:45:03+00:00,240.0,0.03,0.0,0.93,0.0,0.0,,1,4.417973227539061,False,REGULAR,USD,2024-11-15
JNJ241122C00140000,2024-10-15 14:50:26+00:00,140.0,26.3,11.9,12.4,0.0,0.0,,1,1.0000000000000004e-05,True,REGULAR,USD,2024-11-22
JNJ241122C00149000,2024-11-15 17:03:36+00:00,149.0,5.4,5.25,6.4,1.3499999,33.33333,5.0,52,0.3708559008789062,True,REGULAR,USD,2024-11-22
JNJ241122C00150000,2024-11-15 20:11:40+00:00,150.0,4.6,4.3,4.5,1.81,64.87455,91.0,42,0.2063067651367187,True,REGULAR,USD,2024-11-22
JNJ241122C00152500,2024-11-15 20:59:06+00:00,152.5,2.41,2.38,2.46,0.8700001,56.49352,386.0,397,0.176766044921875,True,REGULAR,USD,2024-11-22
JNJ241122C00155000,2024-11-15 20:58:57+00:00,155.0,0.99,1.0,1.04,0.54,120.000015,1305.0,1071,0.1628501684570312,False,REGULAR,USD,2024-11-22
JNJ241122C00157500,2024-11-15 20:59:36+00:00,157.5,0.31,0.3,0.34,0.14,82.35294,2403.0,1524,0.1601646484375,False,REGULAR,USD,2024-11-22
JNJ241122C00160000,2024-11-15 20:56:38+00:00,160.0,0.1,0.07,0.1,0.030000001,42.857143,588.0,814,0.16602396484375,False,REGULAR,USD,2024-11-22
JNJ241122C00162500,2024-11-15 20:47:50+00:00,162.5,0.05,0.0,0.26,0.010000002,25.000004,123.0,598,0.2695385546875,False,REGULAR,USD,2024-11-22
JNJ241122C00165000,2024-11-15 20:45:25+00:00,165.0,0.03,0.01,0.03,0.01,50.0,11.0,933,0.2187578124999999,False,REGULAR,USD,2024-11-22
JNJ241122C00167500,2024-11-11 16:20:03+00:00,167.5,0.03,0.0,0.02,0.0,0.0,19.0,304,0.24414818359375,False,REGULAR,USD,2024-11-22
JNJ241122C00170000,2024-11-15 18:15:05+00:00,170.0,0.02,0.0,0.02,0.01,100.0,9.0,2936,0.2812571874999999,False,REGULAR,USD,2024-11-22
JNJ241122C00172500,2024-11-06 16:56:09+00:00,172.5,0.02,0.0,0.06,0.0,0.0,,0,0.367193828125,False,REGULAR,USD,2024-11-22
JNJ241122C00175000,2024-11-14 18:30:15+00:00,175.0,0.03,0.0,0.25,0.0,0.0,2.0,1135,0.5185595019531251,False,REGULAR,USD,2024-11-22
JNJ241122C00180000,2024-11-08 14:36:02+00:00,180.0,0.02,0.0,0.17,0.0,0.0,1.0,2,0.50586431640625,False,REGULAR,USD,2024-11-22
JNJ241122C00185000,2024-11-11 15:07:21+00:00,185.0,0.02,0.0,0.75,0.0,0.0,1.0,2,0.7460962890625,False,REGULAR,USD,2024-11-22
JNJ241122C00190000,2024-11-07 14:39:50+00:00,190.0,0.05,0.0,0.03,0.0,0.0,,4,0.5312546875,False,REGULAR,USD,2024-11-22
JNJ241129C00145000,2024-11-11 20:28:03+00:00,145.0,10.5,8.95,9.55,0.0,0.0,2.0,3,0.2683178637695312,True,REGULAR,USD,2024-11-29
JNJ241129C00150000,2024-11-15 20:42:00+00:00,150.0,4.5,4.4,4.6,1.74,63.04348,147.0,126,0.16211775390625,True,REGULAR,USD,2024-11-29
JNJ241129C00155000,2024-11-15 20:57:28+00:00,155.0,1.22,1.16,1.25,0.62,103.33333,598.0,659,0.1362391064453125,False,REGULAR,USD,2024-11-29
JNJ241129C00160000,2024-11-15 20:52:30+00:00,160.0,0.19,0.16,0.19,0.07,58.333336,898.0,2373,0.1411218701171875,False,REGULAR,USD,2024-11-29
JNJ241129C00165000,2024-11-15 16:20:12+00:00,165.0,0.04,0.03,0.11,-0.02,-33.333336,32.0,767,0.19727365234375,False,REGULAR,USD,2024-11-29
JNJ241129C00170000,2024-11-12 16:43:26+00:00,170.0,0.03,0.01,0.04,0.0,0.0,3.0,2483,0.2246171289062499,False,REGULAR,USD,2024-11-29
JNJ241129C00175000,2024-11-14 17:32:50+00:00,175.0,0.01,0.01,0.17,0.0,0.0,2.0,1425,0.3515689843749999,False,REGULAR,USD,2024-11-29
JNJ241129C00180000,2024-11-14 14:36:06+00:00,180.0,0.02,0.0,0.22,0.0,0.0,2.0,10,0.432622861328125,False,REGULAR,USD,2024-11-29
JNJ241129C00185000,2024-11-01 16:44:33+00:00,185.0,0.06,0.0,0.42,0.0,0.0,6.0,5,0.5576216113281252,False,REGULAR,USD,2024-11-29
JNJ241129C00190000,2024-11-06 14:53:16+00:00,190.0,0.03,0.0,0.21,0.0,0.0,2.0,14,0.5459029785156251,False,REGULAR,USD,2024-11-29
