contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
SPXW241118P02400000,2024-11-01 14:23:34+00:00,2400.0,0.05,0.0,0.05,0.0,0.0,30.0,114,2.6718783203125005,False,REGULAR,USD,2024-11-18
SPXW241118P02600000,2024-11-04 20:35:43+00:00,2600.0,0.1,0.0,0.05,0.0,0.0,,2,2.44531638671875,False,REGULAR,USD,2024-11-18
SPXW241118P02800000,2024-11-01 19:32:51+00:00,2800.0,0.1,0.0,0.05,0.0,0.0,200.0,774,2.2343794140624995,False,REGULAR,USD,2024-11-18
SPXW241118P03000000,2024-11-06 01:23:33+00:00,3000.0,0.05,0.0,0.05,0.0,0.0,1.0,18,2.031254921875,False,REGULAR,USD,2024-11-18
SPXW241118P03200000,2024-11-04 14:38:04+00:00,3200.0,0.2,0.0,0.05,0.0,0.0,5.0,20,1.84375078125,False,REGULAR,USD,2024-11-18
SPXW241118P03400000,2024-11-06 19:01:54+00:00,3400.0,0.07,0.0,0.05,0.0,0.0,3.0,28,1.6640641796875002,False,REGULAR,USD,2024-11-18
SPXW241118P03600000,2024-11-15 20:54:20+00:00,3600.0,0.05,0.0,0.1,0.0,0.0,2.0,175,1.5703146484375,False,REGULAR,USD,2024-11-18
SPXW241118P03800000,2024-11-11 16:41:53+00:00,3800.0,0.05,0.0,0.1,0.0,0.0,1.0,1167,1.40625296875,False,REGULAR,USD,2024-11-18
SPXW241118P04000000,2024-11-11 18:11:30+00:00,4000.0,0.05,0.0,0.1,0.0,0.0,21.0,1481,1.25000375,False,REGULAR,USD,2024-11-18
SPXW241118P04200000,2024-11-15 16:40:02+00:00,4200.0,0.05,0.0,0.1,0.0,0.0,5.0,2034,1.0996138769531252,False,REGULAR,USD,2024-11-18
SPXW241118P04300000,2024-11-14 20:56:11+00:00,4300.0,0.05,0.0,0.1,0.0,0.0,48.0,4301,1.0273486132812502,False,REGULAR,USD,2024-11-18
SPXW241118P04400000,2024-11-15 16:40:28+00:00,4400.0,0.05,0.0,0.1,0.0,0.0,5.0,1417,0.95507857421875,False,REGULAR,USD,2024-11-18
SPXW241118P04500000,2024-11-14 21:07:39+00:00,4500.0,0.05,0.0,0.1,0.0,0.0,253.0,11375,0.88476677734375,False,REGULAR,USD,2024-11-18
SPXW241118P04600000,2024-11-15 21:01:11+00:00,4600.0,0.05,0.0,0.05,0.0,0.0,535.0,2602,0.7773459765625,False,REGULAR,USD,2024-11-18
SPXW241118P04700000,2024-11-15 21:14:55+00:00,4700.0,0.05,0.0,0.1,0.0,0.0,6020.0,4144,0.7500025,False,REGULAR,USD,2024-11-18
SPXW241118P04800000,2024-11-15 21:12:20+00:00,4800.0,0.05,0.0,0.1,0.0,0.0,780.0,4508,0.6835969140625001,False,REGULAR,USD,2024-11-18
SPXW241118P04850000,2024-11-15 21:02:32+00:00,4850.0,0.05,0.0,0.15,-0.05,-50.0,157.0,5833,0.6709017285156251,False,REGULAR,USD,2024-11-18
SPXW241118P04900000,2024-11-15 16:59:08+00:00,4900.0,0.07,0.0,0.15,-0.030000001,-30.000002,136.0,2054,0.637698935546875,False,REGULAR,USD,2024-11-18
SPXW241118P04950000,2024-11-15 21:10:54+00:00,4950.0,0.07,0.0,0.15,-0.080000006,-53.333336,828.0,912,0.6044961425781252,False,REGULAR,USD,2024-11-18
SPXW241118P05000000,2024-11-15 21:12:36+00:00,5000.0,0.1,0.0,0.15,0.0,0.0,3753.0,4958,0.5712933496093751,False,REGULAR,USD,2024-11-18
SPXW241118P05050000,2024-11-15 21:11:19+00:00,5050.0,0.1,0.0,0.15,0.0,0.0,4541.0,186,0.5380905566406251,False,REGULAR,USD,2024-11-18
SPXW241118P05075000,2024-11-15 21:10:41+00:00,5075.0,0.08,0.0,0.15,-0.07000001,-46.66667,1902.0,317,0.5224657128906249,False,REGULAR,USD,2024-11-18
SPXW241118P05100000,2024-11-15 21:10:54+00:00,5100.0,0.08,0.0,0.15,-0.07000001,-46.66667,1239.0,2699,0.50586431640625,False,REGULAR,USD,2024-11-18
SPXW241118P05125000,2024-11-15 21:07:52+00:00,5125.0,0.1,0.05,0.15,0.0,0.0,46.0,421,0.5019581054687501,False,REGULAR,USD,2024-11-18
SPXW241118P05150000,2024-11-15 21:12:28+00:00,5150.0,0.1,0.05,0.15,0.0,0.0,806.0,1057,0.5029346582031251,False,REGULAR,USD,2024-11-18
SPXW241118P05175000,2024-11-15 20:32:56+00:00,5175.0,0.1,0.05,0.2,0.0,0.0,8.0,163,0.4995167236328125,False,REGULAR,USD,2024-11-18
SPXW241118P05200000,2024-11-15 21:01:34+00:00,5200.0,0.1,0.05,0.2,-0.050000004,-33.333336,2973.0,2256,0.48242705078125,False,REGULAR,USD,2024-11-18
SPXW241118P05225000,2024-11-15 20:48:57+00:00,5225.0,0.1,0.05,0.2,-0.050000004,-33.333336,57.0,352,0.4648491015625,False,REGULAR,USD,2024-11-18
SPXW241118P05250000,2024-11-15 21:12:10+00:00,5250.0,0.1,0.1,0.2,-0.050000004,-33.333336,793.0,463,0.4477594287109374,False,REGULAR,USD,2024-11-18
SPXW241118P05275000,2024-11-15 20:45:15+00:00,5275.0,0.12,0.05,0.2,-0.080000006,-40.000004,120.0,320,0.4301814794921875,False,REGULAR,USD,2024-11-18
SPXW241118P05300000,2024-11-15 21:14:27+00:00,5300.0,0.15,0.1,0.2,0.030000009,25.00001,1259.0,894,0.4130918066406249,False,REGULAR,USD,2024-11-18
SPXW241118P05325000,2024-11-15 21:14:04+00:00,5325.0,0.15,0.1,0.25,-0.049999997,-24.999998,52.0,1030,0.4047911083984374,False,REGULAR,USD,2024-11-18
SPXW241118P05350000,2024-11-15 21:13:30+00:00,5350.0,0.15,0.1,0.25,-0.049999997,-24.999998,104.0,196,0.3874572973632812,False,REGULAR,USD,2024-11-18
SPXW241118P05370000,2024-11-15 21:05:39+00:00,5370.0,0.15,0.1,0.25,-0.06999999,-31.818178,286.0,130,0.3732972827148437,False,REGULAR,USD,2024-11-18
SPXW241118P05375000,2024-11-15 21:07:30+00:00,5375.0,0.15,0.15,0.25,0.0,0.0,599.0,107,0.3698793481445312,False,REGULAR,USD,2024-11-18
SPXW241118P05380000,2024-11-15 21:13:05+00:00,5380.0,0.15,0.1,0.25,-0.099999994,-39.999996,236.0,297,0.366217275390625,False,REGULAR,USD,2024-11-18
SPXW241118P05390000,2024-11-15 21:14:17+00:00,5390.0,0.2,0.1,0.25,0.0,0.0,262.0,235,0.35938140625,False,REGULAR,USD,2024-11-18
SPXW241118P05400000,2024-11-15 21:13:30+00:00,5400.0,0.2,0.15,0.25,0.1,100.0,1171.0,1865,0.3523013989257812,False,REGULAR,USD,2024-11-18
SPXW241118P05410000,2024-11-15 21:14:28+00:00,5410.0,0.2,0.15,0.3,0.049999997,33.333332,502.0,53,0.3523013989257812,False,REGULAR,USD,2024-11-18
