contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
RUTW241119C02050000,2024-11-11 17:19:30+00:00,2050.0,392.64,265.0,285.0,0.0,0.0,1.0,0.0,0.93554751953125,True,REGULAR,USD,2024-11-19
RUTW241119C02245000,2024-11-11 20:12:56+00:00,2245.0,193.08,75.0,85.0,0.0,0.0,1.0,0.0,0.614261669921875,True,REGULAR,USD,2024-11-19
RUTW241119C02250000,2024-11-11 20:12:56+00:00,2250.0,188.07,70.0,80.0,0.0,0.0,1.0,0.0,0.5872233660888673,True,REGULAR,USD,2024-11-19
RUTW241119C02255000,2024-11-19 14:34:45+00:00,2255.0,35.35,65.0,75.0,0.0,0.0,,,0.5599409240722657,True,REGULAR,USD,2024-11-19
RUTW241119C02260000,2024-11-19 14:34:45+00:00,2260.0,30.8,60.0,70.0,0.0,0.0,,,0.5324143438720703,True,REGULAR,USD,2024-11-19
RUTW241119C02265000,2024-11-18 15:13:35+00:00,2265.0,44.44,55.0,65.0,44.44,0.0,,,0.5045215563964844,True,REGULAR,USD,2024-11-19
RUTW241119C02270000,2024-11-19 15:13:25+00:00,2270.0,26.45,50.0,60.0,7.3500004,38.481678,,,0.4763235961914062,True,REGULAR,USD,2024-11-19
RUTW241119C02275000,2024-11-19 15:00:07+00:00,2275.0,18.41,45.0,55.0,-0.39999962,-2.1265264,,,0.447698394165039,True,REGULAR,USD,2024-11-19
RUTW241119C02280000,2024-11-19 16:15:20+00:00,2280.0,26.29,40.0,50.0,14.4800005,122.607956,,,0.4185849157714844,True,REGULAR,USD,2024-11-19
RUTW241119C02285000,2024-11-19 17:02:53+00:00,2285.0,28.42,35.0,45.0,17.630001,163.39206,,,0.3889831610107421,True,REGULAR,USD,2024-11-19
RUTW241119C02290000,2024-11-19 18:55:06+00:00,2290.0,29.82,30.0,40.0,22.119999,287.2727,198.0,,0.3587100262451171,True,REGULAR,USD,2024-11-19
RUTW241119C02295000,2024-11-19 19:56:16+00:00,2295.0,23.67,25.0,35.0,18.57,364.1176,146.0,,0.3277349942016602,True,REGULAR,USD,2024-11-19
RUTW241119C02300000,2024-11-19 20:52:10+00:00,2300.0,22.5,20.0,30.0,6.8,43.312103,1032.0,10.0,0.2958139266967773,True,REGULAR,USD,2024-11-19
RUTW241119C02305000,2024-11-19 20:52:43+00:00,2305.0,18.73,15.0,25.0,7.379999,65.02202,1384.0,60.0,0.262702685546875,True,REGULAR,USD,2024-11-19
RUTW241119C02310000,2024-11-19 20:58:22+00:00,2310.0,15.25,12.6,20.0,6.08,66.30316,569.0,101.0,0.2280960980224609,True,REGULAR,USD,2024-11-19
RUTW241119C02315000,2024-11-19 20:58:22+00:00,2315.0,10.0,9.3,15.0,3.5,53.846153,1160.0,71.0,0.1913533013916015,True,REGULAR,USD,2024-11-19
RUTW241119C02320000,2024-11-19 20:58:13+00:00,2320.0,5.28,2.0,2.85,0.3300004,6.6666746,1212.0,66.0,1.0000000000000004e-05,True,REGULAR,USD,2024-11-19
RUTW241119C02325000,2024-11-19 20:59:32+00:00,2325.0,0.1,0.05,0.1,-2.88,-96.644295,940.0,43.0,0.0035500036621093,False,REGULAR,USD,2024-11-19
RUTW241119C02330000,2024-11-19 20:57:37+00:00,2330.0,0.03,0.0,0.05,-1.89,-98.4375,329.0,410.0,0.024423818359375,False,REGULAR,USD,2024-11-19
RUTW241119C02335000,2024-11-19 20:31:11+00:00,2335.0,0.03,0.0,0.2,-1.15,-97.457634,115.0,124.0,0.055673505859375,False,REGULAR,USD,2024-11-19
RUTW241119C02340000,2024-11-19 20:21:24+00:00,2340.0,0.05,0.0,0.05,-0.71999997,-93.50649,144.0,344.0,0.0598238549804687,False,REGULAR,USD,2024-11-19
RUTW241119C02345000,2024-11-19 16:04:59+00:00,2345.0,0.05,0.0,4.8,-0.26,-83.870964,26.0,179.0,0.253364400024414,False,REGULAR,USD,2024-11-19
RUTW241119C02350000,2024-11-19 16:37:29+00:00,2350.0,0.06,0.0,0.05,-0.14999999,-71.428566,31.0,223.0,0.0922942333984375,False,REGULAR,USD,2024-11-19
RUTW241119C02355000,2024-11-19 15:20:52+00:00,2355.0,0.05,0.0,4.8,-0.25,-83.33333,49.0,366.0,0.3153754986572264,False,REGULAR,USD,2024-11-19
RUTW241119C02360000,2024-11-19 15:32:04+00:00,2360.0,0.01,0.0,0.05,-0.09,-90.0,63.0,35.0,0.12305564453125,False,REGULAR,USD,2024-11-19
RUTW241119C02365000,2024-11-19 15:27:01+00:00,2365.0,0.03,0.0,4.8,-0.020000001,-40.000004,3.0,88.0,0.3732972827148437,False,REGULAR,USD,2024-11-19
