contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NVDA241122C00050000,2024-11-21 19:44:35+00:00,50.0,98.0,97.6,97.95,1.7600021,1.8287637,1022.0,124.0,8.804691997070313,True,REGULAR,USD,2024-11-22
NVDA241122C00055000,2024-11-21 18:30:34+00:00,55.0,90.32,92.6,92.95,0.91999817,1.0290807,535.0,294.0,8.089848693847657,True,REGULAR,USD,2024-11-22
NVDA241122C00060000,2024-11-18 16:47:56+00:00,60.0,81.02,87.45,88.0,0.0,0.0,5.0,12.0,7.367188291015625,True,REGULAR,USD,2024-11-22
NVDA241122C00065000,2024-11-19 14:51:03+00:00,65.0,77.1,82.5,83.05,0.0,0.0,12.0,13.0,6.8437514453125,True,REGULAR,USD,2024-11-22
NVDA241122C00066000,2024-11-21 18:44:56+00:00,66.0,80.5,81.45,82.1,0.8600006,1.0798601,29.0,53.0,6.7285172143554695,True,REGULAR,USD,2024-11-22
NVDA241122C00067000,2024-11-21 20:37:51+00:00,67.0,80.93,80.4,81.05,9.57,13.410874,2.0,3.0,6.552736184082032,True,REGULAR,USD,2024-11-22
NVDA241122C00068000,2024-11-19 18:49:58+00:00,68.0,77.47,79.45,80.1,0.0,0.0,100.0,79.0,6.507814365234376,True,REGULAR,USD,2024-11-22
NVDA241122C00069000,2024-11-01 18:59:12+00:00,69.0,67.03,78.4,79.1,0.0,0.0,8.0,8.0,6.367189541015625,True,REGULAR,USD,2024-11-22
NVDA241122C00070000,2024-11-21 16:14:04+00:00,70.0,73.89,77.4,78.2,-1.3899994,-1.8464391,27.0,129.0,6.320314599609375,True,REGULAR,USD,2024-11-22
NVDA241122C00073000,2024-10-24 15:04:59+00:00,73.0,74.26,74.45,75.1,7.220001,10.769691,1.0,5.0,5.978518151855469,True,REGULAR,USD,2024-11-22
NVDA241122C00074000,2024-11-07 16:39:19+00:00,74.0,74.09,73.45,74.1,0.0,0.0,20.0,25.0,5.878908901367188,True,REGULAR,USD,2024-11-22
NVDA241122C00075000,2024-11-21 18:52:06+00:00,75.0,71.85,72.25,72.85,2.6500015,3.829482,42.0,124.0,5.507815615234375,True,REGULAR,USD,2024-11-22
NVDA241122C00076000,2024-11-18 17:43:21+00:00,76.0,63.64,71.45,72.05,0.0,0.0,7.0,1.0,5.652346684570313,True,REGULAR,USD,2024-11-22
NVDA241122C00078000,2024-11-13 15:03:55+00:00,78.0,69.65,69.45,70.1,0.0,0.0,1.0,297.0,5.4863312670898425,True,REGULAR,USD,2024-11-22
NVDA241122C00079000,2024-11-21 18:30:04+00:00,79.0,68.25,68.25,69.0,-0.34999847,-0.5102019,251.0,250.0,5.224612844238281,True,REGULAR,USD,2024-11-22
NVDA241122C00080000,2024-11-21 18:37:16+00:00,80.0,67.2,67.35,67.75,1.7099991,2.6110845,26.0,350.0,5.046878691406249,True,REGULAR,USD,2024-11-22
NVDA241122C00081000,2024-11-20 19:35:25+00:00,81.0,62.9,66.25,66.75,0.0,0.0,7.0,453.0,4.898441376953125,True,REGULAR,USD,2024-11-22
NVDA241122C00082000,2024-11-21 17:57:05+00:00,82.0,61.99,65.3,66.0,1.5900002,2.6324506,2.0,159.0,4.980472524414061,True,REGULAR,USD,2024-11-22
NVDA241122C00083000,2024-11-21 15:14:08+00:00,83.0,61.91,64.45,65.1,3.4799995,5.9558434,2.0,46.0,5.023441220703125,True,REGULAR,USD,2024-11-22
NVDA241122C00084000,2024-11-21 18:40:52+00:00,84.0,62.08,63.45,64.1,1.3800011,2.2734778,2.0,1.0,4.933597583007812,True,REGULAR,USD,2024-11-22
NVDA241122C00085000,2024-11-21 18:32:28+00:00,85.0,60.87,62.5,63.1,0.069999695,0.11513108,9.0,26.0,4.869144538574218,True,REGULAR,USD,2024-11-22
NVDA241122C00086000,2024-11-21 17:29:05+00:00,86.0,58.4,61.4,62.05,4.8500023,9.056961,2.0,4.0,4.70898848876953,True,REGULAR,USD,2024-11-22
NVDA241122C00087000,2024-11-18 14:45:34+00:00,87.0,51.35,60.5,61.25,0.0,0.0,1.0,14.0,4.763675920410155,True,REGULAR,USD,2024-11-22
NVDA241122C00088000,2024-11-06 14:45:47+00:00,88.0,55.15,59.6,60.1,0.0,0.0,1.0,3.0,4.654301057128906,True,REGULAR,USD,2024-11-22
NVDA241122C00089000,2024-11-21 14:33:40+00:00,89.0,61.65,58.4,59.05,11.950001,24.044268,15.0,29.0,4.45312943359375,True,REGULAR,USD,2024-11-22
NVDA241122C00090000,2024-11-21 18:23:43+00:00,90.0,55.03,57.45,58.0,0.049999237,0.09094077,59.0,357.0,4.369145163574218,True,REGULAR,USD,2024-11-22
NVDA241122C00091000,2024-11-19 14:52:17+00:00,91.0,51.22,56.5,57.1,0.0,0.0,1.0,16.0,4.355473305664061,True,REGULAR,USD,2024-11-22
NVDA241122C00092000,2024-11-21 14:34:23+00:00,92.0,57.4,55.25,55.8,4.4000015,8.301889,1.0,57.0,4.0136768579101565,True,REGULAR,USD,2024-11-22
NVDA241122C00093000,2024-11-21 18:25:00+00:00,93.0,52.1,54.55,55.1,1.8999977,3.7848558,13.0,48.0,4.211918797607421,True,REGULAR,USD,2024-11-22
NVDA241122C00094000,2024-11-19 15:16:53+00:00,94.0,54.03,53.4,53.95,5.279999,10.830767,25.0,69.0,3.999511719970703,True,REGULAR,USD,2024-11-22
NVDA241122C00095000,2024-11-21 18:10:38+00:00,95.0,53.03,52.55,53.1,3.5499992,7.174615,28.0,86.0,4.049809625244141,True,REGULAR,USD,2024-11-22
NVDA241122C00096000,2024-11-21 16:18:11+00:00,96.0,47.13,51.55,52.1,-1.3499985,-2.7846503,76.0,98.0,3.9697266381835936,True,REGULAR,USD,2024-11-22
NVDA241122C00097000,2024-11-21 19:53:42+00:00,97.0,50.49,50.65,51.05,8.240002,19.502962,69.0,199.0,3.910156474609376,True,REGULAR,USD,2024-11-22
