contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
XOM241122P00085000,2024-11-08 20:39:05+00:00,85.0,0.02,0.0,0.04,0.0,0.0,17.0,19.0,1.875000625,False,REGULAR,USD,2024-11-22
XOM241122P00090000,2024-11-11 20:48:38+00:00,90.0,0.02,0.0,0.04,0.0,0.0,4.0,29.0,1.5937520312499998,False,REGULAR,USD,2024-11-22
XOM241122P00095000,2024-11-14 16:11:42+00:00,95.0,0.02,0.0,0.04,0.0,0.0,5.0,79.0,1.3437532812499997,False,REGULAR,USD,2024-11-22
XOM241122P00100000,2024-11-18 19:33:31+00:00,100.0,0.01,0.0,0.01,0.0,0.0,5.0,48.0,0.937500625,False,REGULAR,USD,2024-11-22
XOM241122P00103000,2024-11-18 20:01:13+00:00,103.0,0.01,0.0,0.04,0.0,0.0,5.0,3.0,0.937500625,False,REGULAR,USD,2024-11-22
XOM241122P00104000,2024-11-13 14:57:14+00:00,104.0,0.02,,0.04,0.0,0.0,,1.0,0.976562734375,False,REGULAR,USD,2024-11-22
XOM241122P00105000,2024-11-18 20:02:18+00:00,105.0,0.01,0.0,0.04,0.0,0.0,9.0,147.0,0.8437515624999999,False,REGULAR,USD,2024-11-22
XOM241122P00106000,2024-11-14 17:22:17+00:00,106.0,0.04,0.0,0.04,0.0,0.0,1.0,2.0,0.79687703125,False,REGULAR,USD,2024-11-22
XOM241122P00107000,2024-11-18 20:03:49+00:00,107.0,0.01,0.0,0.04,0.0,0.0,4.0,34.0,0.7500025,False,REGULAR,USD,2024-11-22
XOM241122P00108000,2024-11-20 20:25:08+00:00,108.0,0.01,0.0,0.01,0.0,0.0,53.0,136.0,0.5937540625000001,False,REGULAR,USD,2024-11-22
XOM241122P00109000,2024-11-19 17:05:29+00:00,109.0,0.01,0.0,0.02,0.0,0.0,4.0,107.0,0.6015664843750002,False,REGULAR,USD,2024-11-22
XOM241122P00110000,2024-11-21 15:50:25+00:00,110.0,0.01,0.0,0.01,-0.01,-50.0,3.0,432.0,0.51562984375,False,REGULAR,USD,2024-11-22
XOM241122P00111000,2024-11-21 16:45:25+00:00,111.0,0.01,0.0,0.02,0.0,0.0,31.0,144.0,0.51562984375,False,REGULAR,USD,2024-11-22
XOM241122P00112000,2024-11-20 15:02:32+00:00,112.0,0.01,0.0,0.02,-0.01,-50.0,25.0,339.0,0.51562984375,False,REGULAR,USD,2024-11-22
XOM241122P00113000,2024-11-21 20:16:41+00:00,113.0,0.01,0.01,0.02,0.0,0.0,2.0,681.0,0.4687553125,False,REGULAR,USD,2024-11-22
XOM241122P00114000,2024-11-20 20:50:09+00:00,114.0,0.02,0.0,0.02,0.0,0.0,59.0,338.0,0.42188078125,False,REGULAR,USD,2024-11-22
XOM241122P00115000,2024-11-21 19:47:51+00:00,115.0,0.01,0.0,0.01,-0.02,-66.66667,64.0,1185.0,0.335944140625,False,REGULAR,USD,2024-11-22
XOM241122P00116000,2024-11-21 16:24:53+00:00,116.0,0.01,0.0,0.03,-0.049999997,-83.333336,29.0,5265.0,0.3437565625,False,REGULAR,USD,2024-11-22
XOM241122P00117000,2024-11-21 20:28:59+00:00,117.0,0.01,0.0,0.01,-0.060000002,-85.71429,121.0,1702.0,0.2500075,False,REGULAR,USD,2024-11-22
XOM241122P00118000,2024-11-21 20:04:25+00:00,118.0,0.01,0.01,0.02,-0.14,-93.33333,4113.0,2342.0,0.2265702343749999,False,REGULAR,USD,2024-11-22
XOM241122P00119000,2024-11-21 20:36:36+00:00,119.0,0.03,0.02,0.03,-0.26,-92.85714,470.0,2157.0,0.1914143359375,False,REGULAR,USD,2024-11-22
