contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
SPXW241111P02400000,2024-10-18 19:34:46+00:00,2400.0,0.03,0.0,0.05,-0.020000001,-40.000004,1.0,65,4.7500040624999995,False,REGULAR,USD,2024-11-11
SPXW241111P02600000,2024-10-24 16:04:56+00:00,2600.0,0.05,0.0,0.05,0.0,0.0,1.0,8,4.343754570312499,False,REGULAR,USD,2024-11-11
SPXW241111P02800000,2024-11-05 14:40:31+00:00,2800.0,0.05,0.0,0.05,0.0,0.0,2.0,139,3.968750078125,False,REGULAR,USD,2024-11-11
SPXW241111P03000000,2024-11-05 20:52:21+00:00,3000.0,0.1,0.0,0.05,0.0,0.0,1.0,18,3.6250009375000003,False,REGULAR,USD,2024-11-11
SPXW241111P03200000,2024-11-05 09:06:12+00:00,3200.0,0.1,0.0,0.05,0.0,0.0,1.0,22,3.2968767578125,False,REGULAR,USD,2024-11-11
SPXW241111P03400000,2024-11-04 21:02:20+00:00,3400.0,0.1,0.0,0.05,0.0,0.0,81.0,105,3.0000025,False,REGULAR,USD,2024-11-11
SPXW241111P03600000,2024-11-05 21:01:25+00:00,3600.0,0.15,0.0,0.05,0.0,0.0,173.0,746,2.7031282421875,False,REGULAR,USD,2024-11-11
SPXW241111P03800000,2024-11-06 19:23:19+00:00,3800.0,0.05,0.0,0.05,0.0,0.0,31.0,835,2.43750390625,False,REGULAR,USD,2024-11-11
SPXW241111P04000000,2024-11-06 20:46:17+00:00,4000.0,0.05,0.0,0.05,0.0,0.0,76.0,1709,2.1718795703125,False,REGULAR,USD,2024-11-11
SPXW241111P04200000,2024-11-07 14:10:26+00:00,4200.0,0.05,0.0,0.05,0.0,0.0,3.0,1624,1.9218753906250001,False,REGULAR,USD,2024-11-11
SPXW241111P04300000,2024-11-07 14:30:05+00:00,4300.0,0.05,0.0,0.05,0.0,0.0,2.0,1655,1.8046884765624998,False,REGULAR,USD,2024-11-11
SPXW241111P04400000,2024-11-07 21:14:22+00:00,4400.0,0.05,0.0,0.05,0.0,0.0,470.0,10127,1.6875015625,False,REGULAR,USD,2024-11-11
SPXW241111P04500000,2024-11-07 19:54:05+00:00,4500.0,0.05,0.0,0.05,0.0,0.0,124.0,5565,1.5703146484375,False,REGULAR,USD,2024-11-11
SPXW241111P04600000,2024-11-07 21:01:31+00:00,4600.0,0.05,0.0,0.05,0.0,0.0,25.0,5666,1.4609401953124999,False,REGULAR,USD,2024-11-11
SPXW241111P04700000,2024-11-07 11:51:39+00:00,4700.0,0.1,0.0,0.05,0.0,0.0,1.0,5236,1.3437532812499997,False,REGULAR,USD,2024-11-11
SPXW241111P04750000,2024-11-07 21:06:35+00:00,4750.0,0.1,0.0,0.05,0.0,0.0,,8090,1.2890660546875,False,REGULAR,USD,2024-11-11
SPXW241111P04800000,2024-11-08 16:22:05+00:00,4800.0,0.05,0.0,0.05,0.0,0.0,12.0,2785,1.2382850585937497,False,REGULAR,USD,2024-11-11
SPXW241111P04850000,2024-11-08 14:53:22+00:00,4850.0,0.05,0.0,0.05,0.0,0.0,326.0,5110,1.18359783203125,False,REGULAR,USD,2024-11-11
