contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NVDA241122P00050000,2024-11-20 20:52:09+00:00,50.0,0.01,0.0,0.01,0.0,0.0,4.0,12409.0,4.500004375,False,REGULAR,USD,2024-11-22
NVDA241122P00055000,2024-11-20 20:01:59+00:00,55.0,0.01,0.0,0.01,0.0,0.0,1709.0,6080.0,4.12500484375,False,REGULAR,USD,2024-11-22
NVDA241122P00060000,2024-11-21 14:30:14+00:00,60.0,0.01,0.0,0.01,0.0,0.0,110.0,6509.0,3.750000625,False,REGULAR,USD,2024-11-22
NVDA241122P00065000,2024-11-21 19:40:46+00:00,65.0,0.01,0.0,0.01,0.0,0.0,72.0,24219.0,3.50000125,False,REGULAR,USD,2024-11-22
NVDA241122P00066000,2024-11-21 14:37:19+00:00,66.0,0.01,0.0,0.01,0.0,0.0,1.0,7913.0,3.3750015624999996,False,REGULAR,USD,2024-11-22
NVDA241122P00067000,2024-11-21 14:30:01+00:00,67.0,0.01,0.0,0.01,0.0,0.0,17.0,2144.0,3.3750015624999996,False,REGULAR,USD,2024-11-22
NVDA241122P00068000,2024-11-20 20:59:20+00:00,68.0,0.01,0.0,0.01,0.0,0.0,1563.0,4792.0,3.2500018749999997,False,REGULAR,USD,2024-11-22
NVDA241122P00069000,2024-11-20 20:55:37+00:00,69.0,0.01,0.0,0.01,0.0,0.0,862.0,8692.0,3.2500018749999997,False,REGULAR,USD,2024-11-22
NVDA241122P00070000,2024-11-21 16:13:18+00:00,70.0,0.01,0.0,0.01,0.0,0.0,18.0,9423.0,3.1250021875,False,REGULAR,USD,2024-11-22
NVDA241122P00071000,2024-11-21 14:43:07+00:00,71.0,0.01,0.0,0.01,-0.01,-50.0,6.0,6182.0,3.1250021875,False,REGULAR,USD,2024-11-22
NVDA241122P00072000,2024-11-21 15:31:10+00:00,72.0,0.01,0.0,0.01,-0.01,-50.0,4.0,7987.0,3.0000025,False,REGULAR,USD,2024-11-22
NVDA241122P00073000,2024-11-21 14:30:02+00:00,73.0,0.01,0.0,0.01,-0.01,-50.0,609.0,5736.0,3.0000025,False,REGULAR,USD,2024-11-22
NVDA241122P00074000,2024-11-21 16:38:49+00:00,74.0,0.01,0.0,0.01,-0.01,-50.0,18.0,3955.0,2.93750265625,False,REGULAR,USD,2024-11-22
NVDA241122P00075000,2024-11-21 20:41:04+00:00,75.0,0.01,0.0,0.01,0.0,0.0,37.0,33276.0,2.8750028125,False,REGULAR,USD,2024-11-22
NVDA241122P00076000,2024-11-21 18:09:04+00:00,76.0,0.01,0.0,0.01,-0.01,-50.0,43.0,25037.0,2.81250296875,False,REGULAR,USD,2024-11-22
NVDA241122P00077000,2024-11-20 20:55:32+00:00,77.0,0.01,0.0,0.01,-0.01,-50.0,63.0,6523.0,2.750003125,False,REGULAR,USD,2024-11-22
NVDA241122P00078000,2024-11-21 16:38:28+00:00,78.0,0.01,0.0,0.01,-0.01,-50.0,122.0,33675.0,2.750003125,False,REGULAR,USD,2024-11-22
NVDA241122P00079000,2024-11-21 15:44:23+00:00,79.0,0.01,0.0,0.01,-0.01,-50.0,602.0,21206.0,2.6250034375,False,REGULAR,USD,2024-11-22
NVDA241122P00080000,2024-11-21 20:21:16+00:00,80.0,0.01,0.0,0.01,-0.02,-66.66667,415.0,35544.0,2.6250034375,False,REGULAR,USD,2024-11-22
NVDA241122P00081000,2024-11-21 19:19:53+00:00,81.0,0.01,0.0,0.01,-0.02,-66.66667,579.0,9426.0,2.56250359375,False,REGULAR,USD,2024-11-22
NVDA241122P00082000,2024-11-21 16:56:38+00:00,82.0,0.01,0.0,0.01,-0.02,-66.66667,46.0,17568.0,2.50000375,False,REGULAR,USD,2024-11-22
NVDA241122P00083000,2024-11-21 15:31:40+00:00,83.0,0.01,0.0,0.01,-0.03,-75.0,91.0,20581.0,2.50000375,False,REGULAR,USD,2024-11-22
NVDA241122P00084000,2024-11-21 17:18:59+00:00,84.0,0.01,0.0,0.01,-0.03,-75.0,803.0,5902.0,2.3750040624999995,False,REGULAR,USD,2024-11-22
NVDA241122P00085000,2024-11-21 18:48:54+00:00,85.0,0.01,0.0,0.01,-0.02,-66.66667,2183.0,23947.0,2.3750040624999995,False,REGULAR,USD,2024-11-22
NVDA241122P00086000,2024-11-21 19:14:41+00:00,86.0,0.01,0.0,0.01,-0.03,-75.0,146.0,2720.0,2.3125042187499996,False,REGULAR,USD,2024-11-22
NVDA241122P00087000,2024-11-21 18:21:29+00:00,87.0,0.01,0.0,0.01,-0.03,-75.0,74.0,3592.0,2.2500043749999996,False,REGULAR,USD,2024-11-22
NVDA241122P00088000,2024-11-21 18:41:45+00:00,88.0,0.01,0.0,0.01,-0.02,-66.66667,481.0,3623.0,2.2500043749999996,False,REGULAR,USD,2024-11-22
NVDA241122P00089000,2024-11-21 18:58:20+00:00,89.0,0.01,0.0,0.01,-0.03,-75.0,386.0,6399.0,2.1875045312499997,False,REGULAR,USD,2024-11-22
NVDA241122P00090000,2024-11-21 20:00:39+00:00,90.0,0.01,0.0,0.01,-0.03,-75.0,456.0,8588.0,2.1250046874999997,False,REGULAR,USD,2024-11-22
NVDA241122P00091000,2024-11-21 17:42:57+00:00,91.0,0.01,0.0,0.01,-0.04,-80.00001,62.0,3095.0,2.0625048437499998,False,REGULAR,USD,2024-11-22
NVDA241122P00092000,2024-11-21 15:30:27+00:00,92.0,0.01,0.0,0.01,-0.04,-80.00001,181.0,3940.0,2.0625048437499998,False,REGULAR,USD,2024-11-22
NVDA241122P00093000,2024-11-21 20:01:35+00:00,93.0,0.01,0.0,0.01,-0.04,-80.00001,653.0,2517.0,1.96875015625,False,REGULAR,USD,2024-11-22
NVDA241122P00094000,2024-11-21 20:14:11+00:00,94.0,0.01,0.0,0.01,-0.049999997,-83.333336,568.0,5171.0,1.9375003125,False,REGULAR,USD,2024-11-22
NVDA241122P00095000,2024-11-21 20:34:22+00:00,95.0,0.01,0.0,0.01,-0.04,-80.00001,1358.0,8784.0,1.9375003125,False,REGULAR,USD,2024-11-22
NVDA241122P00096000,2024-11-21 18:05:23+00:00,96.0,0.01,0.0,0.01,-0.04,-80.00001,327.0,13573.0,1.875000625,False,REGULAR,USD,2024-11-22
NVDA241122P00097000,2024-11-21 18:57:27+00:00,97.0,0.01,0.0,0.01,-0.060000002,-85.71429,362.0,5433.0,1.8125009374999999,False,REGULAR,USD,2024-11-22
NVDA241122P00098000,2024-11-21 20:35:40+00:00,98.0,0.01,0.0,0.01,-0.060000002,-85.71429,125.0,7638.0,1.78125109375,False,REGULAR,USD,2024-11-22
NVDA241122P00099000,2024-11-21 19:50:52+00:00,99.0,0.01,0.0,0.01,-0.060000002,-85.71429,629.0,5187.0,1.75000125,False,REGULAR,USD,2024-11-22
