contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
RUTW241125C02125000,2024-11-18 14:40:23+00:00,2125.0,189.69,281.9,286.5,0.0,0.0,1.0,1.0,0.7803977038574219,True,REGULAR,USD,2024-11-25
RUTW241125C02280000,2024-11-20 15:20:18+00:00,2280.0,36.73,127.0,131.6,0.0,0.0,,5.0,0.47199014343261714,True,REGULAR,USD,2024-11-25
RUTW241125C02300000,2024-11-22 14:33:04+00:00,2300.0,80.36,107.1,111.7,54.34,208.83934,9.0,12.0,0.4177304321289062,True,REGULAR,USD,2024-11-25
RUTW241125C02305000,2024-11-22 14:33:04+00:00,2305.0,75.49,102.1,106.7,44.129997,140.72066,6.0,10.0,0.40332627929687503,True,REGULAR,USD,2024-11-25
RUTW241125C02310000,2024-11-22 20:31:51+00:00,2310.0,93.75,97.1,101.7,59.92,177.1209,23.0,38.0,0.38886109191894536,True,REGULAR,USD,2024-11-25
RUTW241125C02315000,2024-11-22 20:31:51+00:00,2315.0,88.75,92.2,96.7,69.55,362.23956,35.0,5.0,0.3742738354492187,True,REGULAR,USD,2024-11-25
RUTW241125C02320000,2024-11-22 19:28:49+00:00,2320.0,89.11,87.2,91.8,69.29,349.59637,4.0,16.0,0.36176175354003903,True,REGULAR,USD,2024-11-25
RUTW241125C02325000,2024-11-22 19:58:34+00:00,2325.0,82.46,82.2,86.8,65.06,373.90805,12.0,7.0,0.3469303588867187,True,REGULAR,USD,2024-11-25
RUTW241125C02330000,2024-11-22 18:29:55+00:00,2330.0,73.9,77.3,81.8,39.780003,116.588524,23.0,45.0,0.33194637786865233,True,REGULAR,USD,2024-11-25
RUTW241125C02335000,2024-11-22 14:54:26+00:00,2335.0,62.54,72.3,76.8,43.620003,230.5497,51.0,50.0,0.316840327758789,True,REGULAR,USD,2024-11-25
RUTW241125C02340000,2024-11-22 19:29:42+00:00,2340.0,63.23,67.4,71.9,27.310001,76.030075,9.0,2.0,0.3035347967529296,True,REGULAR,USD,2024-11-25
RUTW241125C02345000,2024-11-22 20:57:15+00:00,2345.0,65.05,62.4,66.9,30.600002,88.82439,68.0,55.0,0.2880625393676757,True,REGULAR,USD,2024-11-25
RUTW241125C02350000,2024-11-22 20:21:02+00:00,2350.0,60.15,57.5,62.0,32.38,116.60065,28.0,32.0,0.27423821472167964,True,REGULAR,USD,2024-11-25
RUTW241125C02355000,2024-11-22 19:39:59+00:00,2355.0,56.08,52.6,57.1,30.200003,116.69244,33.0,39.0,0.2600782000732422,True,REGULAR,USD,2024-11-25
RUTW241125C02360000,2024-11-22 16:26:51+00:00,2360.0,43.82,47.8,52.2,23.52,115.86207,30.0,12.0,0.24552146087646481,True,REGULAR,USD,2024-11-25
RUTW241125C02365000,2024-11-22 19:29:42+00:00,2365.0,45.05,43.0,47.4,26.699999,145.50407,69.0,66.0,0.23221592987060546,True,REGULAR,USD,2024-11-25
RUTW241125C02370000,2024-11-22 20:42:05+00:00,2370.0,35.81,38.4,42.7,18.080002,101.97407,29.0,34.0,0.21985643432617186,True,REGULAR,USD,2024-11-25
RUTW241125C02375000,2024-11-22 17:13:02+00:00,2375.0,31.8,33.8,38.0,18.619999,141.27464,36.0,39.0,0.20673400695800775,True,REGULAR,USD,2024-11-25
