contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
SPXW241127C04000000,2024-11-22 19:47:17+00:00,4000.0,1966.99,1997.4,2000.2,0.0,0.0,1.0,2,2.3007854980468747,True,REGULAR,USD,2024-11-27
SPXW241127C04300000,2024-11-25 21:00:28+00:00,4300.0,1685.53,1697.4,1700.2,0.0,0.0,1.0,0,1.9140629296875002,True,REGULAR,USD,2024-11-27
SPXW241127C04500000,2024-11-27 15:26:37+00:00,4500.0,1507.27,1497.4,1500.2,124.78003,9.025745,2.0,2,1.6679704101562502,True,REGULAR,USD,2024-11-27
SPXW241127C04900000,2024-11-04 18:06:51+00:00,4900.0,836.91,1097.4,1100.2,0.0,0.0,1.0,0,1.19922275390625,True,REGULAR,USD,2024-11-27
SPXW241127C05000000,2024-11-27 20:24:08+00:00,5000.0,996.6,997.4,1000.2,-19.77002,-1.9451597,15.0,12,1.087895185546875,True,REGULAR,USD,2024-11-27
SPXW241127C05050000,2024-11-27 15:04:37+00:00,5050.0,962.94,947.4,950.2,18.609985,1.9707078,8.0,8,1.0332079589843752,True,REGULAR,USD,2024-11-27
SPXW241127C05125000,2024-11-27 20:09:15+00:00,5125.0,876.27,872.2,875.0,17.710022,2.062759,2.0,2,1.2912633093261716,True,REGULAR,USD,2024-11-27
SPXW241127C05200000,2024-11-27 20:12:30+00:00,5200.0,799.39,797.4,800.2,-17.079956,-2.091927,2.0,4,0.86914193359375,True,REGULAR,USD,2024-11-27
SPXW241127C05250000,2024-11-27 20:17:25+00:00,5250.0,749.27,747.4,750.2,-17.109985,-2.232572,1.0,2,0.81445498046875,True,REGULAR,USD,2024-11-27
SPXW241127C05350000,2024-11-27 16:35:21+00:00,5350.0,647.26,647.4,650.2,-11.869995,-1.8008579,1.0,1,0.7070341796875,True,REGULAR,USD,2024-11-27
SPXW241127C05375000,2024-11-22 20:43:26+00:00,5375.0,586.31,623.0,625.0,0.0,0.0,2.0,0,0.7812521875,True,REGULAR,USD,2024-11-27
SPXW241127C05400000,2024-11-13 19:58:21+00:00,5400.0,597.74,597.4,600.2,0.0,0.0,,1,0.6543003320312502,True,REGULAR,USD,2024-11-27
SPXW241127C05500000,2024-11-27 20:01:59+00:00,5500.0,499.84,497.4,500.2,-13.879974,-2.7018561,4.0,4,0.5488326367187502,True,REGULAR,USD,2024-11-27
SPXW241127C05520000,2024-11-20 16:50:45+00:00,5520.0,380.65,477.4,480.2,0.0,0.0,5.0,3,0.5273484765625001,True,REGULAR,USD,2024-11-27
SPXW241127C05530000,2024-11-20 16:50:45+00:00,5530.0,370.75,467.4,470.2,0.0,0.0,5.0,3,0.51758294921875,True,REGULAR,USD,2024-11-27
SPXW241127C05570000,2024-11-18 20:10:28+00:00,5570.0,333.69,427.4,430.2,0.0,0.0,1.0,0,0.6846955358886719,True,REGULAR,USD,2024-11-27
SPXW241127C05575000,2024-11-26 15:10:05+00:00,5575.0,422.48,422.2,425.0,0.0,0.0,1.0,2,0.6629672375488282,True,REGULAR,USD,2024-11-27
SPXW241127C05590000,2024-11-01 14:47:36+00:00,5590.0,229.81,407.4,410.2,0.0,0.0,2.0,0,0.6562534375000001,True,REGULAR,USD,2024-11-27
SPXW241127C05600000,2024-11-25 20:34:27+00:00,5600.0,386.62,397.4,400.2,0.0,0.0,5.0,2,0.6420934228515626,True,REGULAR,USD,2024-11-27
SPXW241127C05625000,2024-11-26 14:50:48+00:00,5625.0,382.61,372.2,375.0,0.0,0.0,1.0,1,0.5930216479492189,True,REGULAR,USD,2024-11-27
SPXW241127C05630000,2024-11-27 20:18:08+00:00,5630.0,368.96,367.4,370.2,12.419983,3.4834752,5.0,5,0.5993692407226563,True,REGULAR,USD,2024-11-27
SPXW241127C05635000,2024-11-18 20:10:28+00:00,5635.0,269.98,362.2,365.0,0.0,0.0,2.0,1,0.5789837023925781,True,REGULAR,USD,2024-11-27
SPXW241127C05650000,2024-11-27 20:18:08+00:00,5650.0,348.85,347.4,350.2,-9.459991,-2.6401696,5.0,6,0.5708050732421875,True,REGULAR,USD,2024-11-27
SPXW241127C05660000,2024-11-01 13:53:05+00:00,5660.0,177.56,337.4,340.2,0.0,0.0,2.0,6,0.5565229895019532,True,REGULAR,USD,2024-11-27
SPXW241127C05665000,2024-11-06 16:09:08+00:00,5665.0,259.94,332.2,335.0,0.0,0.0,,5,0.5368698657226563,True,REGULAR,USD,2024-11-27
SPXW241127C05670000,2024-11-27 14:54:01+00:00,5670.0,345.1,327.4,330.2,5.5,1.6195524,13.0,16,0.5421188366699221,True,REGULAR,USD,2024-11-27
SPXW241127C05675000,2024-11-18 20:01:26+00:00,5675.0,231.35,322.2,325.0,0.0,0.0,1.0,36,0.5227098510742187,True,REGULAR,USD,2024-11-27
SPXW241127C05680000,2024-11-27 18:33:39+00:00,5680.0,318.84,317.4,320.2,-10.76001,-3.264566,3.0,90,0.5278367529296876,True,REGULAR,USD,2024-11-27
SPXW241127C05685000,2024-11-06 16:36:03+00:00,5685.0,250.71,312.2,315.0,0.0,0.0,,2,0.5086719055175781,True,REGULAR,USD,2024-11-27
SPXW241127C05690000,2024-11-27 18:34:11+00:00,5690.0,309.18,307.4,310.2,-15.050018,-4.6417723,3.0,7,0.5134326000976561,True,REGULAR,USD,2024-11-27
SPXW241127C05695000,2024-11-06 16:36:30+00:00,5695.0,241.83,302.2,305.0,0.0,0.0,,6,0.49451189086914066,True,REGULAR,USD,2024-11-27
SPXW241127C05700000,2024-11-27 19:57:26+00:00,5700.0,300.5,297.4,300.2,-16.480011,-5.1990695,7.0,101,0.499028447265625,True,REGULAR,USD,2024-11-27
SPXW241127C05705000,2024-11-27 18:35:12+00:00,5705.0,294.91,292.2,295.0,-14.130005,-4.572225,3.0,4,0.4802298071289062,True,REGULAR,USD,2024-11-27
SPXW241127C05710000,2024-11-04 20:06:52+00:00,5710.0,119.31,287.4,290.2,0.0,0.0,9.0,5,0.4845022253417969,True,REGULAR,USD,2024-11-27
SPXW241127C05715000,2024-11-12 12:10:05+00:00,5715.0,299.49,282.2,285.0,0.0,0.0,1.0,3,0.4660697924804688,True,REGULAR,USD,2024-11-27
SPXW241127C05720000,2024-11-21 21:01:13+00:00,5720.0,237.13,277.4,280.2,0.0,0.0,7.0,93,0.47009807250976565,True,REGULAR,USD,2024-11-27
SPXW241127C05725000,2024-11-26 15:42:57+00:00,5725.0,286.31,272.2,275.0,5.5,1.9586197,2.0,34,0.45178770874023444,True,REGULAR,USD,2024-11-27
SPXW241127C05730000,2024-11-15 14:31:05+00:00,5730.0,199.22,267.4,270.2,0.0,0.0,4.0,44,0.4555718505859375,True,REGULAR,USD,2024-11-27
SPXW241127C05735000,2024-11-27 18:29:28+00:00,5735.0,260.76,262.2,265.0,-17.029999,-6.1305294,1.0,11,0.437505625,True,REGULAR,USD,2024-11-27
SPXW241127C05740000,2024-11-27 14:32:41+00:00,5740.0,273.57,257.4,260.2,12.350006,4.727818,1.0,35,0.44098459411621094,True,REGULAR,USD,2024-11-27
SPXW241127C05745000,2024-11-22 16:15:40+00:00,5745.0,218.81,252.2,255.0,0.0,0.0,2.0,2,0.4232235412597656,True,REGULAR,USD,2024-11-27
SPXW241127C05750000,2024-11-27 19:17:56+00:00,5750.0,251.57,247.4,250.2,38.060013,17.825869,10.0,35,0.42639733764648446,True,REGULAR,USD,2024-11-27
SPXW241127C05755000,2024-10-31 17:27:30+00:00,5755.0,109.7,242.2,245.0,0.0,0.0,,6,0.4089414575195312,True,REGULAR,USD,2024-11-27
SPXW241127C05760000,2024-11-26 20:03:16+00:00,5760.0,255.3,237.4,240.2,0.0,0.0,4.0,18,0.41174904663085937,True,REGULAR,USD,2024-11-27
SPXW241127C05765000,2024-11-27 18:37:34+00:00,5765.0,235.98,232.2,235.0,-4.930008,-2.0464106,9.0,25,0.39453730468750003,True,REGULAR,USD,2024-11-27
SPXW241127C05770000,2024-11-27 16:41:43+00:00,5770.0,231.82,227.4,230.2,1.5,0.65126777,1.0,5,0.3971007556152344,True,REGULAR,USD,2024-11-27
SPXW241127C05775000,2024-11-27 20:28:46+00:00,5775.0,223.17,223.0,225.0,82.36,58.490166,10.0,11,0.3800110827636719,True,REGULAR,USD,2024-11-27
SPXW241127C05780000,2024-11-15 14:31:05+00:00,5780.0,153.95,217.4,220.2,0.0,0.0,4.0,9,0.38233039550781245,True,REGULAR,USD,2024-11-27
SPXW241127C05785000,2024-11-26 17:27:20+00:00,5785.0,231.8,212.2,215.0,10.839996,4.9058633,10.0,13,0.3655458953857422,True,REGULAR,USD,2024-11-27
SPXW241127C05790000,2024-11-27 16:10:16+00:00,5790.0,208.77,207.4,210.2,-12.539993,-5.666257,1.0,28,0.36749900085449216,True,REGULAR,USD,2024-11-27
SPXW241127C05795000,2024-11-27 18:37:20+00:00,5795.0,204.63,202.2,205.0,-2.9400024,-1.4163908,8.0,10,0.35095863891601553,True,REGULAR,USD,2024-11-27
SPXW241127C05800000,2024-11-27 20:42:52+00:00,5800.0,193.05,197.4,200.2,-24.229996,-11.151507,40.0,67,0.3526676062011719,True,REGULAR,USD,2024-11-27
SPXW241127C05805000,2024-11-27 18:36:43+00:00,5805.0,195.08,192.2,195.0,-9.380005,-4.5876966,5.0,16,0.33637138244628906,True,REGULAR,USD,2024-11-27
SPXW241127C05810000,2024-11-27 16:32:22+00:00,5810.0,188.11,187.4,190.2,-10.559998,-5.315346,2.0,11,0.3377141424560547,True,REGULAR,USD,2024-11-27
SPXW241127C05815000,2024-11-27 17:15:13+00:00,5815.0,176.6,182.2,185.0,-24.199997,-12.051791,2.0,57,0.32166205688476557,True,REGULAR,USD,2024-11-27
SPXW241127C05820000,2024-11-27 18:38:22+00:00,5820.0,181.67,177.4,180.2,-14.430008,-7.3584943,17.0,23,0.32269964416503893,True,REGULAR,USD,2024-11-27
