contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NDXP241129C16800000,2024-11-19 20:28:38+00:00,16800.0,3887.47,4045.0,4230.0,0.0,0.0,,1,1.84607010559082,True,REGULAR,USD,2024-11-29
NDXP241129C16900000,2024-11-25 14:39:02+00:00,16900.0,4067.1,3958.1,4142.9,0.0,0.0,1.0,1,2.0980577333831785,True,REGULAR,USD,2024-11-29
NDXP241129C17000000,2024-11-19 20:28:38+00:00,17000.0,3687.98,3844.8,4042.9,0.0,0.0,,0,1.9234928141784668,True,REGULAR,USD,2024-11-29
NDXP241129C17200000,2024-11-19 20:28:38+00:00,17200.0,3488.5,3646.8,3818.7,0.0,0.0,,0,1.4625271014404297,True,REGULAR,USD,2024-11-29
NDXP241129C17400000,2024-10-25 18:26:22+00:00,17400.0,3085.75,3333.4,3370.4,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C17500000,2024-10-25 18:26:22+00:00,17500.0,2989.6,3233.4,3270.5,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C17550000,2024-10-25 18:26:22+00:00,17550.0,2941.75,3183.4,3220.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C17700000,2024-11-29 15:03:44+00:00,17700.0,3164.0,3147.0,3330.0,182.1001,6.1068482,2.0,2,1.4816920446777342,True,REGULAR,USD,2024-11-29
NDXP241129C18000000,2024-11-25 14:54:03+00:00,18000.0,2882.6,2845.5,3032.0,0.0,0.0,5.0,0,1.3576692272949216,True,REGULAR,USD,2024-11-29
NDXP241129C18800000,2024-11-15 15:48:47+00:00,18800.0,1717.06,2047.1,2247.0,0.0,0.0,,1,1.1368603948211673,True,REGULAR,USD,2024-11-29
NDXP241129C18950000,2024-11-29 15:04:44+00:00,18950.0,1905.74,0.0,0.0,-142.6101,-6.9621944,5.0,5,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C19200000,2024-11-25 14:34:05+00:00,19200.0,1753.03,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C19300000,2024-11-25 14:34:05+00:00,19300.0,1653.42,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C19350000,2024-11-25 14:52:35+00:00,19350.0,1560.7,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C19400000,2024-11-26 19:22:05+00:00,19400.0,1457.38,0.0,0.0,0.0,0.0,6.0,6,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C19450000,2024-11-26 19:22:05+00:00,19450.0,1407.04,0.0,0.0,0.0,0.0,6.0,8,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C19475000,2024-11-25 14:54:55+00:00,19475.0,1394.25,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C19575000,2024-11-25 14:54:55+00:00,19575.0,1293.9,1271.8,1471.8,0.0,0.0,2.0,0,0.7703575210571288,True,REGULAR,USD,2024-11-29
NDXP241129C19720000,2024-11-25 14:57:46+00:00,19720.0,1167.63,1136.3,1327.2,0.0,0.0,1.0,1,0.7418391294860838,True,REGULAR,USD,2024-11-29
NDXP241129C19800000,2024-11-26 15:27:34+00:00,19800.0,1077.44,1056.3,1247.0,0.0,0.0,2.0,5,0.7012816737365724,True,REGULAR,USD,2024-11-29
NDXP241129C19820000,2024-11-25 14:57:46+00:00,19820.0,1067.98,1027.1,1227.0,0.0,0.0,1.0,0,0.6555210229492189,True,REGULAR,USD,2024-11-29
NDXP241129C19825000,2024-11-22 20:42:35+00:00,19825.0,945.05,1023.3,1222.0,0.0,0.0,1.0,1,0.6580234393310547,True,REGULAR,USD,2024-11-29
NDXP241129C19840000,2024-11-22 20:42:35+00:00,19840.0,930.28,1016.8,1207.0,0.0,0.0,1.0,0,0.683093379058838,True,REGULAR,USD,2024-11-29
NDXP241129C19850000,2024-11-15 14:55:04+00:00,19850.0,862.6,997.1,1197.0,0.0,0.0,,1,0.6410405769348146,True,REGULAR,USD,2024-11-29
NDXP241129C19875000,2024-10-04 18:25:39+00:00,19875.0,771.15,583.6,591.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C19900000,2024-11-26 14:49:13+00:00,19900.0,910.9,992.7,1155.5,-136.03003,-12.99323,1.0,2,0.7819159381866455,True,REGULAR,USD,2024-11-29
NDXP241129C19925000,2024-10-31 15:23:56+00:00,19925.0,600.9,905.6,1105.6,0.0,0.0,,1,1.0022938069152834,True,REGULAR,USD,2024-11-29
NDXP241129C19950000,2024-10-31 15:23:56+00:00,19950.0,585.45,876.3,1033.2,0.0,0.0,1.0,0,0.796503194656372,True,REGULAR,USD,2024-11-29
NDXP241129C19990000,2024-11-25 14:40:38+00:00,19990.0,1009.32,844.0,1044.0,0.0,0.0,4.0,0,0.9713290220642088,True,REGULAR,USD,2024-11-29
NDXP241129C20000000,2024-11-29 17:37:46+00:00,20000.0,932.47,840.7,1040.7,-66.81006,-6.6858196,3.0,12,0.5141650146484374,True,REGULAR,USD,2024-11-29
NDXP241129C20025000,2024-11-29 17:37:46+00:00,20025.0,907.16,802.2,1002.1,-240.39008,-20.948112,3.0,6,0.9235923778533935,True,REGULAR,USD,2024-11-29
NDXP241129C20050000,2024-11-01 14:34:06+00:00,20050.0,585.0,805.5,1005.5,0.0,0.0,2.0,3,0.5990716973114015,True,REGULAR,USD,2024-11-29
NDXP241129C20075000,2024-11-05 16:17:20+00:00,20075.0,550.54,812.4,892.4,0.0,0.0,,1,0.6499058447265625,True,REGULAR,USD,2024-11-29
NDXP241129C20100000,2024-11-15 14:55:29+00:00,20100.0,645.06,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20125000,2024-11-22 20:42:35+00:00,20125.0,657.3,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20140000,2024-11-22 20:42:35+00:00,20140.0,643.03,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20150000,2024-10-25 14:12:35+00:00,20150.0,782.6,585.8,622.3,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20175000,2024-10-24 18:40:00+00:00,20175.0,582.81,626.5,660.0,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20200000,2024-11-27 16:43:23+00:00,20200.0,489.81,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20225000,2024-10-21 14:09:26+00:00,20225.0,661.96,580.0,612.8,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20250000,2024-11-22 16:55:36+00:00,20250.0,553.72,0.0,0.0,0.0,0.0,4.0,23,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20275000,2024-11-21 17:49:53+00:00,20275.0,558.58,0.0,0.0,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20300000,2024-11-29 14:53:14+00:00,20300.0,532.56,0.0,0.0,-142.16998,-21.070648,1.0,22,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20350000,2024-10-24 16:31:57+00:00,20350.0,481.0,466.5,497.4,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20380000,2024-11-15 18:06:51+00:00,20380.0,306.75,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20390000,2024-11-15 18:06:51+00:00,20390.0,300.95,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20400000,2024-11-26 14:31:33+00:00,20400.0,525.95,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20410000,2024-11-25 15:33:45+00:00,20410.0,448.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-29
NDXP241129C20420000,2024-11-25 15:33:45+00:00,20420.0,439.21,475.2,555.2,0.0,0.0,1.0,0,0.4803823934936523,True,REGULAR,USD,2024-11-29
NDXP241129C20425000,2024-11-25 18:34:36+00:00,20425.0,431.67,462.7,542.7,0.0,0.0,1.0,31,0.4483468862152099,True,REGULAR,USD,2024-11-29
NDXP241129C20450000,2024-11-27 15:14:18+00:00,20450.0,308.4,445.2,525.2,0.0,0.0,10.0,4,0.46158756801605233,True,REGULAR,USD,2024-11-29
NDXP241129C20470000,2024-11-29 17:19:06+00:00,20470.0,471.65,417.7,497.7,38.079987,8.782892,1.0,4,0.42098815101623543,True,REGULAR,USD,2024-11-29
NDXP241129C20475000,2024-11-29 16:50:22+00:00,20475.0,460.05,420.2,500.2,175.09998,61.449368,2.0,4,0.4457910646057129,True,REGULAR,USD,2024-11-29
NDXP241129C20500000,2024-11-27 14:34:36+00:00,20500.0,342.82,409.4,465.3,0.0,0.0,1.0,0,0.39338527763366693,True,REGULAR,USD,2024-11-29
NDXP241129C20510000,2024-11-18 20:32:33+00:00,20510.0,288.2,400.0,438.5,0.0,0.0,2.0,1,0.3156577834320068,True,REGULAR,USD,2024-11-29
NDXP241129C20520000,2024-11-25 18:11:03+00:00,20520.0,341.14,390.0,428.5,0.0,0.0,1.0,5,0.310179932937622,True,REGULAR,USD,2024-11-29
NDXP241129C20530000,2024-11-20 17:03:05+00:00,20530.0,302.9,379.4,418.5,0.0,0.0,,0,0.3046868238067627,True,REGULAR,USD,2024-11-29
NDXP241129C20540000,2024-11-20 17:04:19+00:00,20540.0,294.7,369.4,408.5,0.0,0.0,1.0,4,0.29917082672119133,True,REGULAR,USD,2024-11-29
NDXP241129C20550000,2024-11-29 16:50:22+00:00,20550.0,384.5,359.4,398.5,123.82001,47.49885,6.0,16,0.29363194168090817,True,REGULAR,USD,2024-11-29
NDXP241129C20560000,2024-11-21 15:03:02+00:00,20560.0,217.1,349.4,400.5,0.0,0.0,3.0,11,0.3383168585968017,True,REGULAR,USD,2024-11-29
NDXP241129C20575000,2024-11-29 15:00:06+00:00,20575.0,285.01,334.4,373.5,47.460007,19.978954,1.0,5,0.27969317726135245,True,REGULAR,USD,2024-11-29
NDXP241129C20580000,2024-11-20 15:20:02+00:00,20580.0,191.5,329.4,368.5,0.0,0.0,1.0,3,0.2768855881500244,True,REGULAR,USD,2024-11-29
NDXP241129C20590000,2024-11-18 16:42:46+00:00,20590.0,286.2,319.4,358.5,0.0,0.0,1.0,2,0.2712551512908935,True,REGULAR,USD,2024-11-29
NDXP241129C20600000,2024-11-27 17:19:17+00:00,20600.0,309.8,309.4,348.5,204.75998,194.93524,5.0,11,0.2656018264770508,True,REGULAR,USD,2024-11-29
NDXP241129C20610000,2024-11-21 15:37:19+00:00,20610.0,169.1,299.4,338.5,0.0,0.0,,1,0.2599179843902588,True,REGULAR,USD,2024-11-29
NDXP241129C20620000,2024-11-19 19:33:10+00:00,20620.0,269.21,289.4,328.5,0.0,0.0,1.0,1,0.2542112543487549,True,REGULAR,USD,2024-11-29
NDXP241129C20625000,2024-11-27 17:09:15+00:00,20625.0,78.3,284.4,323.5,0.0,0.0,2.0,6,0.25135026000976557,True,REGULAR,USD,2024-11-29
NDXP241129C20630000,2024-11-21 14:49:25+00:00,20630.0,245.2,279.4,318.5,0.0,0.0,1.0,4,0.24847400703430175,True,REGULAR,USD,2024-11-29
NDXP241129C20640000,2024-11-20 19:15:10+00:00,20640.0,186.02,269.4,308.5,0.0,0.0,,1,0.2427062424468994,True,REGULAR,USD,2024-11-29
NDXP241129C20650000,2024-11-29 17:04:39+00:00,20650.0,279.9,259.4,298.5,192.4,219.88571,85.0,14,0.23690796058654787,True,REGULAR,USD,2024-11-29
NDXP241129C20660000,2024-11-29 15:11:19+00:00,20660.0,240.78,249.4,302.5,134.66,126.89408,3.0,77,0.28269912864685054,True,REGULAR,USD,2024-11-29
NDXP241129C20675000,2024-11-27 18:12:09+00:00,20675.0,85.2,234.4,273.5,0.0,0.0,12.0,6,0.22225966957092283,True,REGULAR,USD,2024-11-29
NDXP241129C20680000,2024-11-29 15:44:21+00:00,20680.0,233.36,229.4,268.5,128.06,121.61443,5.0,10,0.21929949409484864,True,REGULAR,USD,2024-11-29
NDXP241129C20690000,2024-11-29 17:11:20+00:00,20690.0,242.18,219.4,258.5,175.07999,260.92398,80.0,13,0.2133562551879883,True,REGULAR,USD,2024-11-29
NDXP241129C20700000,2024-11-29 17:57:19+00:00,20700.0,234.65,209.4,248.5,146.25,165.44118,23.0,49,0.2073672403717041,True,REGULAR,USD,2024-11-29
NDXP241129C20710000,2024-11-29 15:46:37+00:00,20710.0,191.1,201.5,241.4,103.53001,118.22543,17.0,12,0.21210504699707028,True,REGULAR,USD,2024-11-29
NDXP241129C20720000,2024-11-29 17:13:17+00:00,20720.0,215.18,200.2,219.4,134.18,165.65431,85.0,4,0.15695270545959475,True,REGULAR,USD,2024-11-29
NDXP241129C20725000,2024-11-27 20:44:02+00:00,20725.0,98.0,199.1,216.3,32.4,49.390247,2.0,11,0.16309430664062502,True,REGULAR,USD,2024-11-29
NDXP241129C20730000,2024-11-29 16:01:46+00:00,20730.0,182.55,190.2,209.4,111.86,158.2402,10.0,0,0.15153588951110844,True,REGULAR,USD,2024-11-29
NDXP241129C20740000,2024-11-29 17:53:47+00:00,20740.0,204.9,180.2,199.4,137.98,206.1865,13.0,9,0.14608092697143554,True,REGULAR,USD,2024-11-29
NDXP241129C20750000,2024-11-29 17:19:10+00:00,20750.0,193.28,170.2,189.4,134.76,230.28023,50.0,43,0.14057255920410155,True,REGULAR,USD,2024-11-29
NDXP241129C20760000,2024-11-29 15:38:38+00:00,20760.0,147.45,160.2,179.4,94.7,179.52606,19.0,9,0.13501841552734378,True,REGULAR,USD,2024-11-29
