Indx,Call_ContractID,Call_Bid,Call_Ask,Call_Vol,Call_OI,Call_PrChg,Call_PrChgPct,Call_LastTrTime,Call_LastPr,Call_ImplVol,Call_ITM,Strike,Put_ITM,Put_ImplVol,Put_LastPr,Put_LastTrTime,Put_PrChgPct,Put_PrChg,Put_OI,Put_Vol,Put_Ask,Put_Bid,Put_ContractID
1,SPXW230616C00200000,3998.8,4003.5,16,0,0,0,17/05/2023 13:05,3950.46,4.583988645,TRUE,200,FALSE,2.984377539,0.05,11/05/2023 12:07,0,0,0,2,0.05,0,SPX230616P00200000
2,SPXW230616C00400000,3799.4,3804.1,3,0,0,0,25/04/2023 11:48,3698.2,3.549073393,TRUE,400,FALSE,2.281254297,0.03,17/05/2023 15:54,0,0,0,6,0.05,0,SPX230616P00400000
3,SPX230616C00600000,3306.7,3319.9,1,1,0,0,19/12/2022 16:01,3200.07,1.00E-05,TRUE,600,FALSE,1.882813086,0.05,15/05/2023 09:36,0,0,0,5,0.05,0,SPX230616P00600000
4,SPX230616C00800000,3400.1,3406.8,2,0,0,0,09/05/2023 12:16,3313.96,2.612796437,TRUE,800,FALSE,1.609376953,0.05,04/05/2023 14:54,0,0,0,120,0.05,0,SPXW230616P00800000
5,SPX230616C01000000,3200.8,3206.4,2252,0,0,0,18/05/2023 15:59,3197.37,2.275272867,TRUE,1000,FALSE,1.390628047,0.03,12/05/2023 09:30,0,0,0,1,0.05,0,SPXW230616P01000000
6,SPX230616C01100000,3102.6,3107.7,2,0,0,0,09/05/2023 11:55,3019.02,2.203129492,TRUE,1100,FALSE,1.304690977,0.05,17/05/2023 09:30,0,0,0,1,0.05,0,SPX230616P01100000
7,SPXW230616C01200000,3002.9,3007.5,14,0,0,0,17/05/2023 13:10,2956.34,2.067631784,TRUE,1200,FALSE,1.218753906,0.05,17/05/2023 09:30,0,0,0,1,0.05,0,SPX230616P01200000
8,SPX230616C01300000,2681.3,2716.1,2500,11432,0,0,15/12/2022 14:31,2587.35,1.00E-05,TRUE,1300,FALSE,1.140629297,0.05,17/05/2023 09:30,0,0,0,1,0.05,0,SPX230616P01300000
9,SPXW230616C01400000,2803.7,2808.3,1,0,0,0,05/05/2023 08:48,2695.06,1.853821532,TRUE,1400,FALSE,1.070317148,0.05,11/05/2023 12:46,0,0,0,8,0.05,0,SPXW230616P01400000
10,SPX230616C01500000,2703.1,2709.9,4,0,0,0,25/04/2023 15:08,2582.05,1.76031614,TRUE,1500,FALSE,1.007817461,0.05,05/05/2023 13:22,0,0,0,1,0.05,0,SPXW230616P01500000
11,SPX230616C01600000,2603.9,2610.6,1,0,0,0,18/05/2023 16:07,2601,1.678956683,TRUE,1600,FALSE,0.945313047,0.05,17/05/2023 09:30,0,0,0,1,0.05,0,SPX230616P01600000
12,SPX230616C01700000,2504.3,2511.1,2,0,0,0,09/05/2023 11:21,2426.55,1.593019613,TRUE,1700,FALSE,0.890626094,0.1,01/05/2023 10:46,0,0,0,7,0.05,0,SPXW230616P01700000
13,SPX230616C01800000,2307,2312.7,10,0,0,0,05/03/2023 20:16,2248.5,1.00E-05,TRUE,1800,FALSE,0.835939141,0.05,16/05/2023 12:29,0,0,0,11,0.05,0,SPX230616P01800000
