CUSIP,Security Type,Rate,Maturity Date,Call Date,Buy,Sell,End of Day,Rate of Return,Rate of Return  (%)
912796C98,MARKET BASED BILL,0,03/23/2021,,0,100,99.999972,0.000000,0.000%
9127962F5,MARKET BASED BILL,0,03/25/2021,,0,99.999833,99.999917,0.000001,0.000%
912796D22,MARKET BASED BILL,0,03/30/2021,,99.999847,99.999694,99.999778,0.000002,0.000%
9127964P1,MARKET BASED BILL,0,04/01/2021,,100,99.999639,99.999722,0.000003,0.000%
912796D71,MARKET BASED BILL,0,04/06/2021,,99.99975,99.9995,99.999583,0.000004,0.000%
9127964X4,MARKET BASED BILL,0,04/08/2021,,100,99.999444,99.999528,0.000005,0.000%
912796D89,MARKET BASED BILL,0,04/13/2021,,100,100,99.999389,0.000006,0.001%
9127964Y2,MARKET BASED BILL,0,04/15/2021,,100,100,99.999333,0.000007,0.001%
912796D97,MARKET BASED BILL,0,04/20/2021,,99.999556,99.999111,99.999194,0.000008,0.001%
9127962Q1,MARKET BASED BILL,0,04/22/2021,,100,99.999056,99.999139,0.000009,0.001%
912796F20,MARKET BASED BILL,0,04/27/2021,,100,100,99.999,0.000010,0.001%
9127964Z9,MARKET BASED BILL,0,04/29/2021,,99.999431,99.998861,99.998944,0.000011,0.001%
912796F79,MARKET BASED BILL,0,05/04/2021,,99.999361,99.998722,99.998806,0.000012,0.001%
9127965A3,MARKET BASED BILL,0,05/06/2021,,100,99.998667,99.99875,0.000013,0.001%
912796F87,MARKET BASED BILL,0,05/11/2021,,99.999264,99.998528,99.998611,0.000014,0.001%
912796A25,MARKET BASED BILL,0,05/13/2021,,100,99.998472,99.998556,0.000014,0.001%
912796F95,MARKET BASED BILL,0,05/18/2021,,100,99.998333,99.998417,0.000016,0.002%
9127962Y4,MARKET BASED BILL,0,05/20/2021,,100,99.998278,99.998361,0.000016,0.002%
912796G29,MARKET BASED BILL,0,05/25/2021,,100,99.998139,99.998222,0.000018,0.002%
912796A33,MARKET BASED BILL,0,05/27/2021,,100,99.998083,99.998167,0.000018,0.002%
912796G37,MARKET BASED BILL,0,06/01/2021,,100,100,99.998028,0.000020,0.002%
912796A41,MARKET BASED BILL,0,06/03/2021,,100,99.997889,99.997972,0.000020,0.002%
912796G86,MARKET BASED BILL,0,06/08/2021,,100,100,100,0.000000,0.000%
912796B24,MARKET BASED BILL,0,06/10/2021,,100,99.997694,99.997778,0.000022,0.002%
912796G94,MARKET BASED BILL,0,06/15/2021,,100,99.997556,99.997639,0.000024,0.002%
9127963H0,MARKET BASED BILL,0,06/17/2021,,100,99.9975,99.997583,0.000024,0.002%
912796H28,MARKET BASED BILL,0,06/22/2021,,99.998681,99.997361,99.997444,0.000026,0.003%
912796B32,MARKET BASED BILL,0,06/24/2021,,100,99.997306,99.997389,0.000026,0.003%
912796H36,MARKET BASED BILL,0,06/29/2021,,100,99.997167,99.99725,0.000028,0.003%
912796B40,MARKET BASED BILL,0,07/01/2021,,100,99.997111,99.997194,0.000028,0.003%
912796H85,MARKET BASED BILL,0,07/06/2021,,99.996972,99.993944,99.994111,0.000059,0.006%
912796B57,MARKET BASED BILL,0,07/08/2021,,99.998458,99.996917,99.994,0.000060,0.006%
912796H93,MARKET BASED BILL,0,07/13/2021,,99.998389,99.996778,99.996861,0.000031,0.003%
9127963S6,MARKET BASED BILL,0,07/15/2021,,99.998361,99.996722,99.993611,0.000064,0.006%
912796J26,MARKET BASED BILL,0,07/20/2021,,99.994875,99.993167,99.993333,0.000067,0.007%
912796C49,MARKET BASED BILL,0,07/22/2021,,99.998264,99.996528,99.993222,0.000068,0.007%
912796C56,MARKET BASED BILL,0,07/29/2021,,99.996333,99.992667,99.992833,0.000072,0.007%
912796C64,MARKET BASED BILL,0,08/05/2021,,99.994208,99.992278,99.992444,0.000076,0.008%
9127964B2,MARKET BASED BILL,0,08/12/2021,,99.993917,99.991889,99.992056,0.000079,0.008%
912796D48,MARKET BASED BILL,0,08/19/2021,,99.993625,99.9915,99.991667,0.000083,0.008%
912796D55,MARKET BASED BILL,0,08/26/2021,,99.993333,99.991111,99.991278,0.000087,0.009%
912796D63,MARKET BASED BILL,0,09/02/2021,,99.993042,99.990722,99.990889,0.000091,0.009%
9127964L0,MARKET BASED BILL,0,09/09/2021,,99.987917,99.9855,99.9905,0.000095,0.010%
912796F46,MARKET BASED BILL,0,09/16/2021,,99.987431,99.984917,99.985167,0.000148,0.015%
9127964V8,MARKET BASED BILL,0,10/07/2021,,99.983167,99.977556,99.977889,0.000221,0.022%
9127964W6,MARKET BASED BILL,0,11/04/2021,,99.977639,99.974444,99.968472,0.000315,0.032%
9127965G0,MARKET BASED BILL,0,12/02/2021,,99.971333,99.964167,99.964583,0.000354,0.035%
912796A90,MARKET BASED BILL,0,12/30/2021,,99.96425,99.960278,99.952833,0.000472,0.047%
912796C31,MARKET BASED BILL,0,01/27/2022,,99.952028,99.947667,99.948167,0.000519,0.052%
